,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
14,BSE_minute,long,2024-02-02 15:26:00,2024-02-05 09:16:00,824.0,833.0,1,824.0,833.0,closed,9.0,1.0922
23,BSE_minute,long,2024-02-07 15:26:00,2024-02-08 09:16:00,838.0,835.56,1,838.0,835.56,closed,-2.44,-0.2912
25,BSE_minute,long,2024-02-08 15:26:00,2024-02-09 09:18:00,837.5,835.06,1,837.5,835.06,closed,-2.44,-0.2907
31,BSE_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,787.5,791.5,1,787.5,791.5,closed,4.0,0.5086
36,BSE_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,784.5,774.5,1,784.5,774.5,closed,-10.0,-1.2747
38,BSE_minute,long,2024-02-15 15:26:00,2024-02-16 09:15:00,777.0,773.68,1,777.0,773.68,closed,-3.32,-0.4266
40,BSE_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,768.5,766.5,1,768.5,766.5,closed,-2.0,-0.2602
45,BSE_minute,long,2024-02-21 15:26:00,2024-02-22 09:15:00,743.5,736.06,1,743.5,736.06,closed,-7.44,-1.0
65,BSE_minute,long,2024-02-29 15:26:00,2024-03-01 09:16:00,792.5,785.56,1,792.5,785.56,closed,-6.94,-0.8751
79,BSE_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,684.0,678.15,1,684.0,678.15,closed,-5.85,-0.8553
87,BSE_minute,long,2024-03-20 15:26:00,2024-03-21 09:15:00,677.5,695.5,1,677.5,695.5,closed,18.0,2.6568
95,BSE_minute,long,2024-03-26 15:26:00,2024-03-27 09:16:00,770.0,775.17,1,770.0,775.17,closed,5.17,0.6714
102,BSE_minute,long,2024-03-28 15:26:00,2024-04-01 09:16:00,842.0,843.98,1,842.0,843.98,closed,1.98,0.2346
113,BSE_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,959.5,933.5,1,959.5,933.5,closed,-26.0,-2.7097
119,BSE_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,946.0,915.5,1,946.0,915.5,closed,-30.5,-3.2241
123,BSE_minute,long,2024-04-15 15:26:00,2024-04-16 09:15:00,936.0,928.5,1,936.0,928.5,closed,-7.5,-0.8013
132,BSE_minute,long,2024-04-22 15:26:00,2024-04-23 09:15:00,951.5,957.5,1,951.5,957.5,closed,6.0,0.6306
138,BSE_minute,long,2024-04-23 15:26:00,2024-04-24 09:15:00,1073.0,1077.12,1,1073.0,1077.12,closed,4.12,0.384
143,BSE_minute,long,2024-04-26 15:26:00,2024-04-29 09:15:00,1075.0,909.5,1,1075.0,909.5,closed,-165.5,-15.3953
