,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
6,CELLO_minute,long,2024-01-30 15:26:00,2024-01-31 09:15:00,863.1,854.47,1,863.1,854.47,closed,-8.63,-1.0
7,CELLO_minute,long,2024-01-31 15:26:00,2024-02-01 09:15:00,852.4,837.0,1,852.4,837.0,closed,-15.4,-1.8067
22,CELLO_minute,long,2024-02-12 15:26:00,2024-02-13 09:16:00,824.2,824.62,1,824.2,824.62,closed,0.42,0.051
25,CELLO_minute,long,2024-02-14 15:26:00,2024-02-15 09:19:00,815.05,821.7,1,815.05,821.7,closed,6.65,0.8159
28,CELLO_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,822.15,828.75,1,822.15,828.75,closed,6.6,0.8028
32,CELLO_minute,long,2024-02-21 15:26:00,2024-02-22 09:15:00,821.6,815.76,1,821.6,815.76,closed,-5.84,-0.7108
33,CELLO_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,802.75,836.35,1,802.75,836.35,closed,33.6,4.1856
41,CELLO_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,844.85,854.35,1,844.85,854.35,closed,9.5,1.1245
65,CELLO_minute,long,2024-03-19 15:26:00,2024-03-20 09:15:00,788.55,776.4,1,788.55,776.4,closed,-12.15,-1.5408
70,CELLO_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,785.95,765.0,1,785.95,765.0,closed,-20.95,-2.6656
74,CELLO_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,783.0,771.3,1,783.0,771.3,closed,-11.7,-1.4943
77,CELLO_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,771.25,787.7,1,771.25,787.7,closed,16.45,2.1329
86,CELLO_minute,long,2024-04-05 15:26:00,2024-04-08 09:16:00,823.05,823.53,1,823.05,823.53,closed,0.48,0.0585
87,CELLO_minute,long,2024-04-08 15:26:00,2024-04-09 09:19:00,823.8,818.78,1,823.8,818.78,closed,-5.02,-0.6094
110,CELLO_minute,long,2024-04-30 15:26:00,2024-05-02 09:18:00,910.5,910.9,1,910.5,910.9,closed,0.4,0.0438
119,CELLO_minute,long,2024-05-10 15:26:00,2024-05-13 09:15:00,874.1,879.07,1,874.1,879.07,closed,4.97,0.5686
131,CELLO_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,928.85,941.0,1,928.85,941.0,closed,12.15,1.3081
137,CELLO_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,917.95,923.45,1,917.95,923.45,closed,5.5,0.5992
141,CELLO_minute,long,2024-05-28 15:26:00,2024-05-29 09:16:00,850.2,854.15,1,850.2,854.15,closed,3.95,0.4646
147,CELLO_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,845.8,890.01,1,845.8,890.01,closed,44.21,5.227
152,CELLO_minute,long,2024-06-04 15:26:00,2024-06-05 09:18:00,834.0,825.66,1,834.0,825.66,closed,-8.34,-1.0
163,CELLO_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,866.9,878.2,1,866.9,878.2,closed,11.3,1.3035
168,CELLO_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,894.65,908.2,1,894.65,908.2,closed,13.55,1.5146
170,CELLO_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,914.5,904.95,1,914.5,904.95,closed,-9.55,-1.0443
176,CELLO_minute,long,2024-06-25 15:26:00,2024-06-26 09:17:00,920.0,910.3,1,920.0,910.3,closed,-9.7,-1.0543
177,CELLO_minute,long,2024-06-26 15:26:00,2024-06-27 09:16:00,895.0,889.81,1,895.0,889.81,closed,-5.19,-0.5797
200,CELLO_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,963.35,973.15,1,963.35,973.15,closed,9.8,1.0173
229,CELLO_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,949.45,911.6,1,949.45,911.6,closed,-37.85,-3.9865
235,CELLO_minute,long,2024-08-06 15:26:00,2024-08-07 09:15:00,914.4,926.64,1,914.4,926.64,closed,12.24,1.3386
242,CELLO_minute,long,2024-08-09 15:26:00,2024-08-12 09:15:00,927.0,915.55,1,927.0,915.55,closed,-11.45,-1.2352
243,CELLO_minute,long,2024-08-12 15:26:00,2024-08-13 09:18:00,909.95,901.3,1,909.95,901.3,closed,-8.65,-0.951
274,CELLO_minute,long,2024-08-30 15:26:00,2024-09-02 09:18:00,905.9,898.92,1,905.9,898.92,closed,-6.98,-0.7705
276,CELLO_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,909.3,893.5,1,909.3,893.5,closed,-15.8,-1.7376
280,CELLO_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,891.0,908.95,1,891.0,908.95,closed,17.95,2.0146
286,CELLO_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,908.3,915.65,1,908.3,915.65,closed,7.35,0.8092
299,CELLO_minute,long,2024-09-17 15:26:00,2024-09-18 09:15:00,891.15,882.24,1,891.15,882.24,closed,-8.91,-1.0
302,CELLO_minute,long,2024-09-19 15:26:00,2024-09-20 09:18:00,893.05,884.12,1,893.05,884.12,closed,-8.93,-1.0
306,CELLO_minute,long,2024-09-20 15:26:00,2024-09-23 09:17:00,873.9,878.18,1,873.9,878.18,closed,4.28,0.4897
319,CELLO_minute,long,2024-09-27 15:26:00,2024-09-30 09:15:00,878.85,870.0,1,878.85,870.0,closed,-8.85,-1.007
320,CELLO_minute,long,2024-09-30 15:26:00,2024-10-01 09:15:00,919.9,909.0,1,919.9,909.0,closed,-10.9,-1.1849
336,CELLO_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,885.6,891.85,1,885.6,891.85,closed,6.25,0.7057
346,CELLO_minute,long,2024-10-22 15:26:00,2024-10-23 09:15:00,844.45,839.87,1,844.45,839.87,closed,-4.58,-0.5428
352,CELLO_minute,long,2024-10-25 15:26:00,2024-10-28 15:29:00,826.95,817.3,1,826.95,817.3,closed,-9.65,-1.1669
366,CELLO_minute,long,2024-11-06 15:26:00,2024-11-07 09:19:00,860.4,856.35,1,860.4,856.35,closed,-4.05,-0.4707
368,CELLO_minute,long,2024-11-08 15:26:00,2024-11-11 09:18:00,861.55,852.93,1,861.55,852.93,closed,-8.62,-1.0
