,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,CHOLAFIN_minute,long,2024-01-29 15:26:00,2024-01-30 09:15:00,1230.1,1242.85,1,1230.1,1242.85,closed,12.75,1.0362
23,CHOLAFIN_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,1103.4,1138.1,1,1103.4,1138.1,closed,34.7,3.1448
27,CHOLAFIN_minute,long,2024-02-14 15:26:00,2024-02-15 09:15:00,1126.7,1125.0,1,1126.7,1125.0,closed,-1.7,-0.1509
29,CHOLAFIN_minute,long,2024-02-19 15:26:00,2024-02-20 09:15:00,1133.95,1122.61,1,1133.95,1122.61,closed,-11.34,-1.0
39,CHOLAFIN_minute,long,2024-02-26 15:26:00,2024-02-27 09:15:00,1112.5,1104.1,1,1112.5,1104.1,closed,-8.4,-0.7551
80,CHOLAFIN_minute,long,2024-04-02 15:26:00,2024-04-03 09:15:00,1197.65,1185.67,1,1197.65,1185.67,closed,-11.98,-1.0
84,CHOLAFIN_minute,long,2024-04-05 15:26:00,2024-04-08 09:15:00,1219.95,1223.64,1,1219.95,1223.64,closed,3.69,0.3025
88,CHOLAFIN_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,1212.35,1191.0,1,1212.35,1191.0,closed,-21.35,-1.761
90,CHOLAFIN_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,1177.55,1150.0,1,1177.55,1150.0,closed,-27.55,-2.3396
91,CHOLAFIN_minute,long,2024-04-15 15:26:00,2024-04-16 09:15:00,1165.55,1153.0,1,1165.55,1153.0,closed,-12.55,-1.0767
94,CHOLAFIN_minute,long,2024-04-19 15:26:00,2024-04-22 09:19:00,1130.05,1131.97,1,1130.05,1131.97,closed,1.92,0.1696
99,CHOLAFIN_minute,long,2024-04-22 15:26:00,2024-04-23 09:15:00,1140.6,1143.95,1,1140.6,1143.95,closed,3.35,0.2937
