,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,FINCABLES_minute,long,2024-01-23 15:26:00,2024-01-24 09:18:00,1084.95,1075.09,1,1084.95,1075.09,closed,-9.86,-0.9088
20,FINCABLES_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,996.4,996.8,1,996.4,996.8,closed,0.4,0.0401
38,FINCABLES_minute,long,2024-02-19 15:26:00,2024-02-20 09:15:00,997.65,994.41,1,997.65,994.41,closed,-3.24,-0.3252
46,FINCABLES_minute,long,2024-02-22 15:26:00,2024-02-23 09:15:00,982.85,984.95,1,982.85,984.95,closed,2.1,0.2138
78,FINCABLES_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,881.6,876.15,1,881.6,876.15,closed,-5.45,-0.6182
80,FINCABLES_minute,long,2024-03-13 15:26:00,2024-03-14 09:16:00,842.0,846.85,1,842.0,846.85,closed,4.85,0.5755
109,FINCABLES_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,992.0,1005.3,1,992.0,1005.3,closed,13.3,1.3407
114,FINCABLES_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,1001.05,981.7,1,1001.05,981.7,closed,-19.35,-1.933
128,FINCABLES_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,1005.7,1032.0,1,1005.7,1032.0,closed,26.3,2.6151
140,FINCABLES_minute,long,2024-05-07 15:26:00,2024-05-08 09:15:00,1066.8,1042.0,1,1066.8,1042.0,closed,-24.8,-2.3247
152,FINCABLES_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,1024.95,1048.0,1,1024.95,1048.0,closed,23.05,2.2489
163,FINCABLES_minute,long,2024-05-23 15:26:00,2024-05-24 09:15:00,1142.1,1165.0,1,1142.1,1165.0,closed,22.9,2.0051
167,FINCABLES_minute,long,2024-05-27 15:26:00,2024-05-28 09:15:00,1497.05,1480.0,1,1497.05,1480.0,closed,-17.05,-1.1389
176,FINCABLES_minute,long,2024-06-04 15:26:00,2024-06-05 09:15:00,1397.15,1370.0,1,1397.15,1370.0,closed,-27.15,-1.9432
186,FINCABLES_minute,long,2024-06-14 15:26:00,2024-06-18 09:15:00,1592.6,1600.29,1,1592.6,1600.29,closed,7.69,0.4826
222,FINCABLES_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,1644.9,1668.25,1,1644.9,1668.25,closed,23.35,1.4195
234,FINCABLES_minute,long,2024-07-16 15:26:00,2024-07-18 09:15:00,1660.0,1650.73,1,1660.0,1650.73,closed,-9.27,-0.5587
235,FINCABLES_minute,long,2024-07-18 15:26:00,2024-07-19 09:15:00,1578.0,1566.28,1,1578.0,1566.28,closed,-11.72,-0.7428
236,FINCABLES_minute,long,2024-07-19 15:26:00,2024-07-22 09:15:00,1541.85,1526.43,1,1541.85,1526.43,closed,-15.42,-1.0
240,FINCABLES_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,1541.9,1501.1,1,1541.9,1501.1,closed,-40.8,-2.6461
242,FINCABLES_minute,long,2024-07-23 15:26:00,2024-07-24 15:29:00,1502.85,1540.5,1,1502.85,1540.5,closed,37.65,2.5052
251,FINCABLES_minute,long,2024-07-24 15:26:00,2024-07-25 09:16:00,1542.65,1529.55,1,1542.65,1529.55,closed,-13.1,-0.8492
252,FINCABLES_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,1533.15,1561.6,1,1533.15,1561.6,closed,28.45,1.8557
257,FINCABLES_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,1582.6,1582.0,1,1582.6,1582.0,closed,-0.6,-0.0379
267,FINCABLES_minute,long,2024-08-05 15:26:00,2024-08-06 09:15:00,1454.3,1459.0,1,1454.3,1459.0,closed,4.7,0.3232
275,FINCABLES_minute,long,2024-08-12 15:26:00,2024-08-13 09:17:00,1459.35,1451.49,1,1459.35,1451.49,closed,-7.86,-0.5387
276,FINCABLES_minute,long,2024-08-13 15:26:00,2024-08-14 09:17:00,1438.55,1433.3,1,1438.55,1433.3,closed,-5.25,-0.365
