,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,GRAPHITE_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,543.0,545.5,1,543.0,545.5,closed,2.5,0.4604
22,GRAPHITE_minute,long,2024-02-06 15:26:00,2024-02-07 09:15:00,607.85,609.0,1,607.85,609.0,closed,1.15,0.1892
26,GRAPHITE_minute,long,2024-02-07 15:26:00,2024-02-08 09:16:00,609.95,606.47,1,609.95,606.47,closed,-3.48,-0.5699
28,GRAPHITE_minute,long,2024-02-09 15:26:00,2024-02-12 09:18:00,586.4,586.85,1,586.4,586.85,closed,0.45,0.0767
34,GRAPHITE_minute,long,2024-02-14 15:26:00,2024-02-15 09:17:00,549.5,551.43,1,549.5,551.43,closed,1.93,0.3512
46,GRAPHITE_minute,long,2024-02-22 15:26:00,2024-02-23 09:15:00,616.75,610.63,1,616.75,610.63,closed,-6.12,-0.992
48,GRAPHITE_minute,long,2024-02-23 15:26:00,2024-02-26 09:15:00,602.0,596.97,1,602.0,596.97,closed,-5.03,-0.8355
51,GRAPHITE_minute,long,2024-02-26 15:26:00,2024-02-27 09:15:00,601.95,598.55,1,601.95,598.55,closed,-3.4,-0.5642
56,GRAPHITE_minute,long,2024-02-29 15:26:00,2024-03-01 09:18:00,601.1,605.2,1,601.1,605.2,closed,4.1,0.6821
61,GRAPHITE_minute,long,2024-03-04 15:26:00,2024-03-05 09:15:00,631.1,625.63,1,631.1,625.63,closed,-5.47,-0.8667
68,GRAPHITE_minute,long,2024-03-06 15:26:00,2024-03-07 09:17:00,596.7,596.97,1,596.7,596.97,closed,0.27,0.0452
73,GRAPHITE_minute,long,2024-03-11 15:26:00,2024-03-12 09:16:00,628.95,627.26,1,628.95,627.26,closed,-1.69,-0.2681
80,GRAPHITE_minute,long,2024-03-13 15:26:00,2024-03-14 09:15:00,598.1,595.73,1,598.1,595.73,closed,-2.37,-0.3958
95,GRAPHITE_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,618.0,611.8,1,618.0,611.8,closed,-6.2,-1.0032
103,GRAPHITE_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,638.85,653.4,1,638.85,653.4,closed,14.55,2.2775
105,GRAPHITE_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,653.25,663.0,1,653.25,663.0,closed,9.75,1.4925
108,GRAPHITE_minute,long,2024-04-04 15:26:00,2024-04-05 09:16:00,662.0,663.3,1,662.0,663.3,closed,1.3,0.1964
115,GRAPHITE_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,665.9,680.0,1,665.9,680.0,closed,14.1,2.1174
118,GRAPHITE_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,654.9,648.35,1,654.9,648.35,closed,-6.55,-1.0
124,GRAPHITE_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,671.7,664.98,1,671.7,664.98,closed,-6.72,-1.0
127,GRAPHITE_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,676.3,683.95,1,676.3,683.95,closed,7.65,1.1312
135,GRAPHITE_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,689.95,685.3,1,689.95,685.3,closed,-4.65,-0.674
142,GRAPHITE_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,667.75,656.9,1,667.75,656.9,closed,-10.85,-1.6249
145,GRAPHITE_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,658.5,647.45,1,658.5,647.45,closed,-11.05,-1.6781
155,GRAPHITE_minute,long,2024-05-09 15:26:00,2024-05-10 09:15:00,566.95,567.8,1,566.95,567.8,closed,0.85,0.1499
159,GRAPHITE_minute,long,2024-05-10 15:26:00,2024-05-13 09:16:00,563.8,560.69,1,563.8,560.69,closed,-3.11,-0.5522
172,GRAPHITE_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,587.5,601.3,1,587.5,601.3,closed,13.8,2.3489
175,GRAPHITE_minute,long,2024-05-21 15:26:00,2024-05-22 09:19:00,603.9,603.9,1,603.9,603.9,closed,0.0,0.0
184,GRAPHITE_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,589.7,587.7,1,589.7,587.7,closed,-2.0,-0.3392
185,GRAPHITE_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,578.85,567.0,1,578.85,567.0,closed,-11.85,-2.0472
205,GRAPHITE_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,577.5,571.4,1,577.5,571.4,closed,-6.1,-1.0563
213,GRAPHITE_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,577.4,572.75,1,577.4,572.75,closed,-4.65,-0.8053
216,GRAPHITE_minute,long,2024-06-19 15:26:00,2024-06-20 09:17:00,597.05,591.82,1,597.05,591.82,closed,-5.23,-0.8756
219,GRAPHITE_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,588.7,582.81,1,588.7,582.81,closed,-5.89,-1.0
239,GRAPHITE_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,578.4,570.9,1,578.4,570.9,closed,-7.5,-1.2967
242,GRAPHITE_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,560.8,562.5,1,560.8,562.5,closed,1.7,0.3031
275,GRAPHITE_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,519.55,522.25,1,519.55,522.25,closed,2.7,0.5197
277,GRAPHITE_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,543.3,534.75,1,543.3,534.75,closed,-8.55,-1.5737
283,GRAPHITE_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,532.3,537.8,1,532.3,537.8,closed,5.5,1.0333
291,GRAPHITE_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,531.8,527.15,1,531.8,527.15,closed,-4.65,-0.8744
297,GRAPHITE_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,526.8,521.95,1,526.8,521.95,closed,-4.85,-0.9207
309,GRAPHITE_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,508.05,511.0,1,508.05,511.0,closed,2.95,0.5807
314,GRAPHITE_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,499.4,505.2,1,499.4,505.2,closed,5.8,1.1614
318,GRAPHITE_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,504.95,498.7,1,504.95,498.7,closed,-6.25,-1.2377
326,GRAPHITE_minute,long,2024-09-16 15:26:00,2024-09-17 09:16:00,543.0,537.57,1,543.0,537.57,closed,-5.43,-1.0
328,GRAPHITE_minute,long,2024-09-17 15:26:00,2024-09-18 09:15:00,540.7,533.9,1,540.7,533.9,closed,-6.8,-1.2576
330,GRAPHITE_minute,long,2024-09-19 15:26:00,2024-09-20 09:16:00,572.5,570.24,1,572.5,570.24,closed,-2.26,-0.3948
332,GRAPHITE_minute,long,2024-09-20 15:26:00,2024-09-23 09:16:00,589.0,585.04,1,589.0,585.04,closed,-3.96,-0.6722
339,GRAPHITE_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,586.3,599.0,1,586.3,599.0,closed,12.7,2.1661
344,GRAPHITE_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,599.25,599.85,1,599.25,599.85,closed,0.6,0.1001
346,GRAPHITE_minute,long,2024-09-25 15:26:00,2024-09-26 09:15:00,601.0,598.26,1,601.0,598.26,closed,-2.74,-0.4564
347,GRAPHITE_minute,long,2024-09-26 15:26:00,2024-09-27 09:19:00,593.2,589.64,1,593.2,589.64,closed,-3.56,-0.5995
354,GRAPHITE_minute,long,2024-09-30 15:26:00,2024-10-01 09:19:00,591.5,588.06,1,591.5,588.06,closed,-3.44,-0.5816
358,GRAPHITE_minute,long,2024-10-07 15:26:00,2024-10-08 09:16:00,535.4,533.95,1,535.4,533.95,closed,-1.45,-0.2708
361,GRAPHITE_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,558.15,575.6,1,558.15,575.6,closed,17.45,3.1264
363,GRAPHITE_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,575.1,581.0,1,575.1,581.0,closed,5.9,1.0259
369,GRAPHITE_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,581.15,577.5,1,581.15,577.5,closed,-3.65,-0.6281
374,GRAPHITE_minute,long,2024-10-15 15:26:00,2024-10-16 09:19:00,596.65,590.68,1,596.65,590.68,closed,-5.97,-1.0
377,GRAPHITE_minute,long,2024-10-17 15:26:00,2024-10-18 09:15:00,582.0,576.18,1,582.0,576.18,closed,-5.82,-1.0
385,GRAPHITE_minute,long,2024-10-23 15:26:00,2024-10-24 09:18:00,521.9,523.36,1,521.9,523.36,closed,1.46,0.2804
389,GRAPHITE_minute,long,2024-10-25 15:26:00,2024-10-28 09:15:00,495.0,494.45,1,495.0,494.45,closed,-0.55,-0.1111
390,GRAPHITE_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,502.95,507.8,1,502.95,507.8,closed,4.85,0.9643
403,GRAPHITE_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,537.75,533.35,1,537.75,533.35,closed,-4.4,-0.8182
411,GRAPHITE_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,499.2,486.7,1,499.2,486.7,closed,-12.5,-2.504
416,GRAPHITE_minute,long,2024-11-13 15:26:00,2024-11-14 09:15:00,484.5,487.9,1,484.5,487.9,closed,3.4,0.7018
424,GRAPHITE_minute,long,2024-11-21 15:26:00,2024-11-22 09:16:00,463.35,460.35,1,463.35,460.35,closed,-3.0,-0.6475
434,GRAPHITE_minute,long,2024-11-27 15:26:00,2024-11-28 09:15:00,484.0,484.16,1,484.0,484.16,closed,0.16,0.033
439,GRAPHITE_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,507.2,521.1,1,507.2,521.1,closed,13.9,2.7405
447,GRAPHITE_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,522.6,569.0,1,522.6,569.0,closed,46.4,8.8787
449,GRAPHITE_minute,long,2024-12-04 15:26:00,2024-12-05 09:15:00,607.0,598.0,1,607.0,598.0,closed,-9.0,-1.4827
463,GRAPHITE_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,565.05,561.3,1,565.05,561.3,closed,-3.75,-0.6637
476,GRAPHITE_minute,long,2024-12-30 15:26:00,,554.25,0.0,1,554.25,0.0,open,0.0,0.0
