,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,HAVELLS_minute,long,2024-01-23 15:26:00,2024-01-24 09:15:00,1320.05,1299.0,1,1320.05,1299.0,closed,-21.05,-1.5946
9,HAVELLS_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,1296.9,1296.1,1,1296.9,1296.1,closed,-0.8,-0.0617
27,HAVELLS_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,1348.6,1334.25,1,1348.6,1334.25,closed,-14.35,-1.0641
29,HAVELLS_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,1334.35,1363.0,1,1334.35,1363.0,closed,28.65,2.1471
47,HAVELLS_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,1429.95,1426.05,1,1429.95,1426.05,closed,-3.9,-0.2727
54,HAVELLS_minute,long,2024-02-26 15:26:00,2024-02-27 09:15:00,1425.15,1435.5,1,1425.15,1435.5,closed,10.35,0.7262
55,HAVELLS_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,1471.5,1526.7,1,1471.5,1526.7,closed,55.2,3.7513
63,HAVELLS_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1536.35,1517.6,1,1536.35,1517.6,closed,-18.75,-1.2204
72,HAVELLS_minute,long,2024-03-11 15:26:00,2024-03-12 09:15:00,1543.0,1527.57,1,1543.0,1527.57,closed,-15.43,-1.0
73,HAVELLS_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,1502.95,1474.0,1,1502.95,1474.0,closed,-28.95,-1.9262
76,HAVELLS_minute,long,2024-03-13 15:26:00,2024-03-14 09:16:00,1473.25,1459.31,1,1473.25,1459.31,closed,-13.94,-0.9462
77,HAVELLS_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,1521.85,1506.63,1,1521.85,1506.63,closed,-15.22,-1.0
90,HAVELLS_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,1489.75,1472.85,1,1489.75,1472.85,closed,-16.9,-1.1344
92,HAVELLS_minute,long,2024-03-22 15:26:00,2024-03-26 09:15:00,1471.8,1450.0,1,1471.8,1450.0,closed,-21.8,-1.4812
94,HAVELLS_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,1493.0,1490.0,1,1493.0,1490.0,closed,-3.0,-0.2009
100,HAVELLS_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,1491.0,1521.45,1,1491.0,1521.45,closed,30.45,2.0423
103,HAVELLS_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,1519.8,1516.0,1,1519.8,1516.0,closed,-3.8,-0.25
150,HAVELLS_minute,long,2024-04-30 15:26:00,2024-05-02 09:15:00,1664.25,1686.0,1,1664.25,1686.0,closed,21.75,1.3069
153,HAVELLS_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,1664.6,1675.35,1,1664.6,1675.35,closed,10.75,0.6458
157,HAVELLS_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,1691.9,1671.0,1,1691.9,1671.0,closed,-20.9,-1.2353
170,HAVELLS_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,1688.7,1707.65,1,1688.7,1707.65,closed,18.95,1.1222
177,HAVELLS_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,1730.0,1751.6,1,1730.0,1751.6,closed,21.6,1.2486
184,HAVELLS_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,1779.2,1816.25,1,1779.2,1816.25,closed,37.05,2.0824
192,HAVELLS_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,1841.35,1846.55,1,1841.35,1846.55,closed,5.2,0.2824
203,HAVELLS_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,1862.1,1897.2,1,1862.1,1897.2,closed,35.1,1.885
207,HAVELLS_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,1903.0,1965.55,1,1903.0,1965.55,closed,62.55,3.2867
210,HAVELLS_minute,long,2024-06-03 15:26:00,2024-06-04 09:15:00,1879.95,1861.15,1,1879.95,1861.15,closed,-18.8,-1.0
238,HAVELLS_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,1820.5,1823.9,1,1820.5,1823.9,closed,3.4,0.1868
248,HAVELLS_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,1879.7,1883.3,1,1879.7,1883.3,closed,3.6,0.1915
256,HAVELLS_minute,long,2024-07-09 15:26:00,2024-07-10 15:29:00,1925.6,1929.05,1,1925.6,1929.05,closed,3.45,0.1792
261,HAVELLS_minute,long,2024-07-12 15:26:00,2024-07-15 09:15:00,1909.15,1913.0,1,1909.15,1913.0,closed,3.85,0.2017
279,HAVELLS_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,1830.7,1836.85,1,1830.7,1836.85,closed,6.15,0.3359
300,HAVELLS_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,1821.3,1783.85,1,1821.3,1783.85,closed,-37.45,-2.0562
307,HAVELLS_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,1827.2,1850.05,1,1827.2,1850.05,closed,22.85,1.2505
325,HAVELLS_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,1887.0,1909.9,1,1887.0,1909.9,closed,22.9,1.2136
