,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,HUDCO_minute,long,2024-01-19 15:26:00,2024-01-20 09:15:00,160.1,160.88,1,160.1,160.88,closed,0.78,0.4841
5,HUDCO_minute,long,2024-01-29 15:26:00,2024-01-30 09:15:00,168.3,168.5,1,168.3,168.5,closed,0.2,0.1176
15,HUDCO_minute,long,2024-02-02 15:26:00,2024-02-05 09:15:00,208.2,207.4,1,208.2,207.4,closed,-0.79,-0.3818
24,HUDCO_minute,long,2024-02-08 15:26:00,2024-02-09 09:16:00,198.2,196.71,1,198.2,196.71,closed,-1.49,-0.7503
33,HUDCO_minute,long,2024-02-16 15:26:00,2024-02-19 09:16:00,198.85,197.6,1,198.85,197.6,closed,-1.25,-0.6266
47,HUDCO_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,191.4,192.9,1,191.4,192.9,closed,1.5,0.7837
59,HUDCO_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,181.9,182.65,1,181.9,182.65,closed,0.75,0.4123
66,HUDCO_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,191.45,189.54,1,191.45,189.54,closed,-1.91,-1.0
80,HUDCO_minute,long,2024-03-22 15:26:00,2024-03-26 09:19:00,183.4,182.7,1,183.4,182.7,closed,-0.7,-0.3792
88,HUDCO_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,187.4,200.5,1,187.4,200.5,closed,13.1,6.9904
101,HUDCO_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,211.05,204.65,1,211.05,204.65,closed,-6.4,-3.0325
105,HUDCO_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,205.0,197.7,1,205.0,197.7,closed,-7.3,-3.561
110,HUDCO_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,195.15,193.3,1,195.15,193.3,closed,-1.85,-0.948
111,HUDCO_minute,long,2024-04-19 15:26:00,2024-04-22 15:29:00,194.9,195.85,1,194.9,195.85,closed,0.95,0.4874
114,HUDCO_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,195.85,197.05,1,195.85,197.05,closed,1.2,0.6127
131,HUDCO_minute,long,2024-05-03 15:26:00,2024-05-06 09:18:00,220.2,219.19,1,220.2,219.19,closed,-1.01,-0.4605
137,HUDCO_minute,long,2024-05-09 15:26:00,2024-05-10 09:15:00,214.5,216.25,1,214.5,216.25,closed,1.75,0.8159
148,HUDCO_minute,long,2024-05-13 15:26:00,2024-05-14 09:17:00,216.7,220.13,1,216.7,220.13,closed,3.43,1.5812
152,HUDCO_minute,long,2024-05-15 15:26:00,2024-05-16 09:16:00,229.65,231.95,1,229.65,231.95,closed,2.3,1.0015
154,HUDCO_minute,long,2024-05-16 15:26:00,2024-05-17 09:16:00,235.2,233.45,1,235.2,233.45,closed,-1.75,-0.744
165,HUDCO_minute,long,2024-05-28 15:26:00,2024-05-29 09:15:00,249.8,248.98,1,249.8,248.98,closed,-0.82,-0.3263
172,HUDCO_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,261.75,272.85,1,261.75,272.85,closed,11.1,4.2407
177,HUDCO_minute,long,2024-06-06 15:26:00,2024-06-07 09:15:00,250.0,250.42,1,250.0,250.42,closed,0.42,0.1682
182,HUDCO_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,279.65,279.3,1,279.65,279.3,closed,-0.35,-0.1252
187,HUDCO_minute,long,2024-06-13 15:26:00,2024-06-14 09:18:00,279.1,277.6,1,279.1,277.6,closed,-1.5,-0.5389
192,HUDCO_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,282.5,280.55,1,282.5,280.55,closed,-1.95,-0.6903
198,HUDCO_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,275.65,275.35,1,275.65,275.35,closed,-0.3,-0.1088
205,HUDCO_minute,long,2024-06-27 15:26:00,2024-06-28 09:18:00,284.0,282.94,1,284.0,282.94,closed,-1.06,-0.3725
210,HUDCO_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,280.95,281.8,1,280.95,281.8,closed,0.85,0.3025
212,HUDCO_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,281.85,278.85,1,281.85,278.85,closed,-3.0,-1.0644
217,HUDCO_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,277.95,301.4,1,277.95,301.4,closed,23.45,8.4368
223,HUDCO_minute,long,2024-07-05 15:26:00,2024-07-08 09:16:00,329.3,331.15,1,329.3,331.15,closed,1.85,0.5618
225,HUDCO_minute,long,2024-07-08 15:26:00,2024-07-09 09:15:00,333.5,336.0,1,333.5,336.0,closed,2.5,0.7496
228,HUDCO_minute,long,2024-07-10 15:26:00,2024-07-11 09:17:00,330.95,330.86,1,330.95,330.86,closed,-0.09,-0.0278
233,HUDCO_minute,long,2024-07-12 15:26:00,2024-07-15 09:17:00,335.0,334.47,1,335.0,334.47,closed,-0.53,-0.1578
237,HUDCO_minute,long,2024-07-16 15:26:00,2024-07-18 09:16:00,335.95,333.33,1,335.95,333.33,closed,-2.62,-0.779
238,HUDCO_minute,long,2024-07-18 15:26:00,2024-07-19 09:15:00,323.25,319.7,1,323.25,319.7,closed,-3.55,-1.0982
263,HUDCO_minute,long,2024-08-05 15:26:00,2024-08-06 09:15:00,290.3,298.6,1,290.3,298.6,closed,8.3,2.8591
269,HUDCO_minute,long,2024-08-09 15:26:00,2024-08-12 09:15:00,292.25,294.72,1,292.25,294.72,closed,2.47,0.8462
270,HUDCO_minute,long,2024-08-12 15:26:00,2024-08-13 09:15:00,300.7,306.6,1,300.7,306.6,closed,5.9,1.9631
273,HUDCO_minute,long,2024-08-13 15:26:00,2024-08-14 09:15:00,289.95,291.06,1,289.95,291.06,closed,1.11,0.3828
275,HUDCO_minute,long,2024-08-14 15:26:00,2024-08-16 09:15:00,288.3,287.84,1,288.3,287.84,closed,-0.46,-0.1587
283,HUDCO_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,284.85,286.25,1,284.85,286.25,closed,1.4,0.4915
286,HUDCO_minute,long,2024-08-22 15:26:00,2024-08-23 15:29:00,285.7,284.45,1,285.7,284.45,closed,-1.25,-0.4375
287,HUDCO_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,284.2,278.85,1,284.2,278.85,closed,-5.35,-1.8825
296,HUDCO_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,278.6,278.4,1,278.6,278.4,closed,-0.2,-0.0718
299,HUDCO_minute,long,2024-08-29 15:26:00,2024-08-30 09:15:00,295.85,294.52,1,295.85,294.52,closed,-1.33,-0.4479
302,HUDCO_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,274.85,273.3,1,274.85,273.3,closed,-1.55,-0.5639
304,HUDCO_minute,long,2024-09-03 15:26:00,2024-09-04 09:15:00,273.3,269.0,1,273.3,269.0,closed,-4.3,-1.5734
306,HUDCO_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,266.65,262.25,1,266.65,262.25,closed,-4.4,-1.6501
309,HUDCO_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,262.2,255.1,1,262.2,255.1,closed,-7.1,-2.7079
311,HUDCO_minute,long,2024-09-06 15:26:00,2024-09-09 09:15:00,254.5,251.96,1,254.5,251.96,closed,-2.55,-1.0
316,HUDCO_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,252.55,253.8,1,252.55,253.8,closed,1.25,0.495
319,HUDCO_minute,long,2024-09-10 15:26:00,2024-09-11 09:15:00,253.6,254.13,1,253.6,254.13,closed,0.53,0.2102
323,HUDCO_minute,long,2024-09-12 15:26:00,2024-09-13 09:16:00,254.1,251.56,1,254.1,251.56,closed,-2.54,-1.0
329,HUDCO_minute,long,2024-09-19 15:26:00,2024-09-20 09:15:00,231.75,232.25,1,231.75,232.25,closed,0.5,0.2157
338,HUDCO_minute,long,2024-09-23 15:26:00,2024-09-24 09:18:00,244.15,242.55,1,244.15,242.55,closed,-1.6,-0.6553
340,HUDCO_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,242.3,236.75,1,242.3,236.75,closed,-5.55,-2.2905
345,HUDCO_minute,long,2024-09-26 15:26:00,2024-09-27 09:16:00,234.85,233.29,1,234.85,233.29,closed,-1.56,-0.6628
354,HUDCO_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,235.91,230.0,1,235.91,230.0,closed,-5.91,-2.5052
369,HUDCO_minute,long,2024-10-08 15:26:00,2024-10-09 09:15:00,228.6,230.05,1,228.6,230.05,closed,1.45,0.6343
372,HUDCO_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,227.11,224.99,1,227.11,224.99,closed,-2.12,-0.9335
382,HUDCO_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,223.48,223.55,1,223.48,223.55,closed,0.07,0.0313
386,HUDCO_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,225.2,223.55,1,225.2,223.55,closed,-1.65,-0.7327
387,HUDCO_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,223.69,217.01,1,223.69,217.01,closed,-6.68,-2.9863
397,HUDCO_minute,long,2024-10-22 15:26:00,2024-10-23 09:15:00,199.87,199.05,1,199.87,199.05,closed,-0.82,-0.4103
400,HUDCO_minute,long,2024-10-23 15:26:00,2024-10-24 09:17:00,200.98,200.67,1,200.98,200.67,closed,-0.31,-0.1528
403,HUDCO_minute,long,2024-10-25 15:26:00,2024-10-28 09:19:00,194.01,194.48,1,194.01,194.48,closed,0.47,0.24
440,HUDCO_minute,long,2024-11-19 15:26:00,2024-11-21 09:15:00,206.68,204.61,1,206.68,204.61,closed,-2.07,-1.0
444,HUDCO_minute,long,2024-11-22 15:26:00,2024-11-25 09:18:00,206.48,214.64,1,206.48,214.64,closed,8.16,3.952
452,HUDCO_minute,long,2024-11-28 15:26:00,2024-11-29 09:15:00,228.4,226.12,1,228.4,226.12,closed,-2.28,-1.0
458,HUDCO_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,235.9,242.9,1,235.9,242.9,closed,7.0,2.9674
461,HUDCO_minute,long,2024-12-04 15:26:00,2024-12-05 09:15:00,242.8,241.95,1,242.8,241.95,closed,-0.85,-0.3517
476,HUDCO_minute,long,2024-12-17 15:26:00,2024-12-18 09:15:00,256.75,254.18,1,256.75,254.18,closed,-2.57,-1.0
478,HUDCO_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,248.25,241.1,1,248.25,241.1,closed,-7.15,-2.8802
495,HUDCO_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,228.7,226.6,1,228.7,226.6,closed,-2.1,-0.9182
