,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
2,ITI_minute,long,2024-01-20 15:26:00,2024-01-23 09:15:00,353.35,354.72,1,353.35,354.72,closed,1.37,0.3869
7,ITI_minute,long,2024-01-29 15:26:00,2024-01-30 09:15:00,334.1,335.5,1,334.1,335.5,closed,1.4,0.419
9,ITI_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,338.8,341.0,1,338.8,341.0,closed,2.2,0.6494
11,ITI_minute,long,2024-01-31 15:26:00,2024-02-01 09:16:00,341.5,342.74,1,341.5,342.74,closed,1.24,0.3625
13,ITI_minute,long,2024-02-01 15:26:00,2024-02-02 09:15:00,341.9,342.54,1,341.9,342.54,closed,0.64,0.1872
22,ITI_minute,long,2024-02-07 15:26:00,2024-02-08 09:16:00,348.55,348.28,1,348.55,348.28,closed,-0.27,-0.0769
29,ITI_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,279.85,285.0,1,279.85,285.0,closed,5.15,1.8403
30,ITI_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,296.75,290.0,1,296.75,290.0,closed,-6.75,-2.2746
31,ITI_minute,long,2024-02-14 15:26:00,2024-02-15 09:15:00,296.75,304.0,1,296.75,304.0,closed,7.25,2.4431
34,ITI_minute,long,2024-02-16 15:26:00,2024-02-19 09:15:00,312.65,318.0,1,312.65,318.0,closed,5.35,1.7112
38,ITI_minute,long,2024-02-20 15:26:00,2024-02-21 09:16:00,325.8,324.47,1,325.8,324.47,closed,-1.33,-0.4075
41,ITI_minute,long,2024-02-21 15:26:00,2024-02-22 15:29:00,315.05,313.0,1,315.05,313.0,closed,-2.05,-0.6507
49,ITI_minute,long,2024-02-26 15:26:00,2024-02-27 09:15:00,317.85,315.32,1,317.85,315.32,closed,-2.54,-0.7975
54,ITI_minute,long,2024-02-28 15:26:00,2024-02-29 09:15:00,301.35,300.71,1,301.35,300.71,closed,-0.64,-0.2115
59,ITI_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,298.1,295.47,1,298.1,295.47,closed,-2.63,-0.8838
62,ITI_minute,long,2024-03-01 15:26:00,2024-03-02 09:17:00,292.0,292.4,1,292.0,292.4,closed,0.4,0.1358
67,ITI_minute,long,2024-03-05 15:26:00,2024-03-06 09:16:00,289.0,287.89,1,289.0,287.89,closed,-1.11,-0.3834
82,ITI_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,259.8,258.19,1,259.8,258.19,closed,-1.61,-0.6189
84,ITI_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,252.45,247.8,1,252.45,247.8,closed,-4.65,-1.8419
96,ITI_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,272.85,270.7,1,272.85,270.7,closed,-2.15,-0.788
104,ITI_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,262.75,258.0,1,262.75,258.0,closed,-4.75,-1.8078
109,ITI_minute,long,2024-04-15 15:26:00,2024-04-16 09:15:00,252.55,247.0,1,252.55,247.0,closed,-5.55,-2.1976
116,ITI_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,252.3,249.78,1,252.3,249.78,closed,-2.52,-1.0
118,ITI_minute,long,2024-04-19 15:26:00,2024-04-22 09:15:00,248.25,252.1,1,248.25,252.1,closed,3.85,1.5523
124,ITI_minute,long,2024-04-24 15:26:00,2024-04-25 09:15:00,296.05,293.09,1,296.05,293.09,closed,-2.96,-1.0
133,ITI_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,304.95,299.2,1,304.95,299.2,closed,-5.75,-1.8856
146,ITI_minute,long,2024-05-10 15:26:00,2024-05-13 09:19:00,278.25,276.95,1,278.25,276.95,closed,-1.3,-0.4663
151,ITI_minute,long,2024-05-14 15:26:00,2024-05-15 09:17:00,285.05,289.55,1,285.05,289.55,closed,4.5,1.5787
152,ITI_minute,long,2024-05-15 15:26:00,2024-05-16 09:15:00,313.95,311.4,1,313.95,311.4,closed,-2.55,-0.8108
155,ITI_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,308.3,312.85,1,308.3,312.85,closed,4.55,1.4758
162,ITI_minute,long,2024-05-23 15:26:00,2024-05-24 09:15:00,320.75,317.54,1,320.75,317.54,closed,-3.21,-1.0
166,ITI_minute,long,2024-05-27 15:26:00,2024-05-28 09:18:00,305.4,305.71,1,305.4,305.71,closed,0.31,0.1022
195,ITI_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,304.25,301.21,1,304.25,301.21,closed,-3.04,-1.0
202,ITI_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,306.45,308.5,1,306.45,308.5,closed,2.05,0.669
214,ITI_minute,long,2024-07-05 15:26:00,2024-07-08 15:29:00,310.0,313.7,1,310.0,313.7,closed,3.7,1.1935
223,ITI_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,306.1,307.9,1,306.1,307.9,closed,1.8,0.588
230,ITI_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,319.55,313.0,1,319.55,313.0,closed,-6.55,-2.0498
233,ITI_minute,long,2024-07-16 15:26:00,2024-07-18 09:18:00,313.5,310.36,1,313.5,310.36,closed,-3.13,-1.0
236,ITI_minute,long,2024-07-18 15:26:00,2024-07-19 09:16:00,303.85,301.75,1,303.85,301.75,closed,-2.1,-0.6905
243,ITI_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,304.1,307.35,1,304.1,307.35,closed,3.25,1.0687
249,ITI_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,310.5,309.0,1,310.5,309.0,closed,-1.5,-0.4831
251,ITI_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,309.85,304.65,1,309.85,304.65,closed,-5.2,-1.6782
256,ITI_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,300.55,295.0,1,300.55,295.0,closed,-5.55,-1.8466
261,ITI_minute,long,2024-08-07 15:26:00,2024-08-08 09:16:00,295.4,292.45,1,295.4,292.45,closed,-2.95,-1.0
269,ITI_minute,long,2024-08-12 15:26:00,2024-08-13 09:15:00,288.7,288.65,1,288.7,288.65,closed,-0.05,-0.0173
280,ITI_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,286.95,292.4,1,286.95,292.4,closed,5.45,1.8993
281,ITI_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,292.55,295.85,1,292.55,295.85,closed,3.3,1.128
289,ITI_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,302.7,304.1,1,302.7,304.1,closed,1.4,0.4625
306,ITI_minute,long,2024-09-03 15:26:00,2024-09-04 09:15:00,299.15,295.8,1,299.15,295.8,closed,-3.35,-1.1198
315,ITI_minute,long,2024-09-06 15:26:00,2024-09-09 09:16:00,289.55,286.65,1,289.55,286.65,closed,-2.9,-1.0
322,ITI_minute,long,2024-09-09 15:26:00,2024-09-10 09:15:00,284.2,283.5,1,284.2,283.5,closed,-0.7,-0.2463
331,ITI_minute,long,2024-09-12 15:26:00,2024-09-13 09:18:00,291.85,291.16,1,291.85,291.16,closed,-0.69,-0.2368
348,ITI_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,280.4,282.95,1,280.4,282.95,closed,2.55,0.9094
350,ITI_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,283.0,281.0,1,283.0,281.0,closed,-2.0,-0.7067
360,ITI_minute,long,2024-09-27 15:26:00,2024-09-30 09:15:00,264.2,264.95,1,264.2,264.95,closed,0.75,0.2839
362,ITI_minute,long,2024-09-30 15:26:00,2024-10-01 09:15:00,256.5,256.35,1,256.5,256.35,closed,-0.15,-0.0585
368,ITI_minute,long,2024-10-03 15:26:00,2024-10-04 09:17:00,258.4,257.4,1,258.4,257.4,closed,-1.0,-0.387
369,ITI_minute,long,2024-10-04 15:26:00,2024-10-07 09:15:00,250.35,250.47,1,250.35,250.47,closed,0.12,0.0479
374,ITI_minute,long,2024-10-08 15:26:00,2024-10-09 09:15:00,244.15,244.83,1,244.15,244.83,closed,0.68,0.2773
377,ITI_minute,long,2024-10-09 15:26:00,2024-10-10 09:16:00,246.1,245.32,1,246.1,245.32,closed,-0.78,-0.3161
382,ITI_minute,long,2024-10-10 15:26:00,2024-10-11 09:16:00,246.45,245.67,1,246.45,245.67,closed,-0.78,-0.3171
385,ITI_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,248.8,245.95,1,248.8,245.95,closed,-2.85,-1.1455
403,ITI_minute,long,2024-10-18 15:26:00,2024-10-21 09:15:00,240.4,242.0,1,240.4,242.0,closed,1.6,0.6656
409,ITI_minute,long,2024-10-22 15:26:00,2024-10-23 09:15:00,220.4,220.6,1,220.4,220.6,closed,0.2,0.0907
411,ITI_minute,long,2024-10-23 15:26:00,2024-10-24 09:15:00,225.4,223.15,1,225.4,223.15,closed,-2.25,-1.0
414,ITI_minute,long,2024-10-24 15:26:00,2024-10-25 09:15:00,221.3,220.57,1,221.3,220.57,closed,-0.73,-0.329
415,ITI_minute,long,2024-10-25 15:26:00,2024-10-28 09:17:00,211.95,212.2,1,211.95,212.2,closed,0.25,0.118
416,ITI_minute,long,2024-10-28 15:26:00,2024-10-29 09:15:00,218.95,216.5,1,218.95,216.5,closed,-2.45,-1.119
418,ITI_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,217.85,227.0,1,217.85,227.0,closed,9.15,4.2001
429,ITI_minute,long,2024-11-06 15:26:00,2024-11-07 09:15:00,232.5,235.5,1,232.5,235.5,closed,3.0,1.2903
440,ITI_minute,long,2024-11-13 15:26:00,2024-11-14 09:15:00,293.0,299.84,1,293.0,299.84,closed,6.84,2.3345
442,ITI_minute,long,2024-11-14 15:26:00,2024-11-18 09:15:00,295.91,298.8,1,295.91,298.8,closed,2.89,0.9766
469,ITI_minute,long,2024-12-12 15:26:00,2024-12-13 09:15:00,367.5,365.0,1,367.5,365.0,closed,-2.5,-0.6803
471,ITI_minute,long,2024-12-13 15:26:00,2024-12-16 09:15:00,359.5,360.0,1,359.5,360.0,closed,0.5,0.1391
478,ITI_minute,long,2024-12-16 15:26:00,2024-12-17 09:15:00,372.55,374.12,1,372.55,374.12,closed,1.57,0.4217
485,ITI_minute,long,2024-12-19 15:26:00,2024-12-20 09:15:00,357.35,360.21,1,357.35,360.21,closed,2.86,0.8008
