,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,JIOFIN_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,241.0,239.95,1,241.0,239.95,closed,-1.05,-0.4357
25,JIOFIN_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,269.15,263.65,1,269.15,263.65,closed,-5.5,-2.0435
29,JIOFIN_minute,long,2024-02-08 15:26:00,2024-02-09 09:18:00,263.3,262.75,1,263.3,262.75,closed,-0.55,-0.2104
35,JIOFIN_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,273.0,270.27,1,273.0,270.27,closed,-2.73,-1.0
58,JIOFIN_minute,long,2024-02-28 15:26:00,2024-02-29 09:16:00,309.25,315.22,1,309.25,315.22,closed,5.97,1.9292
63,JIOFIN_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,317.8,328.45,1,317.8,328.45,closed,10.65,3.3512
68,JIOFIN_minute,long,2024-03-04 15:26:00,2024-03-05 09:16:00,322.95,321.06,1,322.95,321.06,closed,-1.89,-0.5862
69,JIOFIN_minute,long,2024-03-05 15:26:00,2024-03-06 09:16:00,322.55,322.45,1,322.55,322.45,closed,-0.1,-0.031
76,JIOFIN_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,363.5,363.23,1,363.5,363.23,closed,-0.27,-0.074
80,JIOFIN_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,340.9,339.27,1,340.9,339.27,closed,-1.63,-0.4773
85,JIOFIN_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,345.2,344.62,1,345.2,344.62,closed,-0.58,-0.1683
88,JIOFIN_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,353.35,338.2,1,353.35,338.2,closed,-15.15,-4.2875
90,JIOFIN_minute,long,2024-03-20 15:26:00,2024-03-21 09:18:00,338.0,343.28,1,338.0,343.28,closed,5.28,1.5629
94,JIOFIN_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,345.4,346.4,1,345.4,346.4,closed,1.0,0.2895
96,JIOFIN_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,346.2,349.7,1,346.2,349.7,closed,3.5,1.011
100,JIOFIN_minute,long,2024-03-28 15:26:00,2024-04-01 09:16:00,353.95,358.45,1,353.95,358.45,closed,4.5,1.2714
