,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
9,LUPIN_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,1456.35,1478.6,1,1456.35,1478.6,closed,22.25,1.5278
19,LUPIN_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,1517.1,1508.35,1,1517.1,1508.35,closed,-8.75,-0.5768
21,LUPIN_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,1505.35,1574.15,1,1505.35,1574.15,closed,68.8,4.5704
33,LUPIN_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,1616.0,1607.0,1,1616.0,1607.0,closed,-9.0,-0.5569
41,LUPIN_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,1590.05,1593.85,1,1590.05,1593.85,closed,3.8,0.239
43,LUPIN_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,1595.35,1592.9,1,1595.35,1592.9,closed,-2.45,-0.1536
58,LUPIN_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1624.55,1623.0,1,1624.55,1623.0,closed,-1.55,-0.0954
67,LUPIN_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,1664.25,1670.15,1,1664.25,1670.15,closed,5.9,0.3545
76,LUPIN_minute,long,2024-03-12 15:26:00,2024-03-13 09:16:00,1645.65,1644.59,1,1645.65,1644.59,closed,-1.06,-0.0645
85,LUPIN_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,1642.4,1624.0,1,1642.4,1624.0,closed,-18.4,-1.1203
93,LUPIN_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,1613.3,1609.85,1,1613.3,1609.85,closed,-3.45,-0.2138
98,LUPIN_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,1602.6,1618.6,1,1602.6,1618.6,closed,16.0,0.9984
100,LUPIN_minute,long,2024-03-28 15:26:00,2024-04-01 09:15:00,1622.2,1645.23,1,1622.2,1645.23,closed,23.03,1.4198
119,LUPIN_minute,long,2024-04-12 15:26:00,2024-04-15 09:19:00,1623.6,1615.48,1,1623.6,1615.48,closed,-8.12,-0.5
123,LUPIN_minute,long,2024-04-15 15:26:00,2024-04-16 09:15:00,1613.9,1601.67,1,1613.9,1601.67,closed,-12.23,-0.7577
128,LUPIN_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,1611.8,1577.55,1,1611.8,1577.55,closed,-34.25,-2.125
133,LUPIN_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,1580.35,1593.5,1,1580.35,1593.5,closed,13.15,0.8321
139,LUPIN_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,1639.05,1649.85,1,1639.05,1649.85,closed,10.8,0.6589
143,LUPIN_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,1650.45,1655.2,1,1650.45,1655.2,closed,4.75,0.2878
149,LUPIN_minute,long,2024-05-06 15:26:00,2024-05-07 09:15:00,1683.1,1667.16,1,1683.1,1667.16,closed,-15.94,-0.9471
158,LUPIN_minute,long,2024-05-10 15:26:00,2024-05-13 09:16:00,1606.85,1613.5,1,1606.85,1613.5,closed,6.65,0.4139
167,LUPIN_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,1639.0,1658.0,1,1639.0,1658.0,closed,19.0,1.1592
179,LUPIN_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,1688.3,1721.0,1,1688.3,1721.0,closed,32.7,1.9369
183,LUPIN_minute,long,2024-05-22 15:26:00,2024-05-23 09:15:00,1719.55,1700.0,1,1719.55,1700.0,closed,-19.55,-1.1369
193,LUPIN_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,1593.45,1606.32,1,1593.45,1606.32,closed,12.87,0.808
199,LUPIN_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,1629.05,1633.0,1,1629.05,1633.0,closed,3.95,0.2425
215,LUPIN_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,1584.35,1570.1,1,1584.35,1570.1,closed,-14.25,-0.8994
218,LUPIN_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,1573.4,1555.0,1,1573.4,1555.0,closed,-18.4,-1.1694
220,LUPIN_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,1563.4,1565.5,1,1563.4,1565.5,closed,2.1,0.1343
221,LUPIN_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1566.85,1557.15,1,1566.85,1557.15,closed,-9.7,-0.6191
227,LUPIN_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,1585.55,1623.6,1,1585.55,1623.6,closed,38.05,2.3998
231,LUPIN_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,1617.25,1635.25,1,1617.25,1635.25,closed,18.0,1.113
233,LUPIN_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,1636.0,1630.3,1,1636.0,1630.3,closed,-5.7,-0.3484
243,LUPIN_minute,long,2024-07-09 15:26:00,2024-07-10 15:29:00,1819.4,1824.0,1,1819.4,1824.0,closed,4.6,0.2528
252,LUPIN_minute,long,2024-07-16 15:26:00,2024-07-18 09:15:00,1845.55,1825.0,1,1845.55,1825.0,closed,-20.55,-1.1135
292,LUPIN_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,2127.6,2172.5,1,2127.6,2172.5,closed,44.9,2.1104
299,LUPIN_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,2245.3,2232.95,1,2245.3,2232.95,closed,-12.35,-0.55
321,LUPIN_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,2210.15,2248.05,1,2210.15,2248.05,closed,37.9,1.7148
323,LUPIN_minute,long,2024-09-12 15:26:00,2024-09-13 15:29:00,2249.7,2250.3,1,2249.7,2250.3,closed,0.6,0.0267
334,LUPIN_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,2154.0,2183.7,1,2154.0,2183.7,closed,29.7,1.3788
349,LUPIN_minute,long,2024-09-26 15:26:00,2024-09-27 09:15:00,2195.0,2170.0,1,2195.0,2170.0,closed,-25.0,-1.139
351,LUPIN_minute,long,2024-09-27 15:26:00,2024-09-30 09:15:00,2222.8,2183.0,1,2222.8,2183.0,closed,-39.8,-1.7905
362,LUPIN_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,2221.45,2282.0,1,2221.45,2282.0,closed,60.55,2.7257
428,LUPIN_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,2073.6,2110.0,1,2073.6,2110.0,closed,36.4,1.7554
440,LUPIN_minute,long,2024-11-29 15:26:00,2024-12-02 15:29:00,2053.4,2069.35,1,2053.4,2069.35,closed,15.95,0.7768
452,LUPIN_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,2102.7,2126.0,1,2102.7,2126.0,closed,23.3,1.1081
457,LUPIN_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,2110.95,2135.2,1,2110.95,2135.2,closed,24.25,1.1488
471,LUPIN_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,2150.0,2163.8,1,2150.0,2163.8,closed,13.8,0.6419
474,LUPIN_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,2169.9,2184.0,1,2169.9,2184.0,closed,14.1,0.6498
477,LUPIN_minute,long,2024-12-30 15:26:00,,2309.9,0.0,1,2309.9,0.0,open,0.0,0.0
