,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
12,MAHABANK_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,56.5,57.35,1,56.5,57.35,closed,0.85,1.5044
17,MAHABANK_minute,long,2024-02-06 15:26:00,2024-02-07 09:15:00,61.8,62.35,1,61.8,62.35,closed,0.55,0.89
20,MAHABANK_minute,long,2024-02-07 15:26:00,2024-02-08 09:15:00,67.35,68.76,1,67.35,68.76,closed,1.41,2.0869
24,MAHABANK_minute,long,2024-02-08 15:26:00,2024-02-09 09:15:00,64.05,63.61,1,64.05,63.61,closed,-0.44,-0.6909
51,MAHABANK_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,60.55,60.0,1,60.55,60.0,closed,-0.55,-0.9083
58,MAHABANK_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,59.9,57.95,1,59.9,57.95,closed,-1.95,-3.2554
64,MAHABANK_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,59.95,60.6,1,59.95,60.6,closed,0.65,1.0842
69,MAHABANK_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,62.1,61.9,1,62.1,61.9,closed,-0.2,-0.3221
75,MAHABANK_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,58.9,58.7,1,58.9,58.7,closed,-0.2,-0.3396
86,MAHABANK_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,58.55,58.95,1,58.55,58.95,closed,0.4,0.6832
88,MAHABANK_minute,long,2024-03-21 15:26:00,2024-03-22 09:15:00,58.9,58.86,1,58.9,58.86,closed,-0.04,-0.0756
93,MAHABANK_minute,long,2024-03-22 15:26:00,2024-03-26 09:18:00,59.95,59.7,1,59.95,59.7,closed,-0.25,-0.422
105,MAHABANK_minute,long,2024-04-01 15:26:00,2024-04-02 09:16:00,65.25,65.44,1,65.25,65.44,closed,0.19,0.2897
110,MAHABANK_minute,long,2024-04-04 15:26:00,2024-04-05 09:15:00,66.0,65.34,1,66.0,65.34,closed,-0.66,-1.0
114,MAHABANK_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,64.6,64.4,1,64.6,64.4,closed,-0.2,-0.3096
127,MAHABANK_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,61.45,59.85,1,61.45,59.85,closed,-1.6,-2.6037
166,MAHABANK_minute,long,2024-05-09 15:26:00,2024-05-10 09:15:00,63.75,63.11,1,63.75,63.11,closed,-0.64,-1.0
172,MAHABANK_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,62.65,64.3,1,62.65,64.3,closed,1.65,2.6337
176,MAHABANK_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,64.55,64.45,1,64.55,64.45,closed,-0.1,-0.1549
187,MAHABANK_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,67.5,67.6,1,67.5,67.6,closed,0.1,0.1481
198,MAHABANK_minute,long,2024-05-29 15:26:00,2024-05-30 15:29:00,69.1,67.45,1,69.1,67.45,closed,-1.65,-2.3878
202,MAHABANK_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,67.3,69.1,1,67.3,69.1,closed,1.8,2.6746
208,MAHABANK_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,69.2,72.27,1,69.2,72.27,closed,3.07,4.4364
211,MAHABANK_minute,long,2024-06-06 15:26:00,2024-06-07 09:16:00,66.15,65.64,1,66.15,65.64,closed,-0.51,-0.7755
217,MAHABANK_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,67.36,66.7,1,67.36,66.7,closed,-0.66,-0.9798
250,MAHABANK_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,63.76,63.92,1,63.76,63.92,closed,0.16,0.2509
260,MAHABANK_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,65.2,68.8,1,65.2,68.8,closed,3.6,5.5215
265,MAHABANK_minute,long,2024-07-16 15:26:00,2024-07-18 09:18:00,67.77,67.56,1,67.77,67.56,closed,-0.21,-0.3134
272,MAHABANK_minute,long,2024-07-19 15:26:00,2024-07-22 09:15:00,65.69,65.19,1,65.69,65.19,closed,-0.5,-0.7589
274,MAHABANK_minute,long,2024-07-22 15:26:00,2024-07-23 09:16:00,66.69,66.57,1,66.69,66.57,closed,-0.12,-0.1835
284,MAHABANK_minute,long,2024-07-29 15:26:00,2024-07-30 09:15:00,68.16,67.55,1,68.16,67.55,closed,-0.61,-0.8983
299,MAHABANK_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,63.03,62.16,1,63.03,62.16,closed,-0.87,-1.3803
306,MAHABANK_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,60.33,60.63,1,60.33,60.63,closed,0.3,0.4973
310,MAHABANK_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,61.34,62.59,1,61.34,62.59,closed,1.25,2.0378
313,MAHABANK_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,63.22,63.06,1,63.22,63.06,closed,-0.16,-0.2531
336,MAHABANK_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,62.66,62.52,1,62.66,62.52,closed,-0.14,-0.2234
357,MAHABANK_minute,long,2024-09-09 15:26:00,2024-09-10 09:15:00,59.26,59.25,1,59.26,59.25,closed,-0.01,-0.0169
371,MAHABANK_minute,long,2024-09-16 15:26:00,2024-09-17 09:16:00,60.77,60.24,1,60.77,60.24,closed,-0.53,-0.8697
381,MAHABANK_minute,long,2024-09-18 15:26:00,2024-09-19 09:16:00,59.11,59.88,1,59.11,59.88,closed,0.77,1.2945
386,MAHABANK_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,58.27,58.85,1,58.27,58.85,closed,0.58,0.9954
388,MAHABANK_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,58.86,63.2,1,58.86,63.2,closed,4.34,7.3734
396,MAHABANK_minute,long,2024-09-24 15:26:00,2024-09-25 09:15:00,61.52,60.9,1,61.52,60.9,closed,-0.62,-1.0
403,MAHABANK_minute,long,2024-09-26 15:26:00,2024-09-27 09:17:00,60.21,59.88,1,60.21,59.88,closed,-0.33,-0.5561
406,MAHABANK_minute,long,2024-09-30 15:26:00,2024-10-01 09:15:00,60.24,59.64,1,60.24,59.64,closed,-0.6,-1.0
410,MAHABANK_minute,long,2024-10-03 15:26:00,2024-10-04 09:15:00,58.44,58.21,1,58.44,58.21,closed,-0.23,-0.3936
416,MAHABANK_minute,long,2024-10-08 15:26:00,2024-10-09 09:15:00,57.11,56.54,1,57.11,56.54,closed,-0.57,-1.0
422,MAHABANK_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,54.23,54.29,1,54.23,54.29,closed,0.06,0.1106
427,MAHABANK_minute,long,2024-10-11 15:26:00,2024-10-14 09:15:00,54.28,54.35,1,54.28,54.35,closed,0.07,0.129
433,MAHABANK_minute,long,2024-10-15 15:26:00,2024-10-16 09:15:00,54.2,54.75,1,54.2,54.75,closed,0.55,1.0092
436,MAHABANK_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,54.79,53.93,1,54.79,53.93,closed,-0.86,-1.5696
440,MAHABANK_minute,long,2024-10-21 15:26:00,2024-10-22 09:16:00,52.3,52.05,1,52.3,52.05,closed,-0.25,-0.47
443,MAHABANK_minute,long,2024-10-22 15:26:00,2024-10-23 09:17:00,49.3,49.08,1,49.3,49.08,closed,-0.22,-0.4377
447,MAHABANK_minute,long,2024-10-23 15:26:00,2024-10-24 09:16:00,50.5,50.36,1,50.5,50.36,closed,-0.14,-0.2747
450,MAHABANK_minute,long,2024-10-25 15:26:00,2024-10-28 09:15:00,49.04,49.02,1,49.04,49.02,closed,-0.02,-0.0408
