,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,NCC_minute,long,2024-01-19 15:26:00,2024-01-20 09:15:00,204.5,204.95,1,204.5,204.95,closed,0.45,0.22
15,NCC_minute,long,2024-02-05 15:26:00,2024-02-06 09:18:00,217.6,218.59,1,217.6,218.59,closed,0.99,0.4559
17,NCC_minute,long,2024-02-06 15:26:00,2024-02-07 09:19:00,219.35,221.4,1,219.35,221.4,closed,2.05,0.9346
20,NCC_minute,long,2024-02-07 15:26:00,2024-02-08 09:15:00,220.35,220.47,1,220.35,220.47,closed,0.12,0.0558
26,NCC_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,215.6,214.83,1,215.6,214.83,closed,-0.77,-0.3571
37,NCC_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,225.5,230.8,1,225.5,230.8,closed,5.3,2.3503
55,NCC_minute,long,2024-02-28 15:26:00,2024-02-29 09:15:00,249.2,246.91,1,249.2,246.91,closed,-2.29,-0.9205
63,NCC_minute,long,2024-02-29 15:26:00,2024-03-01 09:18:00,246.95,245.82,1,246.95,245.82,closed,-1.13,-0.4588
68,NCC_minute,long,2024-03-04 15:26:00,2024-03-05 09:15:00,250.7,249.08,1,250.7,249.08,closed,-1.62,-0.6446
74,NCC_minute,long,2024-03-06 15:26:00,2024-03-07 09:15:00,254.45,253.89,1,254.45,253.89,closed,-0.56,-0.2219
77,NCC_minute,long,2024-03-07 15:26:00,2024-03-11 09:15:00,258.95,256.95,1,258.95,256.95,closed,-2.0,-0.7706
78,NCC_minute,long,2024-03-11 15:26:00,2024-03-12 15:29:00,244.4,236.75,1,244.4,236.75,closed,-7.65,-3.1301
83,NCC_minute,long,2024-03-18 15:26:00,2024-03-19 09:15:00,222.8,221.17,1,222.8,221.17,closed,-1.63,-0.7334
87,NCC_minute,long,2024-03-20 15:26:00,2024-03-21 09:15:00,218.5,221.9,1,218.5,221.9,closed,3.4,1.5561
90,NCC_minute,long,2024-03-22 15:26:00,2024-03-26 09:15:00,236.7,234.83,1,236.7,234.83,closed,-1.87,-0.7909
99,NCC_minute,long,2024-04-01 15:26:00,2024-04-02 09:15:00,244.0,241.66,1,244.0,241.66,closed,-2.34,-0.9594
102,NCC_minute,long,2024-04-04 15:26:00,2024-04-05 09:15:00,255.7,255.1,1,255.7,255.1,closed,-0.6,-0.2346
104,NCC_minute,long,2024-04-08 15:26:00,2024-04-09 09:16:00,267.35,266.9,1,267.35,266.9,closed,-0.45,-0.1668
109,NCC_minute,long,2024-04-10 15:26:00,2024-04-12 09:15:00,266.6,263.93,1,266.6,263.93,closed,-2.67,-1.0
116,NCC_minute,long,2024-04-15 15:26:00,2024-04-16 09:15:00,253.7,251.61,1,253.7,251.61,closed,-2.09,-0.8244
118,NCC_minute,long,2024-04-16 15:26:00,2024-04-18 09:15:00,247.8,246.0,1,247.8,246.0,closed,-1.8,-0.7264
122,NCC_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,245.25,240.05,1,245.25,240.05,closed,-5.2,-2.1203
131,NCC_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,247.95,249.2,1,247.95,249.2,closed,1.25,0.5041
134,NCC_minute,long,2024-04-24 15:26:00,2024-04-25 09:15:00,249.0,248.0,1,249.0,248.0,closed,-1.0,-0.4036
142,NCC_minute,long,2024-04-26 15:26:00,2024-04-29 09:19:00,250.1,250.87,1,250.1,250.87,closed,0.77,0.3063
154,NCC_minute,long,2024-05-10 15:26:00,2024-05-13 09:15:00,242.95,240.52,1,242.95,240.52,closed,-2.43,-1.0
162,NCC_minute,long,2024-05-16 15:26:00,2024-05-17 09:15:00,274.4,274.0,1,274.4,274.0,closed,-0.4,-0.1458
167,NCC_minute,long,2024-05-22 15:26:00,2024-05-23 09:16:00,289.35,286.46,1,289.35,286.46,closed,-2.89,-1.0
173,NCC_minute,long,2024-05-30 15:26:00,2024-05-31 09:15:00,285.95,285.96,1,285.95,285.96,closed,0.01,0.004
189,NCC_minute,long,2024-06-12 15:26:00,2024-06-13 09:18:00,333.2,332.05,1,333.2,332.05,closed,-1.15,-0.3463
192,NCC_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,325.85,328.35,1,325.85,328.35,closed,2.5,0.7672
199,NCC_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,315.85,324.4,1,315.85,324.4,closed,8.55,2.707
205,NCC_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,322.9,324.3,1,322.9,324.3,closed,1.4,0.4336
209,NCC_minute,long,2024-06-25 15:26:00,2024-06-26 09:16:00,323.7,323.33,1,323.7,323.33,closed,-0.37,-0.1131
218,NCC_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,316.05,315.75,1,316.05,315.75,closed,-0.3,-0.0949
