,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
9,PETRONET_minute,long,2024-01-30 15:26:00,2024-01-31 09:19:00,262.8,262.55,1,262.8,262.55,closed,-0.25,-0.0959
14,PETRONET_minute,long,2024-01-31 15:26:00,2024-02-01 09:16:00,263.55,261.9,1,263.55,261.9,closed,-1.65,-0.6244
23,PETRONET_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,278.15,273.25,1,278.15,273.25,closed,-4.9,-1.7616
30,PETRONET_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,260.75,258.14,1,260.75,258.14,closed,-2.61,-1.0
33,PETRONET_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,266.8,271.65,1,266.8,271.65,closed,4.85,1.8178
46,PETRONET_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,276.05,274.95,1,276.05,274.95,closed,-1.1,-0.3985
59,PETRONET_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,267.95,276.9,1,267.95,276.9,closed,8.95,3.3402
66,PETRONET_minute,long,2024-03-04 15:26:00,2024-03-05 09:15:00,286.1,285.17,1,286.1,285.17,closed,-0.93,-0.3252
78,PETRONET_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,270.1,258.65,1,270.1,258.65,closed,-11.45,-4.2392
103,PETRONET_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,257.6,261.0,1,257.6,261.0,closed,3.4,1.3199
111,PETRONET_minute,long,2024-04-02 15:26:00,2024-04-03 09:15:00,267.65,267.1,1,267.65,267.1,closed,-0.55,-0.2047
128,PETRONET_minute,long,2024-04-10 15:26:00,2024-04-12 09:15:00,296.65,296.9,1,296.65,296.9,closed,0.25,0.0843
129,PETRONET_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,299.35,294.25,1,299.35,294.25,closed,-5.1,-1.7037
179,PETRONET_minute,long,2024-05-22 15:26:00,2024-05-23 09:15:00,304.3,298.85,1,304.3,298.85,closed,-5.45,-1.791
184,PETRONET_minute,long,2024-05-29 15:26:00,2024-05-30 15:29:00,291.8,288.2,1,291.8,288.2,closed,-3.6,-1.2337
196,PETRONET_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,309.45,314.0,1,309.45,314.0,closed,4.55,1.4704
199,PETRONET_minute,long,2024-06-12 15:26:00,2024-06-13 09:15:00,314.35,314.52,1,314.35,314.52,closed,0.17,0.055
213,PETRONET_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,313.6,317.35,1,313.6,317.35,closed,3.75,1.1958
219,PETRONET_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,308.95,314.5,1,308.95,314.5,closed,5.55,1.7964
224,PETRONET_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,314.4,323.55,1,314.4,323.55,closed,9.15,2.9103
233,PETRONET_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,327.55,325.65,1,327.55,325.65,closed,-1.9,-0.5801
250,PETRONET_minute,long,2024-07-18 15:26:00,2024-07-19 09:17:00,339.9,336.5,1,339.9,336.5,closed,-3.4,-1.0
278,PETRONET_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,356.05,358.6,1,356.05,358.6,closed,2.55,0.7162
280,PETRONET_minute,long,2024-08-09 15:26:00,2024-08-12 09:15:00,359.4,355.81,1,359.4,355.81,closed,-3.59,-1.0
285,PETRONET_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,357.55,363.9,1,357.55,363.9,closed,6.35,1.776
291,PETRONET_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,370.05,373.35,1,370.05,373.35,closed,3.3,0.8918
301,PETRONET_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,359.05,361.15,1,359.05,361.15,closed,2.1,0.5849
315,PETRONET_minute,long,2024-09-11 15:26:00,2024-09-12 09:15:00,329.25,331.25,1,329.25,331.25,closed,2.0,0.6074
321,PETRONET_minute,long,2024-09-17 15:26:00,2024-09-18 15:29:00,328.2,324.65,1,328.2,324.65,closed,-3.55,-1.0817
328,PETRONET_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,320.15,325.0,1,320.15,325.0,closed,4.85,1.5149
353,PETRONET_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,340.2,346.7,1,340.2,346.7,closed,6.5,1.9106
361,PETRONET_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,344.9,347.85,1,344.9,347.85,closed,2.95,0.8553
