,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
10,RENUKA_minute,long,2024-01-29 15:26:00,2024-01-30 09:16:00,47.05,46.98,1,47.05,46.98,closed,-0.07,-0.1583
14,RENUKA_minute,long,2024-01-31 15:26:00,2024-02-01 09:18:00,48.05,47.92,1,48.05,47.92,closed,-0.13,-0.2789
26,RENUKA_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,46.4,45.94,1,46.4,45.94,closed,-0.46,-1.0
28,RENUKA_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,47.35,47.3,1,47.35,47.3,closed,-0.05,-0.1056
53,RENUKA_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,46.85,47.07,1,46.85,47.07,closed,0.22,0.4792
63,RENUKA_minute,long,2024-03-04 15:26:00,2024-03-05 09:15:00,47.0,46.73,1,47.0,46.73,closed,-0.27,-0.5787
64,RENUKA_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,46.35,45.25,1,46.35,45.25,closed,-1.1,-2.3732
67,RENUKA_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,45.3,45.3,1,45.3,45.3,closed,0.0,0.0
81,RENUKA_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,41.6,41.43,1,41.6,41.43,closed,-0.17,-0.405
105,RENUKA_minute,long,2024-04-02 15:26:00,2024-04-03 09:15:00,42.6,42.3,1,42.6,42.3,closed,-0.3,-0.7042
112,RENUKA_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,43.65,43.8,1,43.65,43.8,closed,0.15,0.3436
128,RENUKA_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,44.05,44.0,1,44.05,44.0,closed,-0.05,-0.1135
146,RENUKA_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,44.7,43.85,1,44.7,43.85,closed,-0.85,-1.9016
168,RENUKA_minute,long,2024-05-10 15:26:00,2024-05-13 09:16:00,42.15,41.73,1,42.15,41.73,closed,-0.42,-1.0
180,RENUKA_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,41.85,42.45,1,41.85,42.45,closed,0.6,1.4337
189,RENUKA_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,41.8,41.75,1,41.8,41.75,closed,-0.05,-0.1196
200,RENUKA_minute,long,2024-06-04 15:26:00,2024-06-05 09:17:00,38.7,39.2,1,38.7,39.2,closed,0.5,1.3023
210,RENUKA_minute,long,2024-06-12 15:26:00,2024-06-13 09:15:00,44.25,44.95,1,44.25,44.95,closed,0.7,1.5819
212,RENUKA_minute,long,2024-06-13 15:26:00,2024-06-14 09:15:00,49.58,49.75,1,49.58,49.75,closed,0.17,0.3429
215,RENUKA_minute,long,2024-06-18 15:26:00,2024-06-19 09:16:00,47.98,47.74,1,47.98,47.74,closed,-0.24,-0.5048
218,RENUKA_minute,long,2024-06-19 15:26:00,2024-06-20 09:15:00,51.34,51.13,1,51.34,51.13,closed,-0.21,-0.4022
