,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,SOLARINDS_minute,long,2024-01-23 15:26:00,2024-01-24 09:18:00,6852.4,6819.12,1,6852.4,6819.12,closed,-33.28,-0.4857
23,SOLARINDS_minute,long,2024-02-06 15:26:00,2024-02-07 09:16:00,6755.0,6812.05,1,6755.0,6812.05,closed,57.05,0.8446
42,SOLARINDS_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,6600.0,6692.45,1,6600.0,6692.45,closed,92.45,1.4008
57,SOLARINDS_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,6753.1,6824.75,1,6753.1,6824.75,closed,71.65,1.061
65,SOLARINDS_minute,long,2024-03-05 15:26:00,2024-03-06 09:15:00,7814.85,7736.7,1,7814.85,7736.7,closed,-78.15,-1.0
71,SOLARINDS_minute,long,2024-03-07 15:26:00,2024-03-11 09:15:00,7540.85,7564.0,1,7540.85,7564.0,closed,23.15,0.307
75,SOLARINDS_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,7745.85,7738.35,1,7745.85,7738.35,closed,-7.5,-0.0968
80,SOLARINDS_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,8260.0,8247.89,1,8260.0,8247.89,closed,-12.11,-0.1466
87,SOLARINDS_minute,long,2024-03-19 15:26:00,2024-03-20 09:15:00,8650.0,8756.6,1,8650.0,8756.6,closed,106.6,1.2324
88,SOLARINDS_minute,long,2024-03-20 15:26:00,2024-03-21 09:15:00,8549.35,8583.3,1,8549.35,8583.3,closed,33.95,0.3971
96,SOLARINDS_minute,long,2024-03-26 15:26:00,2024-03-27 09:16:00,9313.95,9256.45,1,9313.95,9256.45,closed,-57.5,-0.6173
114,SOLARINDS_minute,long,2024-04-05 15:26:00,2024-04-08 09:19:00,8660.0,8672.55,1,8660.0,8672.55,closed,12.55,0.1449
119,SOLARINDS_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,8623.95,8499.0,1,8623.95,8499.0,closed,-124.95,-1.4489
138,SOLARINDS_minute,long,2024-04-22 15:26:00,2024-04-23 09:15:00,8523.75,8516.67,1,8523.75,8516.67,closed,-7.08,-0.083
151,SOLARINDS_minute,long,2024-05-07 15:26:00,2024-05-08 09:15:00,8635.15,8604.73,1,8635.15,8604.73,closed,-30.42,-0.3522
162,SOLARINDS_minute,long,2024-05-10 15:26:00,2024-05-13 09:16:00,8881.2,8830.8,1,8881.2,8830.8,closed,-50.4,-0.5675
176,SOLARINDS_minute,long,2024-05-21 15:26:00,2024-05-22 09:15:00,9473.85,9520.05,1,9473.85,9520.05,closed,46.2,0.4877
