,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,SONATSOFTW_minute,long,2024-01-20 15:26:00,2024-01-23 09:16:00,760.5,758.79,1,760.5,758.79,closed,-1.71,-0.2254
2,SONATSOFTW_minute,long,2024-01-23 15:26:00,2024-01-24 09:15:00,740.65,735.82,1,740.65,735.82,closed,-4.83,-0.6525
10,SONATSOFTW_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,769.5,809.65,1,769.5,809.65,closed,40.15,5.2177
12,SONATSOFTW_minute,long,2024-02-05 15:26:00,2024-02-06 09:15:00,809.95,820.0,1,809.95,820.0,closed,10.05,1.2408
31,SONATSOFTW_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,803.3,845.5,1,803.3,845.5,closed,42.2,5.2533
34,SONATSOFTW_minute,long,2024-02-19 15:26:00,2024-02-20 09:15:00,843.25,844.47,1,843.25,844.47,closed,1.22,0.1447
42,SONATSOFTW_minute,long,2024-02-23 15:26:00,2024-02-26 09:16:00,839.5,831.4,1,839.5,831.4,closed,-8.1,-0.9646
44,SONATSOFTW_minute,long,2024-02-27 15:26:00,2024-02-28 09:19:00,858.2,856.3,1,858.2,856.3,closed,-1.9,-0.2213
51,SONATSOFTW_minute,long,2024-02-29 15:26:00,2024-03-01 09:16:00,818.25,813.73,1,818.25,813.73,closed,-4.52,-0.5523
62,SONATSOFTW_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,727.0,720.72,1,727.0,720.72,closed,-6.28,-0.8638
66,SONATSOFTW_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,733.05,725.72,1,733.05,725.72,closed,-7.33,-1.0
78,SONATSOFTW_minute,long,2024-03-21 15:26:00,2024-03-22 09:15:00,753.3,742.0,1,753.3,742.0,closed,-11.3,-1.5001
82,SONATSOFTW_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,744.5,747.7,1,744.5,747.7,closed,3.2,0.4298
83,SONATSOFTW_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,747.1,720.4,1,747.1,720.4,closed,-26.7,-3.5738
88,SONATSOFTW_minute,long,2024-03-28 15:26:00,2024-04-01 09:15:00,722.0,722.0,1,722.0,722.0,closed,0.0,0.0
93,SONATSOFTW_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,716.6,735.1,1,716.6,735.1,closed,18.5,2.5816
94,SONATSOFTW_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,733.45,745.45,1,733.45,745.45,closed,12.0,1.6361
105,SONATSOFTW_minute,long,2024-04-05 15:26:00,2024-04-08 09:18:00,740.85,752.85,1,740.85,752.85,closed,12.0,1.6192
106,SONATSOFTW_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,762.45,754.1,1,762.45,754.1,closed,-8.35,-1.0952
112,SONATSOFTW_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,727.15,719.88,1,727.15,719.88,closed,-7.27,-1.0
139,SONATSOFTW_minute,long,2024-05-08 15:26:00,2024-05-09 09:15:00,542.35,545.45,1,542.35,545.45,closed,3.1,0.5716
143,SONATSOFTW_minute,long,2024-05-09 15:26:00,2024-05-10 09:15:00,519.8,522.47,1,519.8,522.47,closed,2.67,0.5141
164,SONATSOFTW_minute,long,2024-05-28 15:26:00,2024-05-29 15:29:00,545.05,537.95,1,545.05,537.95,closed,-7.1,-1.3026
179,SONATSOFTW_minute,long,2024-06-04 15:26:00,2024-06-05 09:15:00,503.5,498.71,1,503.5,498.71,closed,-4.79,-0.9508
194,SONATSOFTW_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,575.2,563.8,1,575.2,563.8,closed,-11.4,-1.9819
