,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
57,TATASTEEL,long,2024-01-31 15:21:00,2024-02-01 15:29:00,129.33,128.26,1,129.33,128.26,closed,-1.07,-0.8273
79,TATASTEEL,long,2024-02-06 15:21:00,2024-02-07 09:15:00,138.08,138.73,1,138.08,138.73,closed,0.65,0.4698
224,TATASTEEL,long,2024-02-29 15:21:00,2024-03-01 15:29:00,134.22,143.41,1,134.22,143.41,closed,9.19,6.847
251,TATASTEEL,long,2024-03-01 15:21:00,2024-03-02 12:29:00,143.26,148.19,1,143.26,148.19,closed,4.93,3.4413
264,TATASTEEL,long,2024-03-06 15:21:00,2024-03-07 15:29:00,144.97,149.95,1,144.97,149.95,closed,4.98,3.4352
306,TATASTEEL,long,2024-03-14 15:21:00,2024-03-15 09:15:00,135.78,134.86,1,135.78,134.86,closed,-0.92,-0.6792
325,TATASTEEL,long,2024-03-15 15:21:00,2024-03-18 15:29:00,134.95,142.04,1,134.95,142.04,closed,7.09,5.2538
404,TATASTEEL,long,2024-03-28 15:21:00,2024-04-01 09:15:00,148.73,149.62,1,148.73,149.62,closed,0.89,0.5975
586,TATASTEEL,long,2024-04-29 15:21:00,2024-04-30 15:29:00,160.07,157.48,1,160.07,157.48,closed,-2.59,-1.618
652,TATASTEEL,long,2024-05-10 15:21:00,2024-05-13 09:17:00,155.08,153.92,1,155.08,153.92,closed,-1.16,-0.751
672,TATASTEEL,long,2024-05-15 15:21:00,2024-05-16 15:29:00,158.41,158.55,1,158.41,158.55,closed,0.14,0.0884
744,TATASTEEL,long,2024-05-28 15:21:00,2024-05-29 15:29:00,167.45,166.52,1,167.45,166.52,closed,-0.93,-0.5554
789,TATASTEEL,long,2024-05-31 15:21:00,2024-06-03 09:15:00,160.41,165.78,1,160.41,165.78,closed,5.37,3.3477
831,TATASTEEL,long,2024-06-06 15:21:00,2024-06-07 15:29:00,164.56,171.35,1,164.56,171.35,closed,6.79,4.1262
960,TATASTEEL,long,2024-06-27 15:21:00,2024-06-28 15:29:00,170.54,170.77,1,170.54,170.77,closed,0.23,0.1349
962,TATASTEEL,long,2024-06-28 15:21:00,2024-07-01 15:29:00,169.96,170.29,1,169.96,170.29,closed,0.33,0.1942
981,TATASTEEL,long,2024-07-03 15:21:00,2024-07-04 15:29:00,172.5,172.48,1,172.5,172.48,closed,-0.02,-0.0116
1068,TATASTEEL,long,2024-07-18 15:21:00,2024-07-19 09:16:00,162.59,160.96,1,162.59,160.96,closed,-1.63,-1.0
1119,TATASTEEL,long,2024-07-26 15:21:00,2024-07-29 15:29:00,158.85,159.28,1,158.85,159.28,closed,0.43,0.2707
1187,TATASTEEL,long,2024-08-06 15:21:00,2024-08-07 15:29:00,147.24,150.59,1,147.24,150.59,closed,3.35,2.2752
1199,TATASTEEL,long,2024-08-07 15:21:00,2024-08-08 09:15:00,150.66,149.15,1,150.66,149.15,closed,-1.51,-1.0
1250,TATASTEEL,long,2024-08-16 15:21:00,2024-08-19 15:29:00,146.32,150.58,1,146.32,150.58,closed,4.26,2.9114
1348,TATASTEEL,long,2024-08-30 15:21:00,2024-09-02 15:29:00,149.39,149.22,1,149.39,149.22,closed,-0.17,-0.1138
1469,TATASTEEL,long,2024-09-19 15:21:00,2024-09-20 09:15:00,146.07,147.23,1,146.07,147.23,closed,1.16,0.7961
1490,TATASTEEL,long,2024-09-20 15:21:00,2024-09-23 15:29:00,148.63,150.34,1,148.63,150.34,closed,1.71,1.1505
1540,TATASTEEL,long,2024-09-26 15:21:00,2024-09-27 15:29:00,162.02,162.23,1,162.02,162.23,closed,0.21,0.1296
1605,TATASTEEL,long,2024-10-08 15:21:00,2024-10-09 15:29:00,155.92,154.51,1,155.92,154.51,closed,-1.41,-0.9043
1803,TATASTEEL,long,2024-11-07 15:21:00,2024-11-08 15:29:00,147.71,144.04,1,147.71,144.04,closed,-3.67,-2.4846
1836,TATASTEEL,long,2024-11-13 15:21:00,2024-11-14 15:29:00,135.94,134.93,1,135.94,134.93,closed,-1.01,-0.743
1913,TATASTEEL,long,2024-11-25 15:21:00,2024-11-26 15:29:00,140.6,141.13,1,140.6,141.13,closed,0.53,0.377
1930,TATASTEEL,long,2024-11-27 15:21:00,2024-11-28 15:29:00,141.34,140.36,1,141.34,140.36,closed,-0.98,-0.6934
1979,TATASTEEL,long,2024-12-02 15:21:00,2024-12-03 15:29:00,143.24,143.26,1,143.24,143.26,closed,0.02,0.014
2008,TATASTEEL,long,2024-12-05 15:21:00,2024-12-06 15:29:00,144.07,144.77,1,144.07,144.77,closed,0.7,0.4859
2035,TATASTEEL,long,2024-12-10 15:21:00,2024-12-11 15:29:00,146.81,147.22,1,146.81,147.22,closed,0.41,0.2793
2074,TATASTEEL,long,2024-12-16 15:21:00,2024-12-17 15:29:00,144.61,142.33,1,144.61,142.33,closed,-2.28,-1.5767
2084,TATASTEEL,long,2024-12-18 15:21:00,2024-12-19 09:15:00,141.3,138.32,1,141.3,138.32,closed,-2.98,-2.109
2115,TATASTEEL,long,2024-12-24 15:21:00,2024-12-26 15:29:00,137.36,137.4,1,137.36,137.4,closed,0.04,0.0291
2124,TATASTEEL,long,2024-12-26 15:21:00,2024-12-27 15:29:00,137.21,135.8,1,137.21,135.8,closed,-1.41,-1.0276
