,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
32,DALBHARAT_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,2054.6,2043.05,1,2054.6,2043.05,closed,-11.55,-0.5622
38,DALBHARAT_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,2104.0,2080.3,1,2104.0,2080.3,closed,-23.7,-1.1264
47,DALBHARAT_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,2091.35,2112.5,1,2091.35,2112.5,closed,21.15,1.0113
61,DALBHARAT_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,1944.8,1965.15,1,1944.8,1965.15,closed,20.35,1.0464
115,DALBHARAT_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,1811.3,1799.95,1,1811.3,1799.95,closed,-11.35,-0.6266
136,DALBHARAT_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,1730.75,1723.2,1,1730.75,1723.2,closed,-7.55,-0.4362
143,DALBHARAT_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,1742.9,1758.0,1,1742.9,1758.0,closed,15.1,0.8664
150,DALBHARAT_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,1857.4,1845.5,1,1857.4,1845.5,closed,-11.9,-0.6407
179,DALBHARAT_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,1892.5,1898.55,1,1892.5,1898.55,closed,6.05,0.3197
197,DALBHARAT_minute,long,2024-06-25 15:26:00,2024-06-26 09:15:00,1819.75,1783.36,1,1819.75,1783.36,closed,-36.39,-2.0
203,DALBHARAT_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,1792.25,1814.3,1,1792.25,1814.3,closed,22.05,1.2303
213,DALBHARAT_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,1858.0,1866.75,1,1858.0,1866.75,closed,8.75,0.4709
226,DALBHARAT_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,1933.05,1919.1,1,1933.05,1919.1,closed,-13.95,-0.7217
229,DALBHARAT_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,1920.0,1917.45,1,1920.0,1917.45,closed,-2.55,-0.1328
237,DALBHARAT_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,1772.8,1779.95,1,1772.8,1779.95,closed,7.15,0.4033
243,DALBHARAT_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,1777.5,1816.1,1,1777.5,1816.1,closed,38.6,2.1716
251,DALBHARAT_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,1848.05,1805.0,1,1848.05,1805.0,closed,-43.05,-2.3295
272,DALBHARAT_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,1735.0,1725.0,1,1735.0,1725.0,closed,-10.0,-0.5764
303,DALBHARAT_minute,long,2024-09-03 15:26:00,2024-09-04 15:29:00,1917.9,1930.45,1,1917.9,1930.45,closed,12.55,0.6544
306,DALBHARAT_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,1928.5,1915.0,1,1928.5,1915.0,closed,-13.5,-0.7
309,DALBHARAT_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,1915.1,1876.85,1,1915.1,1876.85,closed,-38.25,-1.9973
343,DALBHARAT_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,1960.0,1952.0,1,1960.0,1952.0,closed,-8.0,-0.4082
351,DALBHARAT_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,1858.8,1887.95,1,1858.8,1887.95,closed,29.15,1.5682
359,DALBHARAT_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,1841.65,1848.75,1,1841.65,1848.75,closed,7.1,0.3855
389,DALBHARAT_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,1798.75,1791.85,1,1798.75,1791.85,closed,-6.9,-0.3836
413,DALBHARAT_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,1690.0,1736.0,1,1690.0,1736.0,closed,46.0,2.7219
455,DALBHARAT_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,1803.3,1763.3,1,1803.3,1763.3,closed,-40.0,-2.2182
465,DALBHARAT_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,1743.75,1772.05,1,1743.75,1772.05,closed,28.3,1.6229
