,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,ICICIGI_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,1480.35,1491.3,1,1480.35,1491.3,closed,10.95,0.7397
7,ICICIGI_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,1489.85,1497.25,1,1489.85,1497.25,closed,7.4,0.4967
13,ICICIGI_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,1515.45,1497.45,1,1515.45,1497.45,closed,-18.0,-1.1878
27,ICICIGI_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,1630.7,1640.3,1,1630.7,1640.3,closed,9.6,0.5887
32,ICICIGI_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,1640.85,1646.6,1,1640.85,1646.6,closed,5.75,0.3504
43,ICICIGI_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,1650.0,1635.3,1,1650.0,1635.3,closed,-14.7,-0.8909
52,ICICIGI_minute,long,2024-02-28 15:26:00,2024-02-29 09:17:00,1725.0,1690.5,1,1725.0,1690.5,closed,-34.5,-2.0
106,ICICIGI_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,1712.9,1692.75,1,1712.9,1692.75,closed,-20.15,-1.1761
113,ICICIGI_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,1697.65,1705.75,1,1697.65,1705.75,closed,8.1,0.4771
139,ICICIGI_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,1666.75,1683.55,1,1666.75,1683.55,closed,16.8,1.0079
144,ICICIGI_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,1684.3,1655.6,1,1684.3,1655.6,closed,-28.7,-1.704
149,ICICIGI_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,1677.5,1668.1,1,1677.5,1668.1,closed,-9.4,-0.5604
158,ICICIGI_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,1625.8,1633.6,1,1625.8,1633.6,closed,7.8,0.4798
167,ICICIGI_minute,long,2024-05-31 15:26:00,2024-06-03 09:16:00,1584.7,1597.4,1,1584.7,1597.4,closed,12.7,0.8014
169,ICICIGI_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,1603.75,1539.45,1,1603.75,1539.45,closed,-64.3,-4.0094
212,ICICIGI_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,1878.95,1871.55,1,1878.95,1871.55,closed,-7.4,-0.3938
251,ICICIGI_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,1968.1,1952.45,1,1968.1,1952.45,closed,-15.65,-0.7952
262,ICICIGI_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,2043.05,2018.25,1,2043.05,2018.25,closed,-24.8,-1.2139
265,ICICIGI_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,2064.4,2058.75,1,2064.4,2058.75,closed,-5.65,-0.2737
277,ICICIGI_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,2141.0,2136.45,1,2141.0,2136.45,closed,-4.55,-0.2125
288,ICICIGI_minute,long,2024-09-06 15:26:00,2024-09-09 09:15:00,2263.45,2227.98,1,2263.45,2227.98,closed,-35.47,-1.567
293,ICICIGI_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,2174.4,2132.5,1,2174.4,2132.5,closed,-41.9,-1.927
303,ICICIGI_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,2206.75,2236.5,1,2206.75,2236.5,closed,29.75,1.3481
310,ICICIGI_minute,long,2024-09-20 15:26:00,2024-09-23 09:15:00,2237.65,2240.0,1,2237.65,2240.0,closed,2.35,0.105
321,ICICIGI_minute,long,2024-09-30 15:26:00,2024-10-01 09:15:00,2174.5,2168.05,1,2174.5,2168.05,closed,-6.45,-0.2966
322,ICICIGI_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,2160.35,2134.45,1,2160.35,2134.45,closed,-25.9,-1.1989
330,ICICIGI_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,2089.0,2081.2,1,2089.0,2081.2,closed,-7.8,-0.3734
335,ICICIGI_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,2069.95,2084.2,1,2069.95,2084.2,closed,14.25,0.6884
352,ICICIGI_minute,long,2024-10-23 15:26:00,2024-10-24 15:29:00,1960.9,1954.85,1,1960.9,1954.85,closed,-6.05,-0.3085
381,ICICIGI_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,1842.0,1835.85,1,1842.0,1835.85,closed,-6.15,-0.3339
388,ICICIGI_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,1840.3,1839.95,1,1840.3,1839.95,closed,-0.35,-0.019
401,ICICIGI_minute,long,2024-11-29 15:26:00,2024-12-02 09:15:00,1868.55,1852.05,1,1868.55,1852.05,closed,-16.5,-0.8829
425,ICICIGI_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,1983.95,1961.1,1,1983.95,1961.1,closed,-22.85,-1.1517
430,ICICIGI_minute,long,2024-12-17 15:26:00,2024-12-18 15:29:00,1915.5,1876.85,1,1915.5,1876.85,closed,-38.65,-2.0177
445,ICICIGI_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,1863.2,1826.1,1,1863.2,1826.1,closed,-37.1,-1.9912
