,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
73,INDIGO,long,2024-02-02 15:21:00,2024-02-05 15:29:00,3145.0,3181.0,1,3145.0,3181.0,closed,36.0,1.1447
92,INDIGO,long,2024-02-07 15:21:00,2024-02-08 15:29:00,3119.25,3125.2,1,3119.25,3125.2,closed,5.95,0.1908
214,INDIGO,long,2024-02-29 15:21:00,2024-03-01 15:29:00,3158.5,3156.4,1,3158.5,3156.4,closed,-2.1,-0.0665
305,INDIGO,long,2024-03-14 15:21:00,2024-03-15 15:29:00,3174.8,3173.95,1,3174.8,3173.95,closed,-0.85,-0.0268
398,INDIGO,long,2024-03-28 15:21:00,2024-04-01 15:29:00,3544.25,3554.0,1,3544.25,3554.0,closed,9.75,0.2751
425,INDIGO,long,2024-04-02 15:21:00,2024-04-03 15:29:00,3569.6,3495.0,1,3569.6,3495.0,closed,-74.6,-2.0899
445,INDIGO,long,2024-04-05 15:21:00,2024-04-08 15:29:00,3500.6,3596.7,1,3500.6,3596.7,closed,96.1,2.7452
482,INDIGO,long,2024-04-15 15:21:00,2024-04-16 15:29:00,3595.9,3577.0,1,3595.9,3577.0,closed,-18.9,-0.5256
493,INDIGO,long,2024-04-16 15:21:00,2024-04-18 15:29:00,3579.0,3605.05,1,3579.0,3605.05,closed,26.05,0.7279
508,INDIGO,long,2024-04-18 15:21:00,2024-04-19 09:15:00,3598.3,3505.05,1,3598.3,3505.05,closed,-93.25,-2.5915
528,INDIGO,long,2024-04-22 15:21:00,2024-04-23 15:29:00,3734.25,3711.55,1,3734.25,3711.55,closed,-22.7,-0.6079
539,INDIGO,long,2024-04-23 15:21:00,2024-04-24 15:29:00,3701.55,3758.35,1,3701.55,3758.35,closed,56.8,1.5345
551,INDIGO,long,2024-04-24 15:21:00,2024-04-25 15:29:00,3747.6,3820.0,1,3747.6,3820.0,closed,72.4,1.9319
561,INDIGO,long,2024-04-25 15:21:00,2024-04-26 15:29:00,3821.2,3932.95,1,3821.2,3932.95,closed,111.75,2.9245
639,INDIGO,long,2024-05-08 15:21:00,2024-05-09 15:29:00,4079.9,4057.8,1,4079.9,4057.8,closed,-22.1,-0.5417
656,INDIGO,long,2024-05-13 15:21:00,2024-05-14 15:29:00,4086.65,4155.0,1,4086.65,4155.0,closed,68.35,1.6725
670,INDIGO,long,2024-05-14 15:21:00,2024-05-15 15:29:00,4153.7,4275.0,1,4153.7,4275.0,closed,121.3,2.9203
682,INDIGO,long,2024-05-16 15:21:00,2024-05-17 15:29:00,4294.65,4370.0,1,4294.65,4370.0,closed,75.35,1.7545
694,INDIGO,long,2024-05-17 15:21:00,2024-05-18 12:29:00,4376.0,4374.0,1,4376.0,4374.0,closed,-2.0,-0.0457
753,INDIGO,long,2024-05-29 15:21:00,2024-05-30 15:29:00,4052.0,4162.0,1,4052.0,4162.0,closed,110.0,2.7147
768,INDIGO,long,2024-05-31 15:21:00,2024-06-03 09:15:00,4201.35,4237.52,1,4201.35,4237.52,closed,36.17,0.8609
936,INDIGO,long,2024-06-27 15:21:00,2024-06-28 15:29:00,4234.65,4235.0,1,4234.65,4235.0,closed,0.35,0.0083
1026,INDIGO,long,2024-07-10 15:21:00,2024-07-11 15:29:00,4280.45,4322.0,1,4280.45,4322.0,closed,41.55,0.9707
