,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
6,NBCC_minute,long,2024-01-20 15:26:00,2024-01-23 09:16:00,67.8,70.07,1,67.8,70.07,closed,2.27,3.3481
14,NBCC_minute,long,2024-01-29 15:26:00,2024-01-30 09:15:00,85.27,87.57,1,85.27,87.57,closed,2.3,2.6973
22,NBCC_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,86.53,96.23,1,86.53,96.23,closed,9.7,11.21
24,NBCC_minute,long,2024-02-01 15:26:00,2024-02-02 09:17:00,96.47,103.2,1,96.47,103.2,closed,6.73,6.9763
30,NBCC_minute,long,2024-02-07 15:26:00,2024-02-08 09:16:00,105.23,104.14,1,105.23,104.14,closed,-1.09,-1.0315
68,NBCC_minute,long,2024-02-29 15:26:00,2024-03-01 09:16:00,90.67,91.11,1,90.67,91.11,closed,0.44,0.4859
110,NBCC_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,85.2,84.37,1,85.2,84.37,closed,-0.83,-0.9742
118,NBCC_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,90.17,91.43,1,90.17,91.43,closed,1.26,1.3974
127,NBCC_minute,long,2024-04-15 15:26:00,2024-04-16 09:15:00,84.07,82.68,1,84.07,82.68,closed,-1.39,-1.6503
143,NBCC_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,95.07,93.2,1,95.07,93.2,closed,-1.87,-1.967
147,NBCC_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,92.7,92.5,1,92.7,92.5,closed,-0.2,-0.2157
149,NBCC_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,92.63,89.2,1,92.63,89.2,closed,-3.43,-3.7029
157,NBCC_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,90.77,86.97,1,90.77,86.97,closed,-3.8,-4.1864
161,NBCC_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,87.13,88.2,1,87.13,88.2,closed,1.07,1.2281
167,NBCC_minute,long,2024-05-10 15:26:00,2024-05-13 09:18:00,88.3,86.83,1,88.3,86.83,closed,-1.47,-1.667
171,NBCC_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,91.23,90.13,1,91.23,90.13,closed,-1.1,-1.2057
176,NBCC_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,90.83,94.8,1,90.83,94.8,closed,3.97,4.3708
193,NBCC_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,91.73,94.93,1,91.73,94.93,closed,3.2,3.4885
200,NBCC_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,95.2,101.92,1,95.2,101.92,closed,6.72,7.0588
202,NBCC_minute,long,2024-06-03 15:26:00,2024-06-04 09:15:00,100.6,98.59,1,100.6,98.59,closed,-2.01,-2.0
204,NBCC_minute,long,2024-06-06 15:26:00,2024-06-07 09:16:00,93.03,91.99,1,93.03,91.99,closed,-1.04,-1.1151
212,NBCC_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,105.45,103.5,1,105.45,103.5,closed,-1.95,-1.8492
218,NBCC_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,105.49,107.63,1,105.49,107.63,closed,2.14,2.0286
219,NBCC_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,109.03,111.07,1,109.03,111.07,closed,2.04,1.871
221,NBCC_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,111.0,108.78,1,111.0,108.78,closed,-2.22,-2.0
