,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
34,PRAJIND_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,499.5,512.5,1,499.5,512.5,closed,13.0,2.6026
47,PRAJIND_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,514.0,513.9,1,514.0,513.9,closed,-0.1,-0.0195
58,PRAJIND_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,507.9,512.6,1,507.9,512.6,closed,4.7,0.9254
75,PRAJIND_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,474.5,520.5,1,474.5,520.5,closed,46.0,9.6944
90,PRAJIND_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,548.0,546.5,1,548.0,546.5,closed,-1.5,-0.2737
105,PRAJIND_minute,long,2024-04-12 15:26:00,2024-04-15 09:16:00,511.85,501.61,1,511.85,501.61,closed,-10.24,-2.0
110,PRAJIND_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,507.5,500.0,1,507.5,500.0,closed,-7.5,-1.4778
120,PRAJIND_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,516.35,524.45,1,516.35,524.45,closed,8.1,1.5687
122,PRAJIND_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,519.65,519.0,1,519.65,519.0,closed,-0.65,-0.1251
131,PRAJIND_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,548.05,544.55,1,548.05,544.55,closed,-3.5,-0.6386
143,PRAJIND_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,517.25,521.7,1,517.25,521.7,closed,4.45,0.8603
151,PRAJIND_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,505.2,523.25,1,505.2,523.25,closed,18.05,3.5728
153,PRAJIND_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,523.75,516.0,1,523.75,516.0,closed,-7.75,-1.4797
157,PRAJIND_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,529.0,522.85,1,529.0,522.85,closed,-6.15,-1.1626
159,PRAJIND_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,525.95,518.35,1,525.95,518.35,closed,-7.6,-1.445
176,PRAJIND_minute,long,2024-06-03 15:26:00,2024-06-04 09:15:00,551.0,542.87,1,551.0,542.87,closed,-8.13,-1.4753
178,PRAJIND_minute,long,2024-06-05 15:26:00,2024-06-06 15:29:00,528.0,534.95,1,528.0,534.95,closed,6.95,1.3163
183,PRAJIND_minute,long,2024-06-07 15:26:00,2024-06-10 09:17:00,591.65,592.9,1,591.65,592.9,closed,1.25,0.2113
190,PRAJIND_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,636.6,686.8,1,636.6,686.8,closed,50.2,7.8856
198,PRAJIND_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,690.0,692.3,1,690.0,692.3,closed,2.3,0.3333
207,PRAJIND_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,685.1,682.7,1,685.1,682.7,closed,-2.4,-0.3503
212,PRAJIND_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,679.15,731.45,1,679.15,731.45,closed,52.3,7.7008
214,PRAJIND_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,730.1,743.0,1,730.1,743.0,closed,12.9,1.7669
218,PRAJIND_minute,long,2024-07-01 15:26:00,2024-07-02 09:18:00,743.25,734.02,1,743.25,734.02,closed,-9.23,-1.2418
220,PRAJIND_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,745.5,733.8,1,745.5,733.8,closed,-11.7,-1.5694
230,PRAJIND_minute,long,2024-07-09 15:26:00,2024-07-10 15:29:00,745.75,731.9,1,745.75,731.9,closed,-13.85,-1.8572
250,PRAJIND_minute,long,2024-07-18 15:26:00,2024-07-19 15:29:00,703.25,687.7,1,703.25,687.7,closed,-15.55,-2.2112
256,PRAJIND_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,707.8,703.1,1,707.8,703.1,closed,-4.7,-0.664
277,PRAJIND_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,694.6,674.0,1,694.6,674.0,closed,-20.6,-2.9657
282,PRAJIND_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,674.35,669.7,1,674.35,669.7,closed,-4.65,-0.6896
286,PRAJIND_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,666.55,673.05,1,666.55,673.05,closed,6.5,0.9752
289,PRAJIND_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,673.75,705.0,1,673.75,705.0,closed,31.25,4.6382
299,PRAJIND_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,776.65,788.8,1,776.65,788.8,closed,12.15,1.5644
300,PRAJIND_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,788.65,779.0,1,788.65,779.0,closed,-9.65,-1.2236
310,PRAJIND_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,743.75,742.1,1,743.75,742.1,closed,-1.65,-0.2218
320,PRAJIND_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,757.0,755.0,1,757.0,755.0,closed,-2.0,-0.2642
327,PRAJIND_minute,long,2024-09-03 15:26:00,2024-09-04 15:29:00,755.8,752.45,1,755.8,752.45,closed,-3.35,-0.4432
330,PRAJIND_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,756.15,735.1,1,756.15,735.1,closed,-21.05,-2.7838
332,PRAJIND_minute,long,2024-09-06 15:26:00,2024-09-09 09:18:00,735.95,721.67,1,735.95,721.67,closed,-14.28,-1.9401
337,PRAJIND_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,722.05,725.25,1,722.05,725.25,closed,3.2,0.4432
355,PRAJIND_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,737.1,749.6,1,737.1,749.6,closed,12.5,1.6958
360,PRAJIND_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,756.75,760.0,1,756.75,760.0,closed,3.25,0.4295
365,PRAJIND_minute,long,2024-09-27 15:26:00,2024-09-30 09:16:00,800.9,789.68,1,800.9,789.68,closed,-11.22,-1.4004
369,PRAJIND_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,780.35,764.74,1,780.35,764.74,closed,-15.61,-2.0
381,PRAJIND_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,770.45,781.35,1,770.45,781.35,closed,10.9,1.4148
384,PRAJIND_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,783.0,771.0,1,783.0,771.0,closed,-12.0,-1.5326
386,PRAJIND_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,772.95,765.0,1,772.95,765.0,closed,-7.95,-1.0285
391,PRAJIND_minute,long,2024-10-14 15:26:00,2024-10-15 15:29:00,766.8,816.5,1,766.8,816.5,closed,49.7,6.4815
393,PRAJIND_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,802.35,798.95,1,802.35,798.95,closed,-3.4,-0.4238
398,PRAJIND_minute,long,2024-10-18 15:26:00,2024-10-21 15:29:00,798.0,773.05,1,798.0,773.05,closed,-24.95,-3.1266
402,PRAJIND_minute,long,2024-10-21 15:26:00,2024-10-22 09:16:00,774.95,759.45,1,774.95,759.45,closed,-15.5,-2.0
404,PRAJIND_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,737.35,739.0,1,737.35,739.0,closed,1.65,0.2238
410,PRAJIND_minute,long,2024-10-23 15:26:00,2024-10-24 15:29:00,738.4,741.9,1,738.4,741.9,closed,3.5,0.474
413,PRAJIND_minute,long,2024-10-25 15:26:00,2024-10-28 09:15:00,712.25,687.95,1,712.25,687.95,closed,-24.3,-3.4117
416,PRAJIND_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,700.5,702.0,1,700.5,702.0,closed,1.5,0.2141
422,PRAJIND_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,728.1,714.0,1,728.1,714.0,closed,-14.1,-1.9365
435,PRAJIND_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,695.0,676.3,1,695.0,676.3,closed,-18.7,-2.6906
437,PRAJIND_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,675.8,791.0,1,675.8,791.0,closed,115.2,17.0465
446,PRAJIND_minute,long,2024-11-26 15:26:00,2024-11-27 15:29:00,801.65,799.0,1,801.65,799.0,closed,-2.65,-0.3306
448,PRAJIND_minute,long,2024-11-27 15:26:00,2024-11-28 15:29:00,798.7,795.65,1,798.7,795.65,closed,-3.05,-0.3819
452,PRAJIND_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,797.45,822.8,1,797.45,822.8,closed,25.35,3.1789
455,PRAJIND_minute,long,2024-12-03 15:26:00,2024-12-04 09:16:00,825.25,816.0,1,825.25,816.0,closed,-9.25,-1.1209
458,PRAJIND_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,808.7,796.5,1,808.7,796.5,closed,-12.2,-1.5086
473,PRAJIND_minute,long,2024-12-17 15:26:00,2024-12-18 15:29:00,823.15,805.0,1,823.15,805.0,closed,-18.15,-2.2049
486,PRAJIND_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,815.45,812.2,1,815.45,812.2,closed,-3.25,-0.3986
492,PRAJIND_minute,long,2024-12-30 15:26:00,,813.0,0.0,1,813.0,0.0,open,0.0,0.0
