,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,SAREGAMA_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,349.3,352.35,1,349.3,352.35,closed,3.05,0.8732
7,SAREGAMA_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,334.3,349.0,1,334.3,349.0,closed,14.7,4.3972
19,SAREGAMA_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,350.5,354.0,1,350.5,354.0,closed,3.5,0.9986
32,SAREGAMA_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,369.75,357.0,1,369.75,357.0,closed,-12.75,-3.4483
37,SAREGAMA_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,357.8,358.35,1,357.8,358.35,closed,0.55,0.1537
51,SAREGAMA_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,407.4,406.9,1,407.4,406.9,closed,-0.5,-0.1227
61,SAREGAMA_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,417.35,421.0,1,417.35,421.0,closed,3.65,0.8746
65,SAREGAMA_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,411.95,403.0,1,411.95,403.0,closed,-8.95,-2.1726
78,SAREGAMA_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,404.9,395.65,1,404.9,395.65,closed,-9.25,-2.2845
82,SAREGAMA_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,386.3,387.75,1,386.3,387.75,closed,1.45,0.3754
91,SAREGAMA_minute,long,2024-03-13 15:26:00,2024-03-14 09:16:00,348.0,342.02,1,348.0,342.02,closed,-5.98,-1.7184
95,SAREGAMA_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,353.0,355.25,1,353.0,355.25,closed,2.25,0.6374
106,SAREGAMA_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,380.4,390.05,1,380.4,390.05,closed,9.65,2.5368
109,SAREGAMA_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,391.0,386.85,1,391.0,386.85,closed,-4.15,-1.0614
119,SAREGAMA_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,394.8,390.0,1,394.8,390.0,closed,-4.8,-1.2158
134,SAREGAMA_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,427.35,418.8,1,427.35,418.8,closed,-8.55,-2.0
141,SAREGAMA_minute,long,2024-04-26 15:26:00,2024-04-29 09:15:00,444.05,438.55,1,444.05,438.55,closed,-5.5,-1.2386
144,SAREGAMA_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,431.2,425.5,1,431.2,425.5,closed,-5.7,-1.3219
148,SAREGAMA_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,427.2,427.05,1,427.2,427.05,closed,-0.15,-0.0351
156,SAREGAMA_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,432.45,428.2,1,432.45,428.2,closed,-4.25,-0.9828
174,SAREGAMA_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,426.0,436.5,1,426.0,436.5,closed,10.5,2.4648
178,SAREGAMA_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,439.05,426.0,1,439.05,426.0,closed,-13.05,-2.9723
187,SAREGAMA_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,483.9,475.8,1,483.9,475.8,closed,-8.1,-1.6739
190,SAREGAMA_minute,long,2024-05-28 15:26:00,2024-05-29 15:29:00,475.7,496.0,1,475.7,496.0,closed,20.3,4.2674
209,SAREGAMA_minute,long,2024-06-10 15:26:00,2024-06-11 15:29:00,562.25,563.25,1,562.25,563.25,closed,1.0,0.1779
210,SAREGAMA_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,563.95,549.35,1,563.95,549.35,closed,-14.6,-2.5889
214,SAREGAMA_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,550.0,550.15,1,550.0,550.15,closed,0.15,0.0273
225,SAREGAMA_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,556.15,543.85,1,556.15,543.85,closed,-12.3,-2.2116
237,SAREGAMA_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,557.0,550.15,1,557.0,550.15,closed,-6.85,-1.2298
243,SAREGAMA_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,547.5,548.4,1,547.5,548.4,closed,0.9,0.1644
250,SAREGAMA_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,541.75,539.85,1,541.75,539.85,closed,-1.9,-0.3507
255,SAREGAMA_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,518.7,524.1,1,518.7,524.1,closed,5.4,1.0411
259,SAREGAMA_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,526.25,534.75,1,526.25,534.75,closed,8.5,1.6152
262,SAREGAMA_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,541.55,541.9,1,541.55,541.9,closed,0.35,0.0646
274,SAREGAMA_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,535.0,545.45,1,535.0,545.45,closed,10.45,1.9533
281,SAREGAMA_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,560.05,553.0,1,560.05,553.0,closed,-7.05,-1.2588
290,SAREGAMA_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,490.55,481.0,1,490.55,481.0,closed,-9.55,-1.9468
315,SAREGAMA_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,522.85,508.6,1,522.85,508.6,closed,-14.25,-2.7254
327,SAREGAMA_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,502.05,504.1,1,502.05,504.1,closed,2.05,0.4083
