,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,WELSPUNLIV_minute,long,2024-01-24 15:26:00,2024-01-25 09:15:00,136.4,137.45,1,136.4,137.45,closed,1.05,0.7698
12,WELSPUNLIV_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,163.85,156.05,1,163.85,156.05,closed,-7.8,-4.7605
20,WELSPUNLIV_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,150.25,148.2,1,150.25,148.2,closed,-2.05,-1.3644
23,WELSPUNLIV_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,153.45,150.38,1,153.45,150.38,closed,-3.07,-2.0
26,WELSPUNLIV_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,153.7,150.63,1,153.7,150.63,closed,-3.07,-2.0
34,WELSPUNLIV_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,153.5,156.2,1,153.5,156.2,closed,2.7,1.759
40,WELSPUNLIV_minute,long,2024-02-22 15:26:00,2024-02-23 09:16:00,155.5,158.6,1,155.5,158.6,closed,3.1,1.9936
42,WELSPUNLIV_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,160.6,158.9,1,160.6,158.9,closed,-1.7,-1.0585
47,WELSPUNLIV_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,159.05,160.0,1,159.05,160.0,closed,0.95,0.5973
60,WELSPUNLIV_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,154.2,152.0,1,154.2,152.0,closed,-2.2,-1.4267
65,WELSPUNLIV_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,146.4,147.5,1,146.4,147.5,closed,1.1,0.7514
66,WELSPUNLIV_minute,long,2024-03-07 15:26:00,2024-03-11 09:15:00,147.35,146.9,1,147.35,146.9,closed,-0.45,-0.304
69,WELSPUNLIV_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,147.7,133.7,1,147.7,133.7,closed,-14.0,-9.4787
71,WELSPUNLIV_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,147.9,144.94,1,147.9,144.94,closed,-2.96,-2.0
77,WELSPUNLIV_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,149.6,146.8,1,149.6,146.8,closed,-2.8,-1.8717
89,WELSPUNLIV_minute,long,2024-03-22 15:26:00,2024-03-26 09:18:00,141.85,142.0,1,141.85,142.0,closed,0.15,0.1072
95,WELSPUNLIV_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,138.15,154.2,1,138.15,154.2,closed,16.05,11.6178
96,WELSPUNLIV_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,152.65,155.7,1,152.65,155.7,closed,3.05,1.998
100,WELSPUNLIV_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,155.8,156.1,1,155.8,156.1,closed,0.3,0.1926
106,WELSPUNLIV_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,153.65,154.5,1,153.65,154.5,closed,0.85,0.5532
113,WELSPUNLIV_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,151.75,148.72,1,151.75,148.72,closed,-3.03,-2.0
137,WELSPUNLIV_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,149.15,150.3,1,149.15,150.3,closed,1.15,0.771
149,WELSPUNLIV_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,142.5,141.8,1,142.5,141.8,closed,-0.7,-0.4912
157,WELSPUNLIV_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,139.05,139.5,1,139.05,139.5,closed,0.45,0.3236
158,WELSPUNLIV_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,139.6,141.75,1,139.6,141.75,closed,2.15,1.5401
169,WELSPUNLIV_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,143.4,142.05,1,143.4,142.05,closed,-1.35,-0.9414
189,WELSPUNLIV_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,141.1,144.0,1,141.1,144.0,closed,2.9,2.0553
194,WELSPUNLIV_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,148.5,144.42,1,148.5,144.42,closed,-4.08,-2.7475
196,WELSPUNLIV_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,144.54,145.98,1,144.54,145.98,closed,1.44,0.9963
199,WELSPUNLIV_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,146.27,144.6,1,146.27,144.6,closed,-1.67,-1.1417
200,WELSPUNLIV_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,144.66,145.7,1,144.66,145.7,closed,1.04,0.7189
215,WELSPUNLIV_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,151.26,153.19,1,151.26,153.19,closed,1.93,1.2759
250,WELSPUNLIV_minute,long,2024-07-23 15:26:00,2024-07-24 15:29:00,174.5,176.79,1,174.5,176.79,closed,2.29,1.3123
259,WELSPUNLIV_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,186.02,183.26,1,186.02,183.26,closed,-2.76,-1.4837
277,WELSPUNLIV_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,184.35,178.4,1,184.35,178.4,closed,-5.95,-3.2276
282,WELSPUNLIV_minute,long,2024-08-09 15:26:00,2024-08-12 09:18:00,177.75,174.26,1,177.75,174.26,closed,-3.49,-1.9614
299,WELSPUNLIV_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,193.85,194.67,1,193.85,194.67,closed,0.82,0.423
311,WELSPUNLIV_minute,long,2024-08-28 15:26:00,2024-08-29 09:15:00,209.8,208.69,1,209.8,208.69,closed,-1.11,-0.5286
337,WELSPUNLIV_minute,long,2024-09-12 15:26:00,2024-09-13 15:29:00,180.99,184.85,1,180.99,184.85,closed,3.86,2.1327
345,WELSPUNLIV_minute,long,2024-09-17 15:26:00,2024-09-18 15:29:00,178.29,179.5,1,178.29,179.5,closed,1.21,0.6787
352,WELSPUNLIV_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,177.85,171.99,1,177.85,171.99,closed,-5.86,-3.2949
361,WELSPUNLIV_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,165.78,165.23,1,165.78,165.23,closed,-0.55,-0.3318
365,WELSPUNLIV_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,164.01,175.35,1,164.01,175.35,closed,11.34,6.9142
367,WELSPUNLIV_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,175.3,171.79,1,175.3,171.79,closed,-3.51,-2.0
375,WELSPUNLIV_minute,long,2024-10-07 15:26:00,2024-10-08 09:19:00,158.8,155.62,1,158.8,155.62,closed,-3.18,-2.0
379,WELSPUNLIV_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,163.77,171.35,1,163.77,171.35,closed,7.58,4.6284
386,WELSPUNLIV_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,169.0,165.5,1,169.0,165.5,closed,-3.5,-2.071
409,WELSPUNLIV_minute,long,2024-10-25 15:26:00,2024-10-28 15:29:00,148.63,150.46,1,148.63,150.46,closed,1.83,1.2312
420,WELSPUNLIV_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,152.2,151.6,1,152.2,151.6,closed,-0.6,-0.3942
424,WELSPUNLIV_minute,long,2024-11-04 15:26:00,2024-11-05 09:16:00,155.15,153.08,1,155.15,153.08,closed,-2.07,-1.3342
431,WELSPUNLIV_minute,long,2024-11-08 15:26:00,2024-11-11 09:15:00,158.47,155.3,1,158.47,155.3,closed,-3.17,-2.0
435,WELSPUNLIV_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,157.4,154.33,1,157.4,154.33,closed,-3.07,-1.9504
444,WELSPUNLIV_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,149.5,147.94,1,149.5,147.94,closed,-1.56,-1.0435
450,WELSPUNLIV_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,147.6,148.99,1,147.6,148.99,closed,1.39,0.9417
457,WELSPUNLIV_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,149.08,150.55,1,149.08,150.55,closed,1.47,0.986
464,WELSPUNLIV_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,151.54,152.03,1,151.54,152.03,closed,0.49,0.3233
470,WELSPUNLIV_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,156.61,160.0,1,156.61,160.0,closed,3.39,2.1646
477,WELSPUNLIV_minute,long,2024-12-05 15:26:00,2024-12-06 15:29:00,165.5,164.0,1,165.5,164.0,closed,-1.5,-0.9063
490,WELSPUNLIV_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,178.39,172.19,1,178.39,172.19,closed,-6.2,-3.4755
494,WELSPUNLIV_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,163.11,161.0,1,163.11,161.0,closed,-2.11,-1.2936
498,WELSPUNLIV_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,160.88,159.13,1,160.88,159.13,closed,-1.75,-1.0878
500,WELSPUNLIV_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,158.94,157.12,1,158.94,157.12,closed,-1.82,-1.1451
