,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,ASTERDM_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,436.0,434.0,1,436.0,434.0,closed,-2.0,-0.4587
4,ASTERDM_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,434.25,428.75,1,434.25,428.75,closed,-5.5,-1.2666
5,ASTERDM_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,428.5,431.5,1,428.5,431.5,closed,3.0,0.7001
10,ASTERDM_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,425.45,431.15,1,425.45,431.15,closed,5.7,1.3398
11,ASTERDM_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,432.35,441.0,1,432.35,441.0,closed,8.65,2.0007
16,ASTERDM_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,443.15,432.25,1,443.15,432.25,closed,-10.9,-2.4597
39,ASTERDM_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,467.35,475.0,1,467.35,475.0,closed,7.65,1.6369
47,ASTERDM_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,464.15,455.45,1,464.15,455.45,closed,-8.7,-1.8744
57,ASTERDM_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,472.95,461.55,1,472.95,461.55,closed,-11.4,-2.4104
79,ASTERDM_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,405.25,407.25,1,405.25,407.25,closed,2.0,0.4935
88,ASTERDM_minute,long,2024-04-05 15:26:00,2024-04-08 09:15:00,456.0,480.0,1,456.0,480.0,closed,24.0,5.2632
106,ASTERDM_minute,long,2024-04-19 15:26:00,2024-04-22 15:29:00,520.65,510.25,1,520.65,510.25,closed,-10.4,-1.9975
119,ASTERDM_minute,long,2024-04-25 15:26:00,2024-04-26 09:16:00,367.0,358.71,1,367.0,358.71,closed,-8.29,-2.2599
137,ASTERDM_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,350.3,342.6,1,350.3,342.6,closed,-7.7,-2.1981
154,ASTERDM_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,350.0,349.6,1,350.0,349.6,closed,-0.4,-0.1143
162,ASTERDM_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,355.4,363.8,1,355.4,363.8,closed,8.4,2.3635
163,ASTERDM_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,364.0,366.85,1,364.0,366.85,closed,2.85,0.783
180,ASTERDM_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,358.75,361.95,1,358.75,361.95,closed,3.2,0.892
186,ASTERDM_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,353.35,355.0,1,353.35,355.0,closed,1.65,0.467
191,ASTERDM_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,378.25,364.05,1,378.25,364.05,closed,-14.2,-3.7541
198,ASTERDM_minute,long,2024-06-25 15:26:00,2024-06-26 15:29:00,354.9,351.3,1,354.9,351.3,closed,-3.6,-1.0144
210,ASTERDM_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,349.7,346.6,1,349.7,346.6,closed,-3.1,-0.8865
231,ASTERDM_minute,long,2024-07-19 15:26:00,2024-07-22 15:29:00,321.75,328.7,1,321.75,328.7,closed,6.95,2.1601
234,ASTERDM_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,328.85,324.6,1,328.85,324.6,closed,-4.25,-1.2924
242,ASTERDM_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,342.55,348.0,1,342.55,348.0,closed,5.45,1.591
252,ASTERDM_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,370.0,379.1,1,370.0,379.1,closed,9.1,2.4595
303,ASTERDM_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,406.9,412.1,1,406.9,412.1,closed,5.2,1.278
314,ASTERDM_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,409.35,410.0,1,409.35,410.0,closed,0.65,0.1588
317,ASTERDM_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,409.05,418.2,1,409.05,418.2,closed,9.15,2.2369
