,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,CHOLAHLDNG_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,1029.2,1022.0,1,1029.2,1022.0,closed,-7.2,-0.6996
11,CHOLAHLDNG_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,1162.8,1182.8,1,1162.8,1182.8,closed,20.0,1.72
17,CHOLAHLDNG_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,1145.4,1131.75,1,1145.4,1131.75,closed,-13.65,-1.1917
25,CHOLAHLDNG_minute,long,2024-02-12 15:26:00,2024-02-13 09:19:00,1139.95,1105.75,1,1139.95,1105.75,closed,-34.2,-3.0
39,CHOLAHLDNG_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,1054.2,1041.2,1,1054.2,1041.2,closed,-13.0,-1.2332
49,CHOLAHLDNG_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,1090.45,1078.95,1,1090.45,1078.95,closed,-11.5,-1.0546
53,CHOLAHLDNG_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1067.7,1083.95,1,1067.7,1083.95,closed,16.25,1.522
62,CHOLAHLDNG_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,1042.35,1070.0,1,1042.35,1070.0,closed,27.65,2.6527
63,CHOLAHLDNG_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,1070.0,1095.75,1,1070.0,1095.75,closed,25.75,2.4065
68,CHOLAHLDNG_minute,long,2024-03-13 15:26:00,2024-03-14 09:15:00,1053.8,1022.19,1,1053.8,1022.19,closed,-31.61,-3.0
75,CHOLAHLDNG_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,1014.8,999.0,1,1014.8,999.0,closed,-15.8,-1.557
92,CHOLAHLDNG_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,1129.0,1109.9,1,1129.0,1109.9,closed,-19.1,-1.6918
102,CHOLAHLDNG_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,1061.8,1042.25,1,1061.8,1042.25,closed,-19.55,-1.8412
109,CHOLAHLDNG_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,1059.9,1109.55,1,1059.9,1109.55,closed,49.65,4.6844
116,CHOLAHLDNG_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,1102.45,1082.55,1,1102.45,1082.55,closed,-19.9,-1.8051
122,CHOLAHLDNG_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,1109.65,1082.35,1,1109.65,1082.35,closed,-27.3,-2.4602
128,CHOLAHLDNG_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,1143.85,1144.6,1,1143.85,1144.6,closed,0.75,0.0656
145,CHOLAHLDNG_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,1081.85,1067.65,1,1081.85,1067.65,closed,-14.2,-1.3126
161,CHOLAHLDNG_minute,long,2024-05-28 15:26:00,2024-05-29 15:29:00,1120.0,1128.05,1,1120.0,1128.05,closed,8.05,0.7187
186,CHOLAHLDNG_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,1290.1,1285.0,1,1290.1,1285.0,closed,-5.1,-0.3953
225,CHOLAHLDNG_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,1486.9,1487.55,1,1486.9,1487.55,closed,0.65,0.0437
234,CHOLAHLDNG_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,1509.0,1499.9,1,1509.0,1499.9,closed,-9.1,-0.603
238,CHOLAHLDNG_minute,long,2024-07-23 15:26:00,2024-07-24 15:29:00,1503.35,1500.0,1,1503.35,1500.0,closed,-3.35,-0.2228
240,CHOLAHLDNG_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,1500.0,1480.1,1,1500.0,1480.1,closed,-19.9,-1.3267
252,CHOLAHLDNG_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,1517.05,1539.25,1,1517.05,1539.25,closed,22.2,1.4634
256,CHOLAHLDNG_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,1541.6,1495.35,1,1541.6,1495.35,closed,-46.25,-3.0
266,CHOLAHLDNG_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,1483.3,1524.95,1,1483.3,1524.95,closed,41.65,2.8079
269,CHOLAHLDNG_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,1500.05,1511.9,1,1500.05,1511.9,closed,11.85,0.79
278,CHOLAHLDNG_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,1594.45,1584.85,1,1594.45,1584.85,closed,-9.6,-0.6021
290,CHOLAHLDNG_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,1645.0,1652.15,1,1645.0,1652.15,closed,7.15,0.4347
321,CHOLAHLDNG_minute,long,2024-09-12 15:26:00,2024-09-13 15:29:00,1859.4,1906.0,1,1859.4,1906.0,closed,46.6,2.5062
325,CHOLAHLDNG_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,1926.15,1972.6,1,1926.15,1972.6,closed,46.45,2.4115
341,CHOLAHLDNG_minute,long,2024-09-27 15:26:00,2024-09-30 15:29:00,2010.95,2050.05,1,2010.95,2050.05,closed,39.1,1.9444
349,CHOLAHLDNG_minute,long,2024-10-07 15:26:00,2024-10-08 09:17:00,2000.0,1940.0,1,2000.0,1940.0,closed,-60.0,-3.0
368,CHOLAHLDNG_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,1973.0,1990.0,1,1973.0,1990.0,closed,17.0,0.8616
371,CHOLAHLDNG_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,1990.75,1978.0,1,1990.75,1978.0,closed,-12.75,-0.6405
396,CHOLAHLDNG_minute,long,2024-10-31 15:26:00,2024-11-01 18:59:00,1718.0,1733.0,1,1718.0,1733.0,closed,15.0,0.8731
398,CHOLAHLDNG_minute,long,2024-11-04 15:26:00,2024-11-05 15:29:00,1743.1,1754.9,1,1743.1,1754.9,closed,11.8,0.677
404,CHOLAHLDNG_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,1634.85,1554.0,1,1634.85,1554.0,closed,-80.85,-4.9454
417,CHOLAHLDNG_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,1510.35,1508.1,1,1510.35,1508.1,closed,-2.25,-0.149
421,CHOLAHLDNG_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,1526.55,1499.2,1,1526.55,1499.2,closed,-27.35,-1.7916
443,CHOLAHLDNG_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,1515.0,1545.9,1,1515.0,1545.9,closed,30.9,2.0396
451,CHOLAHLDNG_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,1503.0,1456.0,1,1503.0,1456.0,closed,-47.0,-3.1271
453,CHOLAHLDNG_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,1470.0,1440.65,1,1470.0,1440.65,closed,-29.35,-1.9966
461,CHOLAHLDNG_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,1399.95,1399.0,1,1399.95,1399.0,closed,-0.95,-0.0679
