,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
21,IIFL_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,556.25,561.45,1,556.25,561.45,closed,5.2,0.9348
61,IIFL_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,386.0,373.95,1,386.0,373.95,closed,-12.05,-3.1218
70,IIFL_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,349.3,327.2,1,349.3,327.2,closed,-22.1,-6.3269
81,IIFL_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,325.4,312.3,1,325.4,312.3,closed,-13.1,-4.0258
86,IIFL_minute,long,2024-03-27 15:26:00,2024-03-28 09:16:00,342.5,346.44,1,342.5,346.44,closed,3.94,1.1491
91,IIFL_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,330.25,334.0,1,330.25,334.0,closed,3.75,1.1355
100,IIFL_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,344.85,389.4,1,344.85,389.4,closed,44.55,12.9187
102,IIFL_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,389.45,412.65,1,389.45,412.65,closed,23.2,5.9571
113,IIFL_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,408.6,391.5,1,408.6,391.5,closed,-17.1,-4.185
131,IIFL_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,413.3,406.0,1,413.3,406.0,closed,-7.3,-1.7663
134,IIFL_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,403.7,386.5,1,403.7,386.5,closed,-17.2,-4.2606
138,IIFL_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,391.9,374.3,1,391.9,374.3,closed,-17.6,-4.4909
149,IIFL_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,399.7,394.85,1,399.7,394.85,closed,-4.85,-1.2134
155,IIFL_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,395.7,393.75,1,395.7,393.75,closed,-1.95,-0.4928
185,IIFL_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,414.2,473.55,1,414.2,473.55,closed,59.35,14.3288
