,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,NATCOPHARM_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,860.75,869.9,1,860.75,869.9,closed,9.15,1.063
13,NATCOPHARM_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,869.35,862.85,1,869.35,862.85,closed,-6.5,-0.7477
43,NATCOPHARM_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,1072.0,1038.5,1,1072.0,1038.5,closed,-33.5,-3.125
53,NATCOPHARM_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,1026.95,1026.95,1,1026.95,1026.95,closed,0.0,0.0
56,NATCOPHARM_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,1029.75,1009.9,1,1029.75,1009.9,closed,-19.85,-1.9277
62,NATCOPHARM_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,998.4,980.0,1,998.4,980.0,closed,-18.4,-1.8429
79,NATCOPHARM_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,974.5,931.05,1,974.5,931.05,closed,-43.45,-4.4587
89,NATCOPHARM_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,950.2,949.6,1,950.2,949.6,closed,-0.6,-0.0631
116,NATCOPHARM_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,996.55,998.0,1,996.55,998.0,closed,1.45,0.1455
126,NATCOPHARM_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,993.0,1000.0,1,993.0,1000.0,closed,7.0,0.7049
131,NATCOPHARM_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,1007.8,1020.1,1,1007.8,1020.1,closed,12.3,1.2205
143,NATCOPHARM_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,1020.55,1011.85,1,1020.55,1011.85,closed,-8.7,-0.8525
149,NATCOPHARM_minute,long,2024-05-06 15:26:00,2024-05-07 15:29:00,1019.15,995.0,1,1019.15,995.0,closed,-24.15,-2.3696
164,NATCOPHARM_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,980.65,987.5,1,980.65,987.5,closed,6.85,0.6985
188,NATCOPHARM_minute,long,2024-05-28 15:26:00,2024-05-29 15:29:00,1032.8,1040.0,1,1032.8,1040.0,closed,7.2,0.6971
196,NATCOPHARM_minute,long,2024-06-05 15:26:00,2024-06-06 15:29:00,1018.85,1035.1,1,1018.85,1035.1,closed,16.25,1.5949
199,NATCOPHARM_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,1082.0,1097.45,1,1082.0,1097.45,closed,15.45,1.4279
201,NATCOPHARM_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,1169.15,1179.8,1,1169.15,1179.8,closed,10.65,0.9109
202,NATCOPHARM_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,1180.5,1209.75,1,1180.5,1209.75,closed,29.25,2.4778
207,NATCOPHARM_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,1209.0,1200.0,1,1209.0,1200.0,closed,-9.0,-0.7444
214,NATCOPHARM_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1200.0,1189.95,1,1200.0,1189.95,closed,-10.05,-0.8375
223,NATCOPHARM_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,1152.3,1167.8,1,1152.3,1167.8,closed,15.5,1.3451
231,NATCOPHARM_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,1194.25,1220.0,1,1194.25,1220.0,closed,25.75,2.1562
237,NATCOPHARM_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,1217.75,1217.85,1,1217.75,1217.85,closed,0.1,0.0082
251,NATCOPHARM_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,1185.2,1210.95,1,1185.2,1210.95,closed,25.75,2.1726
260,NATCOPHARM_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,1327.1,1335.5,1,1327.1,1335.5,closed,8.4,0.633
264,NATCOPHARM_minute,long,2024-07-26 15:26:00,2024-07-29 15:29:00,1335.7,1351.7,1,1335.7,1351.7,closed,16.0,1.1979
272,NATCOPHARM_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,1371.6,1330.45,1,1371.6,1330.45,closed,-41.15,-3.0
283,NATCOPHARM_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,1478.0,1466.0,1,1478.0,1466.0,closed,-12.0,-0.8119
290,NATCOPHARM_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,1462.4,1461.0,1,1462.4,1461.0,closed,-1.4,-0.0957
297,NATCOPHARM_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,1444.3,1469.35,1,1444.3,1469.35,closed,25.05,1.7344
298,NATCOPHARM_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,1472.6,1551.15,1,1472.6,1551.15,closed,78.55,5.3341
301,NATCOPHARM_minute,long,2024-08-22 15:26:00,2024-08-23 15:29:00,1554.85,1555.75,1,1554.85,1555.75,closed,0.9,0.0579
305,NATCOPHARM_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,1555.2,1564.0,1,1555.2,1564.0,closed,8.8,0.5658
314,NATCOPHARM_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1537.5,1535.9,1,1537.5,1535.9,closed,-1.6,-0.1041
