,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,PHOENIXLTD_minute,long,2024-01-23 15:26:00,2024-01-24 09:17:00,1194.7,1158.86,1,1194.7,1158.86,closed,-35.84,-3.0
24,PHOENIXLTD_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,1313.5,1356.2,1,1313.5,1356.2,closed,42.7,3.2509
49,PHOENIXLTD_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1382.2,1368.95,1,1382.2,1368.95,closed,-13.25,-0.9586
60,PHOENIXLTD_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,1391.3,1382.5,1,1391.3,1382.5,closed,-8.8,-0.6325
67,PHOENIXLTD_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,1362.6,1332.2,1,1362.6,1332.2,closed,-30.4,-2.2312
75,PHOENIXLTD_minute,long,2024-03-19 15:26:00,2024-03-20 09:18:00,1340.0,1299.8,1,1340.0,1299.8,closed,-40.2,-3.0
87,PHOENIXLTD_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,1392.3,1414.1,1,1392.3,1414.1,closed,21.8,1.5658
123,PHOENIXLTD_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,1586.6,1594.1,1,1586.6,1594.1,closed,7.5,0.4727
129,PHOENIXLTD_minute,long,2024-04-25 15:26:00,2024-04-26 09:19:00,1599.6,1552.0,1,1599.6,1552.0,closed,-47.6,-2.9757
133,PHOENIXLTD_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,1582.4,1567.4,1,1582.4,1567.4,closed,-15.0,-0.9479
141,PHOENIXLTD_minute,long,2024-05-07 15:26:00,2024-05-08 09:16:00,1490.9,1470.04,1,1490.9,1470.04,closed,-20.87,-1.3995
143,PHOENIXLTD_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,1465.35,1409.9,1,1465.35,1409.9,closed,-55.45,-3.7841
160,PHOENIXLTD_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,1474.35,1491.3,1,1474.35,1491.3,closed,16.95,1.1497
166,PHOENIXLTD_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,1499.95,1502.8,1,1499.95,1502.8,closed,2.85,0.19
169,PHOENIXLTD_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,1576.5,1614.5,1,1576.5,1614.5,closed,38.0,2.4104
175,PHOENIXLTD_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,1608.9,1600.5,1,1608.9,1600.5,closed,-8.4,-0.5221
186,PHOENIXLTD_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,1546.6,1671.8,1,1546.6,1671.8,closed,125.2,8.0952
191,PHOENIXLTD_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,1684.45,1668.0,1,1684.45,1668.0,closed,-16.45,-0.9766
193,PHOENIXLTD_minute,long,2024-06-04 15:26:00,2024-06-05 15:29:00,1672.5,1606.6,1,1672.5,1606.6,closed,-65.9,-3.9402
202,PHOENIXLTD_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,1723.0,1706.6,1,1723.0,1706.6,closed,-16.4,-0.9518
206,PHOENIXLTD_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,1711.45,1779.95,1,1711.45,1779.95,closed,68.5,4.0025
215,PHOENIXLTD_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,1848.5,1787.8,1,1848.5,1787.8,closed,-60.7,-3.2837
219,PHOENIXLTD_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,1820.0,1795.5,1,1820.0,1795.5,closed,-24.5,-1.3462
222,PHOENIXLTD_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1803.95,1851.7,1,1803.95,1851.7,closed,47.75,2.647
238,PHOENIXLTD_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,1791.05,1780.7,1,1791.05,1780.7,closed,-10.35,-0.5779
247,PHOENIXLTD_minute,long,2024-07-05 15:26:00,2024-07-08 15:29:00,1879.2,1866.7,1,1879.2,1866.7,closed,-12.5,-0.6652
257,PHOENIXLTD_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,1967.0,1955.0,1,1967.0,1955.0,closed,-12.0,-0.6101
276,PHOENIXLTD_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,1746.8,1765.9,1,1746.8,1765.9,closed,19.1,1.0934
295,PHOENIXLTD_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,1673.15,1622.5,1,1673.15,1622.5,closed,-50.65,-3.0272
299,PHOENIXLTD_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,1633.0,1644.6,1,1633.0,1644.6,closed,11.6,0.7103
302,PHOENIXLTD_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,1649.2,1680.05,1,1649.2,1680.05,closed,30.85,1.8706
312,PHOENIXLTD_minute,long,2024-08-13 15:26:00,2024-08-14 09:16:00,1714.2,1662.77,1,1714.2,1662.77,closed,-51.43,-3.0
314,PHOENIXLTD_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,1683.5,1685.0,1,1683.5,1685.0,closed,1.5,0.0891
325,PHOENIXLTD_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,1756.5,1844.55,1,1756.5,1844.55,closed,88.05,5.0128
332,PHOENIXLTD_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,1783.0,1800.8,1,1783.0,1800.8,closed,17.8,0.9983
337,PHOENIXLTD_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,1800.8,1825.5,1,1800.8,1825.5,closed,24.7,1.3716
346,PHOENIXLTD_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,1822.2,1890.0,1,1822.2,1890.0,closed,67.8,3.7208
