,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
2,TITAN_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,3754.95,3774.1,1,3754.95,3774.1,closed,19.15,0.51
8,TITAN_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,3873.15,3747.65,1,3873.15,3747.65,closed,-125.5,-3.2403
11,TITAN_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,3705.9,3621.7,1,3705.9,3621.7,closed,-84.2,-2.2721
18,TITAN_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,3555.0,3584.3,1,3555.0,3584.3,closed,29.3,0.8242
40,TITAN_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,3621.8,3652.45,1,3621.8,3652.45,closed,30.65,0.8463
44,TITAN_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,3765.25,3760.0,1,3765.25,3760.0,closed,-5.25,-0.1394
58,TITAN_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,3635.95,3579.7,1,3635.95,3579.7,closed,-56.25,-1.5471
73,TITAN_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,3783.5,3799.45,1,3783.5,3799.45,closed,15.95,0.4216
87,TITAN_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,3759.15,3747.0,1,3759.15,3747.0,closed,-12.15,-0.3232
88,TITAN_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,3746.05,3679.0,1,3746.05,3679.0,closed,-67.05,-1.7899
100,TITAN_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,3596.15,3625.0,1,3596.15,3625.0,closed,28.85,0.8022
114,TITAN_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,3572.2,3526.8,1,3572.2,3526.8,closed,-45.4,-1.2709
139,TITAN_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,3364.7,3362.0,1,3364.7,3362.0,closed,-2.7,-0.0802
167,TITAN_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,3594.45,3458.5,1,3594.45,3458.5,closed,-135.95,-3.7822
175,TITAN_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,3400.05,3417.8,1,3400.05,3417.8,closed,17.75,0.5221
180,TITAN_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,3414.65,3405.0,1,3414.65,3405.0,closed,-9.65,-0.2826
195,TITAN_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,3408.15,3434.0,1,3408.15,3434.0,closed,25.85,0.7585
204,TITAN_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,3162.1,3215.7,1,3162.1,3215.7,closed,53.6,1.6951
259,TITAN_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,3387.8,3400.0,1,3387.8,3400.0,closed,12.2,0.3601
264,TITAN_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,3468.1,3473.2,1,3468.1,3473.2,closed,5.1,0.1471
307,TITAN_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,3788.0,3796.3,1,3788.0,3796.3,closed,8.3,0.2191
314,TITAN_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,3821.75,3787.8,1,3821.75,3787.8,closed,-33.95,-0.8883
318,TITAN_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,3749.9,3753.9,1,3749.9,3753.9,closed,4.0,0.1067
343,TITAN_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,3496.95,3457.0,1,3496.95,3457.0,closed,-39.95,-1.1424
350,TITAN_minute,long,2024-10-14 15:26:00,2024-10-15 15:29:00,3500.7,3508.15,1,3500.7,3508.15,closed,7.45,0.2128
361,TITAN_minute,long,2024-10-18 15:26:00,2024-10-21 15:29:00,3394.6,3359.95,1,3394.6,3359.95,closed,-34.65,-1.0207
364,TITAN_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,3362.1,3328.05,1,3362.1,3328.05,closed,-34.05,-1.0128
368,TITAN_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,3332.15,3287.95,1,3332.15,3287.95,closed,-44.2,-1.3265
381,TITAN_minute,long,2024-11-04 15:26:00,2024-11-05 15:29:00,3231.9,3235.5,1,3231.9,3235.5,closed,3.6,0.1114
384,TITAN_minute,long,2024-11-05 15:26:00,2024-11-06 09:15:00,3249.55,3145.0,1,3249.55,3145.0,closed,-104.55,-3.2174
386,TITAN_minute,long,2024-11-07 15:26:00,2024-11-08 15:29:00,3130.0,3182.05,1,3130.0,3182.05,closed,52.05,1.6629
388,TITAN_minute,long,2024-11-08 15:26:00,2024-11-11 15:29:00,3186.6,3204.35,1,3186.6,3204.35,closed,17.75,0.557
405,TITAN_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,3219.75,3178.6,1,3219.75,3178.6,closed,-41.15,-1.278
433,TITAN_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,3476.15,3471.95,1,3476.15,3471.95,closed,-4.2,-0.1208
436,TITAN_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,3440.8,3407.0,1,3440.8,3407.0,closed,-33.8,-0.9823
440,TITAN_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,3366.55,3397.45,1,3366.55,3397.45,closed,30.9,0.9179
445,TITAN_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,3362.45,3321.5,1,3362.45,3321.5,closed,-40.95,-1.2179
