,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,UPL_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,531.75,529.7,1,531.75,529.7,closed,-2.05,-0.3855
24,UPL_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,464.25,458.4,1,464.25,458.4,closed,-5.85,-1.2601
38,UPL_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,462.2,468.15,1,462.2,468.15,closed,5.95,1.2873
42,UPL_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,477.9,477.7,1,477.9,477.7,closed,-0.2,-0.0418
48,UPL_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,479.0,471.7,1,479.0,471.7,closed,-7.3,-1.524
57,UPL_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,455.3,452.15,1,455.3,452.15,closed,-3.15,-0.6919
59,UPL_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,451.95,455.2,1,451.95,455.2,closed,3.25,0.7191
62,UPL_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,455.65,456.7,1,455.65,456.7,closed,1.05,0.2304
64,UPL_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,455.1,455.2,1,455.1,455.2,closed,0.1,0.022
69,UPL_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,454.85,433.3,1,454.85,433.3,closed,-21.55,-4.7378
72,UPL_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,445.05,456.5,1,445.05,456.5,closed,11.45,2.5727
75,UPL_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,457.2,446.6,1,457.2,446.6,closed,-10.6,-2.3185
88,UPL_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,437.05,437.4,1,437.05,437.4,closed,0.35,0.0801
91,UPL_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,456.4,457.7,1,456.4,457.7,closed,1.3,0.2848
94,UPL_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,458.45,475.9,1,458.45,475.9,closed,17.45,3.8063
95,UPL_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,475.85,474.05,1,475.85,474.05,closed,-1.8,-0.3783
102,UPL_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,469.2,470.5,1,469.2,470.5,closed,1.3,0.2771
104,UPL_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,470.5,484.9,1,470.5,484.9,closed,14.4,3.0606
109,UPL_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,465.8,461.15,1,465.8,461.15,closed,-4.65,-0.9983
127,UPL_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,486.9,487.0,1,486.9,487.0,closed,0.1,0.0205
150,UPL_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,489.95,493.3,1,489.95,493.3,closed,3.35,0.6837
152,UPL_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,489.95,490.85,1,489.95,490.85,closed,0.9,0.1837
173,UPL_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,485.3,488.5,1,485.3,488.5,closed,3.2,0.6594
174,UPL_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,487.4,508.2,1,487.4,508.2,closed,20.8,4.2675
199,UPL_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,546.75,547.45,1,546.75,547.45,closed,0.7,0.128
212,UPL_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,549.85,547.4,1,549.85,547.4,closed,-2.45,-0.4456
221,UPL_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,545.45,540.9,1,545.45,540.9,closed,-4.55,-0.8342
230,UPL_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,535.5,540.1,1,535.5,540.1,closed,4.6,0.859
237,UPL_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,535.3,535.8,1,535.3,535.8,closed,0.5,0.0934
266,UPL_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,512.75,526.55,1,512.75,526.55,closed,13.8,2.6914
268,UPL_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,524.95,525.6,1,524.95,525.6,closed,0.65,0.1238
277,UPL_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,532.65,541.9,1,532.65,541.9,closed,9.25,1.7366
286,UPL_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,521.4,531.0,1,521.4,531.0,closed,9.6,1.8412
294,UPL_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,550.15,553.95,1,550.15,553.95,closed,3.8,0.6907
299,UPL_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,556.9,574.2,1,556.9,574.2,closed,17.3,3.1065
322,UPL_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,586.05,588.25,1,586.05,588.25,closed,2.2,0.3754
343,UPL_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,574.9,577.95,1,574.9,577.95,closed,3.05,0.5305
348,UPL_minute,long,2024-09-27 15:26:00,2024-09-30 15:29:00,587.05,589.0,1,587.05,589.0,closed,1.95,0.3322
364,UPL_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,554.95,561.1,1,554.95,561.1,closed,6.15,1.1082
388,UPL_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,510.7,513.15,1,510.7,513.15,closed,2.45,0.4797
393,UPL_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,513.7,522.8,1,513.7,522.8,closed,9.1,1.7715
395,UPL_minute,long,2024-10-31 15:26:00,2024-11-01 18:59:00,531.2,535.35,1,531.2,535.35,closed,4.15,0.7812
407,UPL_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,506.5,498.4,1,506.5,498.4,closed,-8.1,-1.5992
410,UPL_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,496.1,508.75,1,496.1,508.75,closed,12.65,2.5499
426,UPL_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,546.1,552.0,1,546.1,552.0,closed,5.9,1.0804
436,UPL_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,547.2,544.3,1,547.2,544.3,closed,-2.9,-0.53
446,UPL_minute,long,2024-12-05 15:26:00,2024-12-06 15:29:00,559.95,561.0,1,559.95,561.0,closed,1.05,0.1875
449,UPL_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,550.9,553.55,1,550.9,553.55,closed,2.65,0.481
465,UPL_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,519.45,503.9,1,519.45,503.9,closed,-15.55,-2.9936
