,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,VIJAYA_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,650.75,646.2,1,650.75,646.2,closed,-4.55,-0.6992
4,VIJAYA_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,646.8,635.5,1,646.8,635.5,closed,-11.3,-1.7471
5,VIJAYA_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,636.2,636.35,1,636.2,636.35,closed,0.15,0.0236
8,VIJAYA_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,649.7,646.9,1,649.7,646.9,closed,-2.8,-0.431
15,VIJAYA_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,653.1,660.0,1,653.1,660.0,closed,6.9,1.0565
23,VIJAYA_minute,long,2024-02-06 15:26:00,2024-02-07 09:15:00,635.65,658.44,1,635.65,658.44,closed,22.79,3.5847
27,VIJAYA_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,670.0,644.8,1,670.0,644.8,closed,-25.2,-3.7612
32,VIJAYA_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,631.8,627.0,1,631.8,627.0,closed,-4.8,-0.7597
37,VIJAYA_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,627.0,635.0,1,627.0,635.0,closed,8.0,1.2759
40,VIJAYA_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,635.0,632.4,1,635.0,632.4,closed,-2.6,-0.4094
50,VIJAYA_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,655.2,657.5,1,655.2,657.5,closed,2.3,0.351
63,VIJAYA_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,615.3,620.1,1,615.3,620.1,closed,4.8,0.7801
65,VIJAYA_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,620.1,621.6,1,620.1,621.6,closed,1.5,0.2419
69,VIJAYA_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,625.1,640.95,1,625.1,640.95,closed,15.85,2.5356
70,VIJAYA_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,639.4,636.65,1,639.4,636.65,closed,-2.75,-0.4301
87,VIJAYA_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,610.0,608.7,1,610.0,608.7,closed,-1.3,-0.2131
90,VIJAYA_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,632.15,627.6,1,632.15,627.6,closed,-4.55,-0.7198
91,VIJAYA_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,630.05,630.05,1,630.05,630.05,closed,0.0,0.0
99,VIJAYA_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,639.9,631.0,1,639.9,631.0,closed,-8.9,-1.3908
111,VIJAYA_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,661.7,668.8,1,661.7,668.8,closed,7.1,1.073
114,VIJAYA_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,674.95,669.7,1,674.95,669.7,closed,-5.25,-0.7778
129,VIJAYA_minute,long,2024-04-22 15:26:00,2024-04-23 09:16:00,670.05,656.45,1,670.05,656.45,closed,-13.6,-2.0301
152,VIJAYA_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,675.65,729.5,1,675.65,729.5,closed,53.85,7.9701
164,VIJAYA_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,762.55,801.2,1,762.55,801.2,closed,38.65,5.0685
176,VIJAYA_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,786.8,780.85,1,786.8,780.85,closed,-5.95,-0.7562
195,VIJAYA_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,817.05,806.4,1,817.05,806.4,closed,-10.65,-1.3035
203,VIJAYA_minute,long,2024-06-10 15:26:00,2024-06-11 15:29:00,811.25,804.75,1,811.25,804.75,closed,-6.5,-0.8012
208,VIJAYA_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,826.25,808.95,1,826.25,808.95,closed,-17.3,-2.0938
217,VIJAYA_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,778.55,772.0,1,778.55,772.0,closed,-6.55,-0.8413
232,VIJAYA_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,781.95,784.6,1,781.95,784.6,closed,2.65,0.3389
