,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,BALAMINES_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,2505.0,2452.0,1,2505.0,2452.0,closed,-53.0,-2.1158
12,BALAMINES_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,2354.75,2297.0,1,2354.75,2297.0,closed,-57.75,-2.4525
13,BALAMINES_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,2296.0,2433.0,1,2296.0,2433.0,closed,137.0,5.9669
51,BALAMINES_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,2271.0,2234.0,1,2271.0,2234.0,closed,-37.0,-1.6292
63,BALAMINES_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,2188.0,2193.8,1,2188.0,2193.8,closed,5.8,0.2651
73,BALAMINES_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,2414.2,2315.0,1,2414.2,2315.0,closed,-99.2,-4.109
76,BALAMINES_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,2333.05,2224.7,1,2333.05,2224.7,closed,-108.35,-4.6441
81,BALAMINES_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,2059.0,2129.7,1,2059.0,2129.7,closed,70.7,3.4337
83,BALAMINES_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,2120.15,2076.0,1,2120.15,2076.0,closed,-44.15,-2.0824
99,BALAMINES_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,2128.45,2264.0,1,2128.45,2264.0,closed,135.55,6.3685
109,BALAMINES_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,2264.0,2201.2,1,2264.0,2201.2,closed,-62.8,-2.7739
112,BALAMINES_minute,long,2024-04-15 15:26:00,2024-04-16 15:29:00,2199.9,2210.1,1,2199.9,2210.1,closed,10.2,0.4637
126,BALAMINES_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,2256.0,2242.15,1,2256.0,2242.15,closed,-13.85,-0.6139
128,BALAMINES_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,2238.75,2230.0,1,2238.75,2230.0,closed,-8.75,-0.3908
133,BALAMINES_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,2230.0,2206.65,1,2230.0,2206.65,closed,-23.35,-1.0471
135,BALAMINES_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,2205.05,2192.9,1,2205.05,2192.9,closed,-12.15,-0.551
136,BALAMINES_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,2175.2,2154.0,1,2175.2,2154.0,closed,-21.2,-0.9746
139,BALAMINES_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,2154.95,2127.5,1,2154.95,2127.5,closed,-27.45,-1.2738
140,BALAMINES_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,2093.3,2308.95,1,2093.3,2308.95,closed,215.65,10.3019
166,BALAMINES_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,2238.15,2211.0,1,2238.15,2211.0,closed,-27.15,-1.2131
184,BALAMINES_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,2244.8,2223.3,1,2244.8,2223.3,closed,-21.5,-0.9578
195,BALAMINES_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,2356.75,2324.85,1,2356.75,2324.85,closed,-31.9,-1.3536
213,BALAMINES_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,2416.05,2379.95,1,2416.05,2379.95,closed,-36.1,-1.4942
230,BALAMINES_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,2385.0,2339.0,1,2385.0,2339.0,closed,-46.0,-1.9287
238,BALAMINES_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,2274.5,2372.2,1,2274.5,2372.2,closed,97.7,4.2954
244,BALAMINES_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,2469.2,2501.0,1,2469.2,2501.0,closed,31.8,1.2879
277,BALAMINES_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,2184.95,2172.65,1,2184.95,2172.65,closed,-12.3,-0.5629
282,BALAMINES_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,2199.4,2202.0,1,2199.4,2202.0,closed,2.6,0.1182
303,BALAMINES_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,2225.7,2310.05,1,2225.7,2310.05,closed,84.35,3.7898
307,BALAMINES_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,2295.15,2269.0,1,2295.15,2269.0,closed,-26.15,-1.1394
311,BALAMINES_minute,long,2024-09-12 15:26:00,2024-09-13 15:29:00,2265.0,2277.0,1,2265.0,2277.0,closed,12.0,0.5298
321,BALAMINES_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,2343.05,2313.6,1,2343.05,2313.6,closed,-29.45,-1.2569
331,BALAMINES_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,2300.0,2287.0,1,2300.0,2287.0,closed,-13.0,-0.5652
350,BALAMINES_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,2169.95,2221.95,1,2169.95,2221.95,closed,52.0,2.3964
377,BALAMINES_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,2063.0,2081.15,1,2063.0,2081.15,closed,18.15,0.8798
379,BALAMINES_minute,long,2024-10-23 15:26:00,2024-10-24 15:29:00,2081.05,2060.6,1,2081.05,2060.6,closed,-20.45,-0.9827
387,BALAMINES_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,2032.4,2030.0,1,2032.4,2030.0,closed,-2.4,-0.1181
397,BALAMINES_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,2138.0,2129.0,1,2138.0,2129.0,closed,-9.0,-0.421
405,BALAMINES_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,2031.85,1997.25,1,2031.85,1997.25,closed,-34.6,-1.7029
425,BALAMINES_minute,long,2024-11-26 15:26:00,2024-11-27 15:29:00,2035.6,2021.0,1,2035.6,2021.0,closed,-14.6,-0.7172
454,BALAMINES_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,2010.0,2006.0,1,2010.0,2006.0,closed,-4.0,-0.199
458,BALAMINES_minute,long,2024-12-17 15:26:00,2024-12-18 15:29:00,1997.9,1995.55,1,1997.9,1995.55,closed,-2.35,-0.1176
