,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,RELIANCE_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,1353.8,1447.7,1,1353.8,1447.7,closed,93.9,6.936
21,RELIANCE_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,1455.0,1458.3,1,1455.0,1458.3,closed,3.3,0.2268
41,RELIANCE_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,1458.1,1466.4,1,1458.1,1466.4,closed,8.3,0.5692
47,RELIANCE_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1463.35,1488.7,1,1463.35,1488.7,closed,25.35,1.7323
68,RELIANCE_minute,long,2024-03-13 15:26:00,2024-03-14 15:29:00,1433.0,1434.0,1,1433.0,1434.0,closed,1.0,0.0698
71,RELIANCE_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,1418.5,1439.75,1,1418.5,1439.75,closed,21.25,1.4981
84,RELIANCE_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,1445.0,1450.5,1,1445.0,1450.5,closed,5.5,0.3806
92,RELIANCE_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,1443.55,1492.05,1,1443.55,1492.05,closed,48.5,3.3598
93,RELIANCE_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,1491.75,1484.7,1,1491.75,1484.7,closed,-7.05,-0.4726
172,RELIANCE_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,1460.3,1484.75,1,1460.3,1484.75,closed,24.45,1.6743
186,RELIANCE_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,1426.6,1429.4,1,1426.6,1429.4,closed,2.8,0.1963
217,RELIANCE_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,1460.0,1442.5,1,1460.0,1442.5,closed,-17.5,-1.1986
230,RELIANCE_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,1562.2,1562.3,1,1562.2,1562.3,closed,0.1,0.0064
235,RELIANCE_minute,long,2024-07-05 15:26:00,2024-07-08 15:29:00,1591.9,1600.7,1,1591.9,1600.7,closed,8.8,0.5528
253,RELIANCE_minute,long,2024-07-19 15:26:00,2024-07-22 15:29:00,1556.7,1502.85,1,1556.7,1502.85,closed,-53.85,-3.4592
301,RELIANCE_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,1499.55,1499.2,1,1499.55,1499.2,closed,-0.35,-0.0233
318,RELIANCE_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1511.0,1516.2,1,1511.0,1516.2,closed,5.2,0.3441
328,RELIANCE_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,1516.0,1495.6,1,1516.0,1495.6,closed,-20.4,-1.3456
415,RELIANCE_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,1344.2,1353.5,1,1344.2,1353.5,closed,9.3,0.6919
429,RELIANCE_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,1342.9,1340.15,1,1342.9,1340.15,closed,-2.75,-0.2048
468,RELIANCE_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,1254.95,1266.9,1,1254.95,1266.9,closed,11.95,0.9522
474,RELIANCE_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,1238.25,1220.95,1,1238.25,1220.95,closed,-17.3,-1.3971
495,RELIANCE_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,1310.75,1323.5,1,1310.75,1323.5,closed,12.75,0.9727
506,RELIANCE_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,1296.65,1285.9,1,1296.65,1285.9,closed,-10.75,-0.8291
518,RELIANCE_minute,long,2024-12-18 15:26:00,2024-12-19 15:29:00,1253.6,1230.1,1,1253.6,1230.1,closed,-23.5,-1.8746
521,RELIANCE_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,1204.15,1223.0,1,1204.15,1223.0,closed,18.85,1.5654
