,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
16,ADANIPOWER_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,570.05,566.6,1,570.05,566.6,closed,-3.45,-0.6052
25,ADANIPOWER_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,568.0,561.0,1,568.0,561.0,closed,-7.0,-1.2324
39,ADANIPOWER_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,565.5,558.45,1,565.5,558.45,closed,-7.05,-1.2467
41,ADANIPOWER_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,556.0,553.0,1,556.0,553.0,closed,-3.0,-0.5396
51,ADANIPOWER_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,577.1,575.05,1,577.1,575.05,closed,-2.05,-0.3552
54,ADANIPOWER_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,578.3,568.0,1,578.3,568.0,closed,-10.3,-1.7811
62,ADANIPOWER_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,556.95,528.3,1,556.95,528.3,closed,-28.65,-5.1441
65,ADANIPOWER_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,542.9,524.0,1,542.9,524.0,closed,-18.9,-3.4813
90,ADANIPOWER_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,640.45,626.6,1,640.45,626.6,closed,-13.85,-2.1625
101,ADANIPOWER_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,600.9,596.0,1,600.9,596.0,closed,-4.9,-0.8154
106,ADANIPOWER_minute,long,2024-04-19 15:26:00,2024-04-22 15:29:00,595.85,596.95,1,595.85,596.95,closed,1.1,0.1846
122,ADANIPOWER_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,584.25,612.6,1,584.25,612.6,closed,28.35,4.8524
128,ADANIPOWER_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,614.45,602.75,1,614.45,602.75,closed,-11.7,-1.9041
139,ADANIPOWER_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,639.9,640.05,1,639.9,640.05,closed,0.15,0.0234
145,ADANIPOWER_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,681.95,694.2,1,681.95,694.2,closed,12.25,1.7963
148,ADANIPOWER_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,694.25,711.6,1,694.25,711.6,closed,17.35,2.4991
152,ADANIPOWER_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,706.45,706.1,1,706.45,706.1,closed,-0.35,-0.0495
167,ADANIPOWER_minute,long,2024-06-03 15:26:00,2024-06-04 09:15:00,877.55,816.12,1,877.55,816.12,closed,-61.43,-7.0
171,ADANIPOWER_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,750.0,770.2,1,750.0,770.2,closed,20.2,2.6933
174,ADANIPOWER_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,770.75,769.95,1,770.75,769.95,closed,-0.8,-0.1038
175,ADANIPOWER_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,763.65,760.0,1,763.65,760.0,closed,-3.65,-0.478
186,ADANIPOWER_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,742.75,741.8,1,742.75,741.8,closed,-0.95,-0.1279
204,ADANIPOWER_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,710.8,715.85,1,710.8,715.85,closed,5.05,0.7105
215,ADANIPOWER_minute,long,2024-07-09 15:26:00,2024-07-10 15:29:00,726.2,726.3,1,726.2,726.3,closed,0.1,0.0138
231,ADANIPOWER_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,695.45,695.8,1,695.45,695.8,closed,0.35,0.0503
233,ADANIPOWER_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,696.2,713.0,1,696.2,713.0,closed,16.8,2.4131
236,ADANIPOWER_minute,long,2024-07-26 15:26:00,2024-07-29 15:29:00,711.9,717.65,1,711.9,717.65,closed,5.75,0.8077
242,ADANIPOWER_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,717.25,729.4,1,717.25,729.4,closed,12.15,1.694
246,ADANIPOWER_minute,long,2024-08-02 15:26:00,2024-08-05 15:29:00,728.2,686.95,1,728.2,686.95,closed,-41.25,-5.6647
278,ADANIPOWER_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,654.15,639.8,1,654.15,639.8,closed,-14.35,-2.1937
287,ADANIPOWER_minute,long,2024-09-03 15:26:00,2024-09-04 15:29:00,658.95,650.0,1,658.95,650.0,closed,-8.95,-1.3582
291,ADANIPOWER_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,638.0,635.0,1,638.0,635.0,closed,-3.0,-0.4702
305,ADANIPOWER_minute,long,2024-09-18 15:26:00,2024-09-19 15:29:00,653.15,648.0,1,653.15,648.0,closed,-5.15,-0.7885
312,ADANIPOWER_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,669.65,674.2,1,669.65,674.2,closed,4.55,0.6795
317,ADANIPOWER_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,673.45,675.85,1,673.45,675.85,closed,2.4,0.3564
318,ADANIPOWER_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,676.6,667.7,1,676.6,667.7,closed,-8.9,-1.3154
323,ADANIPOWER_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,667.6,654.35,1,667.6,654.35,closed,-13.25,-1.9847
325,ADANIPOWER_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,657.4,652.95,1,657.4,652.95,closed,-4.45,-0.6769
328,ADANIPOWER_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,652.6,646.95,1,652.6,646.95,closed,-5.65,-0.8658
331,ADANIPOWER_minute,long,2024-10-03 15:26:00,2024-10-04 15:29:00,650.75,640.0,1,650.75,640.0,closed,-10.75,-1.6519
336,ADANIPOWER_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,625.5,641.5,1,625.5,641.5,closed,16.0,2.558
342,ADANIPOWER_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,641.1,634.0,1,641.1,634.0,closed,-7.1,-1.1075
347,ADANIPOWER_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,645.85,641.0,1,645.85,641.0,closed,-4.85,-0.7509
361,ADANIPOWER_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,589.95,584.5,1,589.95,584.5,closed,-5.45,-0.9238
370,ADANIPOWER_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,591.9,590.4,1,591.9,590.4,closed,-1.5,-0.2534
382,ADANIPOWER_minute,long,2024-11-07 15:26:00,2024-11-08 15:29:00,598.4,589.7,1,598.4,589.7,closed,-8.7,-1.4539
384,ADANIPOWER_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,558.85,551.5,1,558.85,551.5,closed,-7.35,-1.3152
388,ADANIPOWER_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,548.7,526.05,1,548.7,526.05,closed,-22.65,-4.1279
403,ADANIPOWER_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,448.15,438.6,1,448.15,438.6,closed,-9.55,-2.131
413,ADANIPOWER_minute,long,2024-11-29 15:26:00,2024-12-02 15:29:00,552.15,548.45,1,552.15,548.45,closed,-3.7,-0.6701
415,ADANIPOWER_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,548.25,543.2,1,548.25,543.2,closed,-5.05,-0.9211
436,ADANIPOWER_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,504.3,496.5,1,504.3,496.5,closed,-7.8,-1.5467
438,ADANIPOWER_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,496.4,506.2,1,496.4,506.2,closed,9.8,1.9742
442,ADANIPOWER_minute,long,2024-12-30 15:26:00,,554.4,0.0,1,554.4,0.0,open,0.0,0.0
