,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
42,BALRAMCHIN_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,371.1,374.5,1,371.1,374.5,closed,3.4,0.9162
48,BALRAMCHIN_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,381.0,380.9,1,381.0,380.9,closed,-0.1,-0.0262
60,BALRAMCHIN_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,356.8,359.0,1,356.8,359.0,closed,2.2,0.6166
63,BALRAMCHIN_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,358.75,360.0,1,358.75,360.0,closed,1.25,0.3484
79,BALRAMCHIN_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,361.55,377.2,1,361.55,377.2,closed,15.65,4.3286
81,BALRAMCHIN_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,377.75,384.0,1,377.75,384.0,closed,6.25,1.6545
107,BALRAMCHIN_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,388.45,388.05,1,388.45,388.05,closed,-0.4,-0.103
134,BALRAMCHIN_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,371.6,379.0,1,371.6,379.0,closed,7.4,1.9914
136,BALRAMCHIN_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,378.75,377.5,1,378.75,377.5,closed,-1.25,-0.33
153,BALRAMCHIN_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,389.9,380.8,1,389.9,380.8,closed,-9.1,-2.3339
163,BALRAMCHIN_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,377.85,378.25,1,377.85,378.25,closed,0.4,0.1059
181,BALRAMCHIN_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,440.25,430.2,1,440.25,430.2,closed,-10.05,-2.2828
182,BALRAMCHIN_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,430.5,429.9,1,430.5,429.9,closed,-0.6,-0.1394
183,BALRAMCHIN_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,430.15,440.15,1,430.15,440.15,closed,10.0,2.3248
196,BALRAMCHIN_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,429.1,429.3,1,429.1,429.3,closed,0.2,0.0466
