,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,DLF_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,787.0,776.45,1,787.0,776.45,closed,-10.55,-1.3405
25,DLF_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,833.25,833.3,1,833.25,833.3,closed,0.05,0.006
27,DLF_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,835.0,809.2,1,835.0,809.2,closed,-25.8,-3.0898
30,DLF_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,808.9,830.55,1,808.9,830.55,closed,21.65,2.6765
48,DLF_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,894.05,897.7,1,894.05,897.7,closed,3.65,0.4083
60,DLF_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,903.15,916.1,1,903.15,916.1,closed,12.95,1.4339
66,DLF_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,933.95,931.25,1,933.95,931.25,closed,-2.7,-0.2891
73,DLF_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,863.7,827.8,1,863.7,827.8,closed,-35.9,-4.1565
87,DLF_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,875.05,881.6,1,875.05,881.6,closed,6.55,0.7485
92,DLF_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,898.95,949.5,1,898.95,949.5,closed,50.55,5.6232
100,DLF_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,890.25,905.4,1,890.25,905.4,closed,15.15,1.7018
103,DLF_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,911.75,909.55,1,911.75,909.55,closed,-2.2,-0.2413
111,DLF_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,859.8,854.75,1,859.8,854.75,closed,-5.05,-0.5873
140,DLF_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,841.35,841.0,1,841.35,841.0,closed,-0.35,-0.0416
142,DLF_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,839.8,825.2,1,839.8,825.2,closed,-14.6,-1.7385
163,DLF_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,820.05,869.0,1,820.05,869.0,closed,48.95,5.9691
179,DLF_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,856.45,858.5,1,856.45,858.5,closed,2.05,0.2394
184,DLF_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,861.6,874.5,1,861.6,874.5,closed,12.9,1.4972
186,DLF_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,875.3,855.0,1,875.3,855.0,closed,-20.3,-2.3192
203,DLF_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,833.25,820.85,1,833.25,820.85,closed,-12.4,-1.4881
206,DLF_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,821.4,833.7,1,821.4,833.7,closed,12.3,1.4974
210,DLF_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,834.0,843.35,1,834.0,843.35,closed,9.35,1.1211
218,DLF_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,821.8,813.1,1,821.8,813.1,closed,-8.7,-1.0587
231,DLF_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,890.7,871.8,1,890.7,871.8,closed,-18.9,-2.1219
241,DLF_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,823.45,845.0,1,823.45,845.0,closed,21.55,2.617
261,DLF_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,858.3,866.3,1,858.3,866.3,closed,8.0,0.9321
275,DLF_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,830.7,847.0,1,830.7,847.0,closed,16.3,1.9622
289,DLF_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,827.35,828.95,1,827.35,828.95,closed,1.6,0.1934
297,DLF_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,825.55,835.1,1,825.55,835.1,closed,9.55,1.1568
300,DLF_minute,long,2024-09-12 15:26:00,2024-09-13 15:29:00,835.85,865.85,1,835.85,865.85,closed,30.0,3.5892
311,DLF_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,880.3,908.55,1,880.3,908.55,closed,28.25,3.2091
326,DLF_minute,long,2024-10-03 15:26:00,2024-10-04 15:29:00,864.15,846.3,1,864.15,846.3,closed,-17.85,-2.0656
331,DLF_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,854.95,862.9,1,854.95,862.9,closed,7.95,0.9299
335,DLF_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,862.5,846.4,1,862.5,846.4,closed,-16.1,-1.8667
339,DLF_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,848.45,862.3,1,848.45,862.3,closed,13.85,1.6324
352,DLF_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,816.9,805.15,1,816.9,805.15,closed,-11.75,-1.4384
368,DLF_minute,long,2024-11-04 15:26:00,2024-11-05 15:29:00,791.0,798.2,1,791.0,798.2,closed,7.2,0.9102
372,DLF_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,830.25,803.4,1,830.25,803.4,closed,-26.85,-3.234
384,DLF_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,760.6,759.0,1,760.6,759.0,closed,-1.6,-0.2104
