,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
14,MEDANTA_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,1258.0,1276.9,1,1258.0,1276.9,closed,18.9,1.5024
18,MEDANTA_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,1350.0,1349.9,1,1350.0,1349.9,closed,-0.1,-0.0074
24,MEDANTA_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,1325.95,1389.6,1,1325.95,1389.6,closed,63.65,4.8003
30,MEDANTA_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,1400.0,1400.0,1,1400.0,1400.0,closed,0.0,0.0
40,MEDANTA_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,1442.75,1434.4,1,1442.75,1434.4,closed,-8.35,-0.5788
51,MEDANTA_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,1265.05,1245.65,1,1265.05,1245.65,closed,-19.4,-1.5335
69,MEDANTA_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,1208.2,1134.85,1,1208.2,1134.85,closed,-73.35,-6.071
99,MEDANTA_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,1336.45,1338.4,1,1336.45,1338.4,closed,1.95,0.1459
105,MEDANTA_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,1383.45,1393.5,1,1383.45,1393.5,closed,10.05,0.7264
111,MEDANTA_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,1398.15,1387.0,1,1398.15,1387.0,closed,-11.15,-0.7975
154,MEDANTA_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,1414.35,1405.45,1,1414.35,1405.45,closed,-8.9,-0.6293
156,MEDANTA_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,1404.5,1393.0,1,1404.5,1393.0,closed,-11.5,-0.8188
164,MEDANTA_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,1335.0,1240.9,1,1335.0,1240.9,closed,-94.1,-7.0487
170,MEDANTA_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,1210.0,1179.0,1,1210.0,1179.0,closed,-31.0,-2.562
175,MEDANTA_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,1224.5,1230.0,1,1224.5,1230.0,closed,5.5,0.4492
184,MEDANTA_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,1207.25,1167.0,1,1207.25,1167.0,closed,-40.25,-3.334
186,MEDANTA_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,1166.7,1090.8,1,1166.7,1090.8,closed,-75.9,-6.5055
188,MEDANTA_minute,long,2024-06-04 15:26:00,2024-06-05 15:29:00,1090.5,1119.15,1,1090.5,1119.15,closed,28.65,2.6272
205,MEDANTA_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,1283.0,1360.0,1,1283.0,1360.0,closed,77.0,6.0016
215,MEDANTA_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,1333.75,1302.0,1,1333.75,1302.0,closed,-31.75,-2.3805
253,MEDANTA_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,1219.45,1210.65,1,1219.45,1210.65,closed,-8.8,-0.7216
257,MEDANTA_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,1214.25,1204.55,1,1214.25,1204.55,closed,-9.7,-0.7988
288,MEDANTA_minute,long,2024-08-01 15:26:00,2024-08-02 15:29:00,1219.45,1205.5,1,1219.45,1205.5,closed,-13.95,-1.144
327,MEDANTA_minute,long,2024-08-22 15:26:00,2024-08-23 15:29:00,1075.25,1075.0,1,1075.25,1075.0,closed,-0.25,-0.0233
334,MEDANTA_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,1088.75,1127.1,1,1088.75,1127.1,closed,38.35,3.5224
337,MEDANTA_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1133.2,1132.0,1,1133.2,1132.0,closed,-1.2,-0.1059
342,MEDANTA_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,1132.85,1164.75,1,1132.85,1164.75,closed,31.9,2.8159
382,MEDANTA_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,1080.0,1058.95,1,1080.0,1058.95,closed,-21.05,-1.9491
402,MEDANTA_minute,long,2024-10-04 15:26:00,2024-10-07 15:29:00,969.6,964.85,1,969.6,964.85,closed,-4.75,-0.4899
409,MEDANTA_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,989.65,1000.0,1,989.65,1000.0,closed,10.35,1.0458
468,MEDANTA_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,1079.75,1078.55,1,1079.75,1078.55,closed,-1.2,-0.1111
495,MEDANTA_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,1141.05,1164.25,1,1141.05,1164.25,closed,23.2,2.0332
501,MEDANTA_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,1180.3,1138.6,1,1180.3,1138.6,closed,-41.7,-3.533
509,MEDANTA_minute,long,2024-12-11 15:26:00,2024-12-12 15:29:00,1132.1,1111.0,1,1132.1,1111.0,closed,-21.1,-1.8638
524,MEDANTA_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,1098.8,1099.0,1,1098.8,1099.0,closed,0.2,0.0182
530,MEDANTA_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,1091.75,1082.0,1,1091.75,1082.0,closed,-9.75,-0.8931
