,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
36,TATACHEM_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,981.7,975.8,1,981.7,975.8,closed,-5.9,-0.601
83,TATACHEM_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,1032.3,1038.15,1,1032.3,1038.15,closed,5.85,0.5667
86,TATACHEM_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,1038.0,1048.85,1,1038.0,1048.85,closed,10.85,1.0453
91,TATACHEM_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,1091.5,1107.4,1,1091.5,1107.4,closed,15.9,1.4567
102,TATACHEM_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,1095.7,1094.0,1,1095.7,1094.0,closed,-1.7,-0.1552
106,TATACHEM_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,1093.9,1131.0,1,1093.9,1131.0,closed,37.1,3.3915
117,TATACHEM_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,1172.2,1147.5,1,1172.2,1147.5,closed,-24.7,-2.1071
140,TATACHEM_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,1123.1,1098.0,1,1123.1,1098.0,closed,-25.1,-2.2349
142,TATACHEM_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,1073.65,1100.0,1,1073.65,1100.0,closed,26.35,2.4542
146,TATACHEM_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,1092.15,1080.65,1,1092.15,1080.65,closed,-11.5,-1.053
150,TATACHEM_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,1083.6,1043.8,1,1083.6,1043.8,closed,-39.8,-3.6729
157,TATACHEM_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,1063.6,1065.6,1,1063.6,1065.6,closed,2.0,0.188
195,TATACHEM_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,1064.7,1058.75,1,1064.7,1058.75,closed,-5.95,-0.5588
201,TATACHEM_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,1059.1,1086.0,1,1059.1,1086.0,closed,26.9,2.5399
212,TATACHEM_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,1122.35,1107.25,1,1122.35,1107.25,closed,-15.1,-1.3454
231,TATACHEM_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,1097.25,1105.55,1,1097.25,1105.55,closed,8.3,0.7564
233,TATACHEM_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,1104.95,1102.55,1,1104.95,1102.55,closed,-2.4,-0.2172
243,TATACHEM_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,1060.0,1065.5,1,1060.0,1065.5,closed,5.5,0.5189
273,TATACHEM_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,1121.1,1104.0,1,1121.1,1104.0,closed,-17.1,-1.5253
278,TATACHEM_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,1033.85,1055.8,1,1033.85,1055.8,closed,21.95,2.1231
280,TATACHEM_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,1054.5,1032.75,1,1054.5,1032.75,closed,-21.75,-2.0626
286,TATACHEM_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,1049.85,1025.45,1,1049.85,1025.45,closed,-24.4,-2.3241
302,TATACHEM_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,1063.6,1083.1,1,1063.6,1083.1,closed,19.5,1.8334
334,TATACHEM_minute,long,2024-09-06 15:26:00,2024-09-09 15:29:00,1057.3,1054.9,1,1057.3,1054.9,closed,-2.4,-0.227
339,TATACHEM_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,1052.75,1063.4,1,1052.75,1063.4,closed,10.65,1.0116
374,TATACHEM_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,1055.6,1067.0,1,1055.6,1067.0,closed,11.4,1.08
403,TATACHEM_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,1185.95,1099.25,1,1185.95,1099.25,closed,-86.7,-7.3106
414,TATACHEM_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,1101.5,1098.55,1,1101.5,1098.55,closed,-2.95,-0.2678
450,TATACHEM_minute,long,2024-11-04 15:26:00,2024-11-05 15:29:00,1126.95,1128.0,1,1126.95,1128.0,closed,1.05,0.0932
458,TATACHEM_minute,long,2024-11-07 15:26:00,2024-11-08 15:29:00,1120.1,1099.7,1,1120.1,1099.7,closed,-20.4,-1.8213
469,TATACHEM_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,1046.9,1058.85,1,1046.9,1058.85,closed,11.95,1.1415
472,TATACHEM_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,1060.3,1058.6,1,1060.3,1058.6,closed,-1.7,-0.1603
480,TATACHEM_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,1083.1,1092.9,1,1083.1,1092.9,closed,9.8,0.9048
505,TATACHEM_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,1108.4,1125.25,1,1108.4,1125.25,closed,16.85,1.5202
525,TATACHEM_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,1034.1,1065.8,1,1034.1,1065.8,closed,31.7,3.0655
