,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
11,AREM_minute,long,2024-02-20 15:26:00,2024-02-21 09:17:00,852.7,865.0,1,852.7,865.0,closed,12.3,1.4425
17,AREM_minute,long,2024-03-05 15:26:00,2024-03-06 09:16:00,851.3,846.4,1,851.3,846.4,closed,-4.9,-0.5755
57,AREM_minute,long,2024-05-10 15:26:00,2024-05-13 09:15:00,1075.0,1064.25,1,1075.0,1064.25,closed,-10.75,-1.0
64,AREM_minute,long,2024-05-22 15:26:00,2024-05-23 09:15:00,1143.0,1138.2,1,1143.0,1138.2,closed,-4.8,-0.4197
68,AREM_minute,long,2024-05-29 15:26:00,2024-05-30 09:15:00,1216.0,1216.51,1,1216.0,1216.51,closed,0.51,0.0421
70,AREM_minute,long,2024-05-30 15:26:00,2024-05-31 09:15:00,1191.55,1203.0,1,1191.55,1203.0,closed,11.45,0.9609
73,AREM_minute,long,2024-06-06 15:26:00,2024-06-07 09:15:00,1284.25,1277.0,1,1284.25,1277.0,closed,-7.25,-0.5645
77,AREM_minute,long,2024-06-12 15:26:00,2024-06-13 09:17:00,1345.45,1346.94,1,1345.45,1346.94,closed,1.49,0.1111
81,AREM_minute,long,2024-06-18 15:26:00,2024-06-19 09:15:00,1376.4,1381.9,1,1376.4,1381.9,closed,5.5,0.3996
90,AREM_minute,long,2024-07-02 15:26:00,2024-07-03 09:19:00,1690.1,1680.77,1,1690.1,1680.77,closed,-9.33,-0.5519
106,AREM_minute,long,2024-07-31 15:26:00,2024-08-01 09:19:00,1628.25,1648.3,1,1628.25,1648.3,closed,20.05,1.2314
107,AREM_minute,long,2024-08-01 15:26:00,2024-08-02 09:15:00,1606.5,1590.44,1,1606.5,1590.44,closed,-16.07,-1.0
148,AREM_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,1414.9,1379.95,1,1414.9,1379.95,closed,-34.95,-2.4701
155,AREM_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,1378.9,1397.45,1,1378.9,1397.45,closed,18.55,1.3453
160,AREM_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,1395.0,1397.05,1,1395.0,1397.05,closed,2.05,0.147
163,AREM_minute,long,2024-10-17 15:26:00,2024-10-18 09:15:00,1374.45,1364.22,1,1374.45,1364.22,closed,-10.23,-0.7443
167,AREM_minute,long,2024-10-22 15:26:00,2024-10-23 09:15:00,1263.75,1262.7,1,1263.75,1262.7,closed,-1.05,-0.0834
174,AREM_minute,long,2024-10-29 15:26:00,2024-10-30 09:15:00,1332.35,1328.58,1,1332.35,1328.58,closed,-3.77,-0.283
175,AREM_minute,long,2024-10-30 15:26:00,2024-10-31 09:15:00,1361.05,1347.44,1,1361.05,1347.44,closed,-13.61,-1.0
176,AREM_minute,long,2024-10-31 15:26:00,2024-11-01 18:00:00,1393.3,1400.8,1,1393.3,1400.8,closed,7.5,0.5383
179,AREM_minute,long,2024-11-05 15:26:00,2024-11-06 09:15:00,1321.0,1327.99,1,1321.0,1327.99,closed,6.99,0.5288
184,AREM_minute,long,2024-11-08 15:26:00,2024-11-11 09:15:00,1301.7,1291.55,1,1301.7,1291.55,closed,-10.15,-0.7794
209,AREM_minute,long,2024-12-26 15:26:00,2024-12-27 09:15:00,1209.5,1208.1,1,1209.5,1208.1,closed,-1.4,-0.116
