,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,BRIGADE_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,973.95,975.25,1,973.95,975.25,closed,1.3,0.1335
3,BRIGADE_minute,long,2024-01-20 15:26:00,2024-01-23 09:17:00,983.25,973.42,1,983.25,973.42,closed,-9.83,-1.0
5,BRIGADE_minute,long,2024-01-23 15:26:00,2024-01-24 09:15:00,938.0,928.62,1,938.0,928.62,closed,-9.38,-1.0
22,BRIGADE_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,984.9,999.75,1,984.9,999.75,closed,14.85,1.5078
24,BRIGADE_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,1005.7,998.55,1,1005.7,998.55,closed,-7.15,-0.7109
28,BRIGADE_minute,long,2024-03-01 15:26:00,2024-03-02 09:15:00,997.35,999.55,1,997.35,999.55,closed,2.2,0.2209
34,BRIGADE_minute,long,2024-03-05 15:26:00,2024-03-06 09:16:00,975.0,975.2,1,975.0,975.2,closed,0.2,0.0205
56,BRIGADE_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,1002.1,952.0,1,1002.1,952.0,closed,-50.1,-4.9995
64,BRIGADE_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,979.5,1004.1,1,979.5,1004.1,closed,24.6,2.5115
70,BRIGADE_minute,long,2024-04-26 15:26:00,2024-04-29 09:15:00,1020.0,1025.1,1,1020.0,1025.1,closed,5.1,0.4996
75,BRIGADE_minute,long,2024-05-08 15:26:00,2024-05-09 09:15:00,1109.85,1109.9,1,1109.85,1109.9,closed,0.05,0.0045
80,BRIGADE_minute,long,2024-05-15 15:26:00,2024-05-16 09:15:00,1085.35,1092.85,1,1085.35,1092.85,closed,7.5,0.691
93,BRIGADE_minute,long,2024-06-05 15:26:00,2024-06-06 09:15:00,1210.0,1227.45,1,1210.0,1227.45,closed,17.45,1.4421
107,BRIGADE_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,1355.9,1342.94,1,1355.9,1342.94,closed,-12.97,-0.9562
108,BRIGADE_minute,long,2024-06-24 15:26:00,2024-06-25 09:15:00,1440.6,1438.57,1,1440.6,1438.57,closed,-2.03,-0.141
115,BRIGADE_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,1348.95,1299.75,1,1348.95,1299.75,closed,-49.2,-3.6473
123,BRIGADE_minute,long,2024-07-18 15:26:00,2024-07-19 09:15:00,1278.05,1269.18,1,1278.05,1269.18,closed,-8.87,-0.694
162,BRIGADE_minute,long,2024-08-30 15:26:00,2024-09-02 09:15:00,1208.0,1216.71,1,1208.0,1216.71,closed,8.71,0.721
167,BRIGADE_minute,long,2024-09-03 15:26:00,2024-09-04 09:15:00,1247.15,1226.4,1,1247.15,1226.4,closed,-20.75,-1.6638
190,BRIGADE_minute,long,2024-10-03 15:26:00,2024-10-04 15:29:00,1370.05,1370.75,1,1370.05,1370.75,closed,0.7,0.0511
197,BRIGADE_minute,long,2024-10-09 15:26:00,2024-10-10 09:15:00,1352.1,1359.0,1,1352.1,1359.0,closed,6.9,0.5103
198,BRIGADE_minute,long,2024-10-10 15:26:00,2024-10-11 09:17:00,1303.75,1303.83,1,1303.75,1303.83,closed,0.08,0.0061
204,BRIGADE_minute,long,2024-10-11 15:26:00,2024-10-14 09:15:00,1295.6,1282.64,1,1295.6,1282.64,closed,-12.96,-1.0
222,BRIGADE_minute,long,2024-11-25 15:26:00,2024-11-26 09:15:00,1255.0,1240.2,1,1255.0,1240.2,closed,-14.8,-1.1793
228,BRIGADE_minute,long,2024-11-28 15:26:00,2024-11-29 09:15:00,1232.25,1225.57,1,1232.25,1225.57,closed,-6.68,-0.5421
247,BRIGADE_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,1247.0,1246.0,1,1247.0,1246.0,closed,-1.0,-0.0802
