,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,EMAMILTD_minute,long,2024-01-20 15:26:00,2024-01-23 09:16:00,513.5,508.36,1,513.5,508.36,closed,-5.13,-1.0
29,EMAMILTD_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,444.1,439.66,1,444.1,439.66,closed,-4.44,-1.0
32,EMAMILTD_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,425.0,420.75,1,425.0,420.75,closed,-4.25,-1.0
34,EMAMILTD_minute,long,2024-03-18 15:26:00,2024-03-19 09:15:00,427.05,425.75,1,427.05,425.75,closed,-1.3,-0.3045
47,EMAMILTD_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,454.6,450.05,1,454.6,450.05,closed,-4.55,-1.0
58,EMAMILTD_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,486.2,495.0,1,486.2,495.0,closed,8.8,1.81
61,EMAMILTD_minute,long,2024-05-08 15:26:00,2024-05-09 09:15:00,535.55,531.98,1,535.55,531.98,closed,-3.57,-0.6673
76,EMAMILTD_minute,long,2024-06-10 15:26:00,2024-06-11 09:15:00,737.0,729.63,1,737.0,729.63,closed,-7.37,-1.0
77,EMAMILTD_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,710.15,705.7,1,710.15,705.7,closed,-4.45,-0.6266
80,EMAMILTD_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,718.0,700.0,1,718.0,700.0,closed,-18.0,-2.507
88,EMAMILTD_minute,long,2024-06-27 15:26:00,2024-06-28 09:15:00,689.0,693.94,1,689.0,693.94,closed,4.94,0.7171
94,EMAMILTD_minute,long,2024-07-02 15:26:00,2024-07-03 09:15:00,724.95,723.24,1,724.95,723.24,closed,-1.71,-0.2353
102,EMAMILTD_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,765.8,772.75,1,765.8,772.75,closed,6.95,0.9075
104,EMAMILTD_minute,long,2024-07-22 15:26:00,2024-07-23 09:15:00,802.0,798.88,1,802.0,798.88,closed,-3.12,-0.389
113,EMAMILTD_minute,long,2024-07-31 15:26:00,2024-08-01 09:15:00,818.85,820.85,1,818.85,820.85,closed,2.0,0.2442
116,EMAMILTD_minute,long,2024-08-07 15:26:00,2024-08-08 09:17:00,790.0,783.04,1,790.0,783.04,closed,-6.96,-0.8809
124,EMAMILTD_minute,long,2024-08-19 15:26:00,2024-08-20 09:15:00,806.05,811.6,1,806.05,811.6,closed,5.55,0.6888
128,EMAMILTD_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,813.7,811.7,1,813.7,811.7,closed,-2.0,-0.2458
147,EMAMILTD_minute,long,2024-09-23 15:26:00,2024-09-24 09:16:00,765.0,761.8,1,765.0,761.8,closed,-3.2,-0.4176
156,EMAMILTD_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,757.55,738.5,1,757.55,738.5,closed,-19.05,-2.5147
158,EMAMILTD_minute,long,2024-10-03 15:26:00,2024-10-04 09:15:00,745.5,740.1,1,745.5,740.1,closed,-5.4,-0.7243
164,EMAMILTD_minute,long,2024-10-09 15:26:00,2024-10-10 09:15:00,754.0,750.72,1,754.0,750.72,closed,-3.28,-0.4354
168,EMAMILTD_minute,long,2024-10-14 15:26:00,2024-10-15 09:18:00,725.4,721.66,1,725.4,721.66,closed,-3.74,-0.5155
170,EMAMILTD_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,739.4,736.4,1,739.4,736.4,closed,-3.0,-0.4057
179,EMAMILTD_minute,long,2024-10-28 15:26:00,2024-10-29 09:16:00,653.9,649.19,1,653.9,649.19,closed,-4.71,-0.7199
190,EMAMILTD_minute,long,2024-11-05 15:26:00,2024-11-06 15:29:00,695.75,688.0,1,695.75,688.0,closed,-7.75,-1.1139
194,EMAMILTD_minute,long,2024-11-06 15:26:00,2024-11-07 09:15:00,688.0,682.7,1,688.0,682.7,closed,-5.3,-0.7698
206,EMAMILTD_minute,long,2024-11-13 15:26:00,2024-11-14 09:15:00,655.75,648.1,1,655.75,648.1,closed,-7.65,-1.1666
210,EMAMILTD_minute,long,2024-11-19 15:26:00,2024-11-21 09:15:00,646.75,640.28,1,646.75,640.28,closed,-6.47,-1.0
215,EMAMILTD_minute,long,2024-11-25 15:26:00,2024-11-26 09:15:00,678.1,686.02,1,678.1,686.02,closed,7.92,1.168
230,EMAMILTD_minute,long,2024-12-10 15:26:00,2024-12-11 09:15:00,643.05,639.54,1,643.05,639.54,closed,-3.51,-0.5458
241,EMAMILTD_minute,long,2024-12-23 15:26:00,2024-12-24 09:15:00,567.05,568.0,1,567.05,568.0,closed,0.95,0.1675
246,EMAMILTD_minute,long,2024-12-27 15:26:00,2024-12-30 09:15:00,590.65,591.92,1,590.65,591.92,closed,1.27,0.2152
