,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,GRASIM_minute,long,2024-01-25 15:26:00,2024-01-29 09:15:00,2080.0,2078.9,1,2080.0,2078.9,closed,-1.1,-0.0528
3,GRASIM_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,2111.95,2124.55,1,2111.95,2124.55,closed,12.6,0.5966
37,GRASIM_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,2185.45,2144.15,1,2185.45,2144.15,closed,-41.3,-1.8898
46,GRASIM_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,2178.5,2204.95,1,2178.5,2204.95,closed,26.45,1.2141
62,GRASIM_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,2372.0,2338.45,1,2372.0,2338.45,closed,-33.55,-1.4144
72,GRASIM_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,2374.1,2352.2,1,2374.1,2352.2,closed,-21.9,-0.9225
106,GRASIM_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,2555.9,2628.0,1,2555.9,2628.0,closed,72.1,2.8209
119,GRASIM_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,2746.85,2783.8,1,2746.85,2783.8,closed,36.95,1.3452
140,GRASIM_minute,long,2024-08-23 15:26:00,2024-08-26 09:16:00,2748.1,2735.57,1,2748.1,2735.57,closed,-12.53,-0.456
143,GRASIM_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,2704.9,2705.55,1,2704.9,2705.55,closed,0.65,0.024
154,GRASIM_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,2682.5,2753.25,1,2682.5,2753.25,closed,70.75,2.6375
189,GRASIM_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,2718.0,2650.65,1,2718.0,2650.65,closed,-67.35,-2.4779
199,GRASIM_minute,long,2024-10-31 15:26:00,2024-11-01 18:01:00,2700.3,2691.81,1,2700.3,2691.81,closed,-8.49,-0.3144
211,GRASIM_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,2637.0,2613.5,1,2637.0,2613.5,closed,-23.5,-0.8912
