,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,JKBANK_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,144.15,148.25,1,144.15,148.25,closed,4.1,2.8443
16,JKBANK_minute,long,2024-02-19 15:26:00,2024-02-20 09:15:00,144.15,142.71,1,144.15,142.71,closed,-1.44,-1.0
19,JKBANK_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,142.75,139.3,1,142.75,139.3,closed,-3.45,-2.4168
22,JKBANK_minute,long,2024-02-23 15:26:00,2024-02-26 09:16:00,143.85,143.45,1,143.85,143.45,closed,-0.4,-0.2774
24,JKBANK_minute,long,2024-02-27 15:26:00,2024-02-28 09:18:00,141.95,141.9,1,141.95,141.9,closed,-0.05,-0.0352
35,JKBANK_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,129.7,130.48,1,129.7,130.48,closed,0.78,0.6029
40,JKBANK_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,132.45,133.65,1,132.45,133.65,closed,1.2,0.906
42,JKBANK_minute,long,2024-03-20 15:26:00,2024-03-21 09:15:00,133.55,132.0,1,133.55,132.0,closed,-1.55,-1.1606
46,JKBANK_minute,long,2024-03-21 15:26:00,2024-03-22 09:15:00,130.25,130.15,1,130.25,130.15,closed,-0.1,-0.0768
51,JKBANK_minute,long,2024-04-02 15:26:00,2024-04-03 09:15:00,136.95,135.58,1,136.95,135.58,closed,-1.37,-1.0
52,JKBANK_minute,long,2024-04-04 15:26:00,2024-04-05 09:15:00,138.05,137.21,1,138.05,137.21,closed,-0.84,-0.6056
78,JKBANK_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,129.65,129.1,1,129.65,129.1,closed,-0.55,-0.4242
79,JKBANK_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,129.4,129.9,1,129.4,129.9,closed,0.5,0.3864
81,JKBANK_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,130.2,131.4,1,130.2,131.4,closed,1.2,0.9217
83,JKBANK_minute,long,2024-05-28 15:26:00,2024-05-29 09:15:00,129.2,127.91,1,129.2,127.91,closed,-1.29,-1.0
86,JKBANK_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,133.35,135.14,1,133.35,135.14,closed,1.78,1.3386
100,JKBANK_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,117.91,117.0,1,117.91,117.0,closed,-0.91,-0.7718
131,JKBANK_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,111.14,109.98,1,111.14,109.98,closed,-1.16,-1.0437
134,JKBANK_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,109.51,108.21,1,109.51,108.21,closed,-1.3,-1.1871
138,JKBANK_minute,long,2024-08-19 15:26:00,2024-08-20 09:17:00,111.18,110.78,1,111.18,110.78,closed,-0.4,-0.3589
140,JKBANK_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,111.4,111.13,1,111.4,111.13,closed,-0.27,-0.2424
147,JKBANK_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,104.69,106.11,1,104.69,106.11,closed,1.42,1.3564
177,JKBANK_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,96.95,97.07,1,96.95,97.07,closed,0.12,0.1238
198,JKBANK_minute,long,2024-11-14 15:26:00,2024-11-18 09:17:00,95.0,95.9,1,95.0,95.9,closed,0.9,0.9487
