,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
9,LICHSGFIN_minute,long,2024-02-09 15:26:00,2024-02-12 09:16:00,651.9,646.96,1,651.9,646.96,closed,-4.93,-0.757
47,LICHSGFIN_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,668.9,672.05,1,668.9,672.05,closed,3.15,0.4709
50,LICHSGFIN_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,669.65,654.3,1,669.65,654.3,closed,-15.35,-2.2922
66,LICHSGFIN_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,631.55,634.55,1,631.55,634.55,closed,3.0,0.475
74,LICHSGFIN_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,733.85,748.5,1,733.85,748.5,closed,14.65,1.9963
86,LICHSGFIN_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,793.05,778.2,1,793.05,778.2,closed,-14.85,-1.8725
116,LICHSGFIN_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,677.85,675.9,1,677.85,675.9,closed,-1.95,-0.2877
119,LICHSGFIN_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,675.05,675.15,1,675.05,675.15,closed,0.1,0.0148
148,LICHSGFIN_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,618.5,617.55,1,618.5,617.55,closed,-0.95,-0.1536
152,LICHSGFIN_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,616.9,620.05,1,616.9,620.05,closed,3.15,0.5106
167,LICHSGFIN_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,626.7,616.2,1,626.7,616.2,closed,-10.5,-1.6754
169,LICHSGFIN_minute,long,2024-11-12 15:26:00,2024-11-13 09:15:00,618.5,612.31,1,618.5,612.31,closed,-6.19,-1.0
173,LICHSGFIN_minute,long,2024-11-14 15:26:00,2024-11-18 09:15:00,609.95,608.15,1,609.95,608.15,closed,-1.8,-0.2951
181,LICHSGFIN_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,627.2,634.7,1,627.2,634.7,closed,7.5,1.1958
199,LICHSGFIN_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,582.95,584.05,1,582.95,584.05,closed,1.1,0.1887
