,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,MANAPPURAM_minute,long,2024-01-20 15:26:00,2024-01-23 09:15:00,176.15,176.05,1,176.15,176.05,closed,-0.1,-0.0568
8,MANAPPURAM_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,186.95,190.25,1,186.95,190.25,closed,3.3,1.7652
16,MANAPPURAM_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,182.65,178.15,1,182.65,178.15,closed,-4.5,-2.4637
23,MANAPPURAM_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,179.45,171.65,1,179.45,171.65,closed,-7.8,-4.3466
27,MANAPPURAM_minute,long,2024-02-29 15:26:00,2024-03-01 09:18:00,176.85,177.9,1,176.85,177.9,closed,1.05,0.5954
37,MANAPPURAM_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,166.7,166.8,1,166.7,166.8,closed,0.1,0.06
49,MANAPPURAM_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,182.6,183.7,1,182.6,183.7,closed,1.1,0.6024
51,MANAPPURAM_minute,long,2024-04-04 15:26:00,2024-04-05 09:15:00,194.0,193.54,1,194.0,193.54,closed,-0.46,-0.2345
55,MANAPPURAM_minute,long,2024-04-05 15:26:00,2024-04-08 09:16:00,192.15,193.54,1,192.15,193.54,closed,1.39,0.726
78,MANAPPURAM_minute,long,2024-05-13 15:26:00,2024-05-14 09:15:00,174.2,175.03,1,174.2,175.03,closed,0.83,0.4776
81,MANAPPURAM_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,176.15,179.35,1,176.15,179.35,closed,3.2,1.8166
87,MANAPPURAM_minute,long,2024-05-29 15:26:00,2024-05-30 15:29:00,171.8,168.4,1,171.8,168.4,closed,-3.4,-1.979
90,MANAPPURAM_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,169.3,173.84,1,169.3,173.84,closed,4.54,2.684
92,MANAPPURAM_minute,long,2024-06-07 15:26:00,2024-06-10 09:15:00,179.25,177.46,1,179.25,177.46,closed,-1.79,-1.0
123,MANAPPURAM_minute,long,2024-08-01 15:26:00,2024-08-02 09:15:00,214.44,210.65,1,214.44,210.65,closed,-3.79,-1.7674
140,MANAPPURAM_minute,long,2024-08-21 15:26:00,2024-08-22 09:15:00,212.1,213.75,1,212.1,213.75,closed,1.65,0.7779
143,MANAPPURAM_minute,long,2024-08-23 15:26:00,2024-08-26 09:16:00,215.4,214.37,1,215.4,214.37,closed,-1.03,-0.476
202,MANAPPURAM_minute,long,2024-10-31 15:26:00,2024-11-01 18:00:00,157.5,158.4,1,157.5,158.4,closed,0.9,0.5714
206,MANAPPURAM_minute,long,2024-11-07 15:26:00,2024-11-08 09:15:00,153.91,153.45,1,153.91,153.45,closed,-0.46,-0.2989
209,MANAPPURAM_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,156.23,157.37,1,156.23,157.37,closed,1.14,0.7297
211,MANAPPURAM_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,157.52,160.25,1,157.52,160.25,closed,2.73,1.7331
216,MANAPPURAM_minute,long,2024-11-18 15:26:00,2024-11-19 09:16:00,154.13,154.7,1,154.13,154.7,closed,0.57,0.3681
224,MANAPPURAM_minute,long,2024-11-29 15:26:00,2024-12-02 09:19:00,156.45,155.31,1,156.45,155.31,closed,-1.14,-0.7279
232,MANAPPURAM_minute,long,2024-12-04 15:26:00,2024-12-05 09:15:00,169.76,169.24,1,169.76,169.24,closed,-0.52,-0.306
