,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
15,NUVAMA_minute,long,2024-02-28 15:26:00,2024-02-29 09:15:00,4115.55,4074.39,1,4115.55,4074.39,closed,-41.16,-1.0
18,NUVAMA_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,4140.0,4150.0,1,4140.0,4150.0,closed,10.0,0.2415
32,NUVAMA_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,4100.0,4163.2,1,4100.0,4163.2,closed,63.2,1.5414
42,NUVAMA_minute,long,2024-03-27 15:26:00,2024-03-28 09:15:00,4816.9,4740.0,1,4816.9,4740.0,closed,-76.9,-1.5965
45,NUVAMA_minute,long,2024-04-01 15:26:00,2024-04-02 09:15:00,4635.0,4702.0,1,4635.0,4702.0,closed,67.0,1.4455
51,NUVAMA_minute,long,2024-04-10 15:26:00,2024-04-12 09:15:00,5149.05,5125.48,1,5149.05,5125.48,closed,-23.57,-0.4578
72,NUVAMA_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,4770.0,4783.0,1,4770.0,4783.0,closed,13.0,0.2725
74,NUVAMA_minute,long,2024-05-21 15:26:00,2024-05-22 09:15:00,4664.3,4679.23,1,4664.3,4679.23,closed,14.93,0.3202
85,NUVAMA_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,4834.9,5049.0,1,4834.9,5049.0,closed,214.1,4.4282
90,NUVAMA_minute,long,2024-06-07 15:26:00,2024-06-10 09:16:00,5200.0,5167.45,1,5200.0,5167.45,closed,-32.55,-0.6259
122,NUVAMA_minute,long,2024-07-24 15:26:00,2024-07-25 09:15:00,5290.0,5237.1,1,5290.0,5237.1,closed,-52.9,-1.0
136,NUVAMA_minute,long,2024-08-13 15:26:00,2024-08-14 09:15:00,6145.65,6146.71,1,6145.65,6146.71,closed,1.06,0.0173
157,NUVAMA_minute,long,2024-08-30 15:26:00,2024-09-02 09:15:00,6435.0,6494.35,1,6435.0,6494.35,closed,59.35,0.9223
182,NUVAMA_minute,long,2024-09-26 15:26:00,2024-09-27 09:15:00,6840.0,6902.95,1,6840.0,6902.95,closed,62.95,0.9203
197,NUVAMA_minute,long,2024-10-15 15:26:00,2024-10-16 09:15:00,6907.85,6865.2,1,6907.85,6865.2,closed,-42.65,-0.6173
221,NUVAMA_minute,long,2024-11-21 15:26:00,2024-11-22 09:15:00,6499.95,6499.95,1,6499.95,6499.95,closed,0.0,0.0
228,NUVAMA_minute,long,2024-11-29 15:26:00,2024-12-02 09:15:00,6579.9,6590.15,1,6579.9,6590.15,closed,10.25,0.1558
234,NUVAMA_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,7361.9,7292.4,1,7361.9,7292.4,closed,-69.5,-0.944
