,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,OFSS_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,6283.5,6196.5,1,6283.5,6196.5,closed,-87.0,-1.3846
9,OFSS_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,6148.5,6176.0,1,6148.5,6176.0,closed,27.5,0.4473
14,OFSS_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,6762.0,6744.0,1,6762.0,6744.0,closed,-18.0,-0.2662
20,OFSS_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,7373.0,7335.5,1,7373.0,7335.5,closed,-37.5,-0.5086
22,OFSS_minute,long,2024-02-21 15:26:00,2024-02-22 09:15:00,7286.5,7276.0,1,7286.5,7276.0,closed,-10.49,-0.144
28,OFSS_minute,long,2024-02-27 15:26:00,2024-02-28 09:15:00,7376.5,7346.3,1,7376.5,7346.3,closed,-30.2,-0.4095
31,OFSS_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,7258.5,7284.5,1,7258.5,7284.5,closed,26.0,0.3582
81,OFSS_minute,long,2024-06-27 15:26:00,2024-06-28 09:16:00,9578.0,9520.33,1,9578.0,9520.33,closed,-57.67,-0.6021
89,OFSS_minute,long,2024-07-10 15:26:00,2024-07-11 09:15:00,9935.5,9918.81,1,9935.5,9918.81,closed,-16.69,-0.168
100,OFSS_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,10771.0,10679.5,1,10771.0,10679.5,closed,-91.5,-0.8495
124,OFSS_minute,long,2024-08-30 15:26:00,2024-09-02 09:15:00,10532.0,10536.5,1,10532.0,10536.5,closed,4.5,0.0427
127,OFSS_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,10919.0,10522.5,1,10919.0,10522.5,closed,-396.5,-3.6313
148,OFSS_minute,long,2024-09-27 15:26:00,2024-09-30 09:15:00,11065.0,10954.35,1,11065.0,10954.35,closed,-110.65,-1.0
159,OFSS_minute,long,2024-10-10 15:26:00,2024-10-11 09:15:00,11158.0,11069.68,1,11158.0,11069.68,closed,-88.32,-0.7915
176,OFSS_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,11223.5,11057.5,1,11223.5,11057.5,closed,-166.0,-1.479
207,OFSS_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,11955.5,11681.0,1,11955.5,11681.0,closed,-274.5,-2.296
