,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,PFIZER_minute,long,2024-02-09 15:26:00,2024-02-12 09:15:00,4378.45,4334.67,1,4378.45,4334.67,closed,-43.78,-1.0
11,PFIZER_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,4521.85,4543.0,1,4521.85,4543.0,closed,21.15,0.4677
28,PFIZER_minute,long,2024-03-15 15:26:00,2024-03-18 09:18:00,4398.0,4354.71,1,4398.0,4354.71,closed,-43.29,-0.9842
31,PFIZER_minute,long,2024-03-20 15:26:00,2024-03-21 09:15:00,4398.25,4365.95,1,4398.25,4365.95,closed,-32.3,-0.7344
40,PFIZER_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,4233.65,4197.25,1,4233.65,4197.25,closed,-36.4,-0.8598
50,PFIZER_minute,long,2024-05-09 15:26:00,2024-05-10 09:18:00,4271.1,4255.02,1,4271.1,4255.02,closed,-16.08,-0.3765
79,PFIZER_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,4621.05,4626.15,1,4621.05,4626.15,closed,5.1,0.1104
97,PFIZER_minute,long,2024-08-08 15:26:00,2024-08-09 09:15:00,5844.6,5840.55,1,5844.6,5840.55,closed,-4.05,-0.0693
100,PFIZER_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,5775.5,5840.0,1,5775.5,5840.0,closed,64.5,1.1168
110,PFIZER_minute,long,2024-08-30 15:26:00,2024-09-02 09:16:00,6099.0,6085.0,1,6099.0,6085.0,closed,-14.0,-0.2295
135,PFIZER_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,5555.0,5479.95,1,5555.0,5479.95,closed,-75.05,-1.351
146,PFIZER_minute,long,2024-10-17 15:26:00,2024-10-18 09:15:00,5797.55,5730.0,1,5797.55,5730.0,closed,-67.55,-1.1651
153,PFIZER_minute,long,2024-10-28 15:26:00,2024-10-29 09:16:00,5265.05,5289.57,1,5265.05,5289.57,closed,24.52,0.4657
190,PFIZER_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,5002.0,5015.0,1,5002.0,5015.0,closed,13.0,0.2599
