,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,PNCINFRA_minute,long,2024-02-05 15:26:00,2024-02-06 09:15:00,444.8,441.94,1,444.8,441.94,closed,-2.86,-0.6439
14,PNCINFRA_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,401.5,396.95,1,401.5,396.95,closed,-4.55,-1.1333
29,PNCINFRA_minute,long,2024-03-05 15:26:00,2024-03-06 09:15:00,466.75,462.08,1,466.75,462.08,closed,-4.67,-1.0
30,PNCINFRA_minute,long,2024-03-06 15:26:00,2024-03-07 09:15:00,448.05,443.57,1,448.05,443.57,closed,-4.48,-1.0
48,PNCINFRA_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,432.65,428.9,1,432.65,428.9,closed,-3.75,-0.8668
55,PNCINFRA_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,443.95,439.51,1,443.95,439.51,closed,-4.44,-1.0
66,PNCINFRA_minute,long,2024-04-23 15:26:00,2024-04-24 09:15:00,437.75,439.4,1,437.75,439.4,closed,1.65,0.3769
70,PNCINFRA_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,449.55,451.85,1,449.55,451.85,closed,2.3,0.5116
77,PNCINFRA_minute,long,2024-05-06 15:26:00,2024-05-07 15:29:00,432.05,423.0,1,432.05,423.0,closed,-9.05,-2.0947
96,PNCINFRA_minute,long,2024-05-23 15:26:00,2024-05-24 09:15:00,539.35,531.0,1,539.35,531.0,closed,-8.35,-1.5482
97,PNCINFRA_minute,long,2024-05-24 15:26:00,2024-05-27 09:15:00,564.7,569.05,1,564.7,569.05,closed,4.35,0.7707
98,PNCINFRA_minute,long,2024-05-27 15:26:00,2024-05-28 09:15:00,527.65,527.62,1,527.65,527.62,closed,-0.03,-0.0056
105,PNCINFRA_minute,long,2024-06-10 15:26:00,2024-06-11 09:15:00,522.0,510.0,1,522.0,510.0,closed,-12.0,-2.2989
113,PNCINFRA_minute,long,2024-07-08 15:26:00,2024-07-09 09:16:00,509.4,515.9,1,509.4,515.9,closed,6.5,1.276
152,PNCINFRA_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,464.5,468.05,1,464.5,468.05,closed,3.55,0.7643
206,PNCINFRA_minute,long,2024-10-04 15:26:00,2024-10-07 09:17:00,426.55,425.2,1,426.55,425.2,closed,-1.35,-0.3153
212,PNCINFRA_minute,long,2024-10-09 15:26:00,2024-10-10 09:15:00,430.0,450.45,1,430.0,450.45,closed,20.45,4.7558
216,PNCINFRA_minute,long,2024-10-10 15:26:00,2024-10-11 09:15:00,443.9,442.48,1,443.9,442.48,closed,-1.42,-0.3198
218,PNCINFRA_minute,long,2024-10-11 15:26:00,2024-10-14 09:15:00,440.65,453.42,1,440.65,453.42,closed,12.77,2.898
229,PNCINFRA_minute,long,2024-10-17 15:26:00,2024-10-18 09:15:00,459.5,454.9,1,459.5,454.9,closed,-4.6,-1.0
230,PNCINFRA_minute,long,2024-10-18 15:26:00,2024-10-21 09:15:00,459.8,435.0,1,459.8,435.0,closed,-24.8,-5.3936
239,PNCINFRA_minute,long,2024-10-25 15:26:00,2024-10-28 09:17:00,310.1,309.47,1,310.1,309.47,closed,-0.63,-0.2019
242,PNCINFRA_minute,long,2024-10-28 15:26:00,2024-10-29 09:17:00,318.65,317.64,1,318.65,317.64,closed,-1.01,-0.3165
251,PNCINFRA_minute,long,2024-11-11 15:26:00,2024-11-12 09:15:00,322.55,324.52,1,322.55,324.52,closed,1.97,0.6114
256,PNCINFRA_minute,long,2024-11-18 15:26:00,2024-11-19 09:15:00,306.25,303.0,1,306.25,303.0,closed,-3.25,-1.0612
290,PNCINFRA_minute,long,2024-12-12 15:26:00,2024-12-13 09:18:00,333.8,330.46,1,333.8,330.46,closed,-3.34,-1.0
291,PNCINFRA_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,328.5,335.0,1,328.5,335.0,closed,6.5,1.9787
296,PNCINFRA_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,320.25,311.4,1,320.25,311.4,closed,-8.85,-2.7635
