,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
6,RTNINDIA_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,76.6,78.5,1,76.6,78.5,closed,1.9,2.4804
9,RTNINDIA_minute,long,2024-02-16 15:26:00,2024-02-19 09:16:00,85.7,85.2,1,85.7,85.2,closed,-0.5,-0.5834
16,RTNINDIA_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,82.3,80.6,1,82.3,80.6,closed,-1.7,-2.0656
19,RTNINDIA_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,84.5,83.75,1,84.5,83.75,closed,-0.75,-0.8876
33,RTNINDIA_minute,long,2024-03-22 15:26:00,2024-03-26 09:15:00,70.9,70.93,1,70.9,70.93,closed,0.03,0.0472
45,RTNINDIA_minute,long,2024-04-05 15:26:00,2024-04-08 09:15:00,76.8,76.13,1,76.8,76.13,closed,-0.67,-0.8711
51,RTNINDIA_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,73.0,71.0,1,73.0,71.0,closed,-2.0,-2.7397
57,RTNINDIA_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,75.25,75.0,1,75.25,75.0,closed,-0.25,-0.3322
73,RTNINDIA_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,76.65,76.15,1,76.65,76.15,closed,-0.5,-0.6523
80,RTNINDIA_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,72.85,76.23,1,72.85,76.23,closed,3.38,4.6397
85,RTNINDIA_minute,long,2024-06-06 15:26:00,2024-06-07 09:15:00,78.4,78.11,1,78.4,78.11,closed,-0.29,-0.3686
101,RTNINDIA_minute,long,2024-06-28 15:26:00,2024-07-01 09:15:00,84.97,84.12,1,84.97,84.12,closed,-0.85,-1.0
125,RTNINDIA_minute,long,2024-07-24 15:26:00,2024-07-25 09:15:00,76.26,75.0,1,76.26,75.0,closed,-1.26,-1.6522
127,RTNINDIA_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,79.66,78.28,1,79.66,78.28,closed,-1.38,-1.7324
140,RTNINDIA_minute,long,2024-08-16 15:26:00,2024-08-19 09:15:00,79.95,79.96,1,79.95,79.96,closed,0.01,0.0154
149,RTNINDIA_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,82.83,81.62,1,82.83,81.62,closed,-1.21,-1.4608
161,RTNINDIA_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,77.56,79.43,1,77.56,79.43,closed,1.87,2.411
173,RTNINDIA_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,79.05,80.5,1,79.05,80.5,closed,1.45,1.8343
176,RTNINDIA_minute,long,2024-09-20 15:26:00,2024-09-23 09:18:00,80.89,80.64,1,80.89,80.64,closed,-0.25,-0.3146
192,RTNINDIA_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,73.19,74.02,1,73.19,74.02,closed,0.83,1.134
203,RTNINDIA_minute,long,2024-10-25 15:26:00,2024-10-28 09:15:00,63.13,63.36,1,63.13,63.36,closed,0.23,0.3643
212,RTNINDIA_minute,long,2024-11-07 15:26:00,2024-11-08 09:17:00,71.13,70.89,1,71.13,70.89,closed,-0.24,-0.3319
218,RTNINDIA_minute,long,2024-11-11 15:26:00,2024-11-12 09:15:00,69.02,69.71,1,69.02,69.71,closed,0.69,0.9997
219,RTNINDIA_minute,long,2024-11-12 15:26:00,2024-11-13 09:15:00,67.75,64.5,1,67.75,64.5,closed,-3.25,-4.797
226,RTNINDIA_minute,long,2024-11-19 15:26:00,2024-11-21 09:15:00,63.48,62.9,1,63.48,62.9,closed,-0.58,-0.9064
229,RTNINDIA_minute,long,2024-11-22 15:26:00,2024-11-25 09:15:00,61.68,63.22,1,61.68,63.22,closed,1.54,2.499
232,RTNINDIA_minute,long,2024-11-26 15:26:00,2024-11-27 09:15:00,62.97,62.8,1,62.97,62.8,closed,-0.17,-0.27
246,RTNINDIA_minute,long,2024-12-05 15:26:00,2024-12-06 15:29:00,71.55,71.5,1,71.55,71.5,closed,-0.05,-0.0699
248,RTNINDIA_minute,long,2024-12-06 15:26:00,2024-12-09 15:29:00,71.46,71.79,1,71.46,71.79,closed,0.33,0.4618
253,RTNINDIA_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,69.76,69.77,1,69.76,69.77,closed,0.01,0.0143
257,RTNINDIA_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,68.61,67.19,1,68.61,67.19,closed,-1.42,-2.0697
