,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,SIGNATURE_minute,long,2024-01-19 15:26:00,2024-01-20 09:15:00,1128.0,1128.6,1,1128.0,1128.6,closed,0.6,0.0532
10,SIGNATURE_minute,long,2024-02-09 15:26:00,2024-02-12 09:15:00,1325.0,1319.95,1,1325.0,1319.95,closed,-5.05,-0.3811
16,SIGNATURE_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,1368.3,1362.9,1,1368.3,1362.9,closed,-5.4,-0.3947
22,SIGNATURE_minute,long,2024-02-21 15:26:00,2024-02-22 15:29:00,1340.5,1347.1,1,1340.5,1347.1,closed,6.6,0.4924
78,SIGNATURE_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,1292.2,1276.3,1,1292.2,1276.3,closed,-15.9,-1.2305
102,SIGNATURE_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,1402.55,1396.0,1,1402.55,1396.0,closed,-6.55,-0.467
173,SIGNATURE_minute,long,2024-09-20 15:26:00,2024-09-23 09:16:00,1526.05,1521.88,1,1526.05,1521.88,closed,-4.17,-0.2734
188,SIGNATURE_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,1616.65,1591.0,1,1616.65,1591.0,closed,-25.65,-1.5866
206,SIGNATURE_minute,long,2024-10-11 15:26:00,2024-10-14 09:19:00,1491.45,1498.12,1,1491.45,1498.12,closed,6.67,0.447
209,SIGNATURE_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,1511.35,1490.0,1,1511.35,1490.0,closed,-21.35,-1.4126
213,SIGNATURE_minute,long,2024-10-17 15:26:00,2024-10-18 09:15:00,1489.55,1474.65,1,1489.55,1474.65,closed,-14.9,-1.0
224,SIGNATURE_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,1379.9,1390.05,1,1379.9,1390.05,closed,10.15,0.7356
231,SIGNATURE_minute,long,2024-11-06 15:26:00,2024-11-07 09:15:00,1409.0,1394.91,1,1409.0,1394.91,closed,-14.09,-1.0
