,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
12,UJJIVANSFB_minute,long,2024-02-14 15:26:00,2024-02-15 09:15:00,55.2,56.0,1,55.2,56.0,closed,0.8,1.4493
29,UJJIVANSFB_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,46.85,46.93,1,46.85,46.93,closed,0.08,0.1622
33,UJJIVANSFB_minute,long,2024-04-02 15:26:00,2024-04-03 09:15:00,51.0,50.79,1,51.0,50.79,closed,-0.21,-0.4176
37,UJJIVANSFB_minute,long,2024-04-05 15:26:00,2024-04-08 09:15:00,55.95,56.13,1,55.95,56.13,closed,0.18,0.3271
44,UJJIVANSFB_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,54.45,53.8,1,54.45,53.8,closed,-0.65,-1.1938
56,UJJIVANSFB_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,55.8,54.4,1,55.8,54.4,closed,-1.4,-2.509
61,UJJIVANSFB_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,51.9,52.45,1,51.9,52.45,closed,0.55,1.0597
64,UJJIVANSFB_minute,long,2024-05-10 15:26:00,2024-05-13 09:15:00,53.3,52.77,1,53.3,52.77,closed,-0.53,-1.0
72,UJJIVANSFB_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,52.9,53.3,1,52.9,53.3,closed,0.4,0.7561
128,UJJIVANSFB_minute,long,2024-08-20 15:26:00,2024-08-21 09:15:00,43.54,43.26,1,43.54,43.26,closed,-0.28,-0.6362
169,UJJIVANSFB_minute,long,2024-09-19 15:26:00,2024-09-20 09:15:00,42.27,42.32,1,42.27,42.32,closed,0.05,0.1242
170,UJJIVANSFB_minute,long,2024-09-20 15:26:00,2024-09-23 09:15:00,43.72,43.0,1,43.72,43.0,closed,-0.72,-1.6468
202,UJJIVANSFB_minute,long,2024-10-31 15:26:00,2024-11-01 18:00:00,38.45,38.36,1,38.45,38.36,closed,-0.09,-0.2276
208,UJJIVANSFB_minute,long,2024-11-05 15:26:00,2024-11-06 15:29:00,38.09,38.38,1,38.09,38.38,closed,0.29,0.7614
223,UJJIVANSFB_minute,long,2024-11-21 15:26:00,2024-11-22 09:15:00,32.74,32.42,1,32.74,32.42,closed,-0.32,-0.9698
230,UJJIVANSFB_minute,long,2024-11-26 15:26:00,2024-11-27 09:15:00,33.5,33.21,1,33.5,33.21,closed,-0.29,-0.8522
231,UJJIVANSFB_minute,long,2024-11-27 15:26:00,2024-11-28 09:15:00,33.6,33.6,1,33.6,33.6,closed,0.0,0.0
236,UJJIVANSFB_minute,long,2024-12-02 15:26:00,2024-12-03 09:15:00,34.58,34.6,1,34.58,34.6,closed,0.02,0.0593
250,UJJIVANSFB_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,35.03,34.5,1,35.03,34.5,closed,-0.53,-1.513
