,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,ZYDUSLIFE_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,761.05,758.2,1,761.05,758.2,closed,-2.85,-0.3745
5,ZYDUSLIFE_minute,long,2024-02-01 15:26:00,2024-02-02 09:19:00,760.15,754.33,1,760.15,754.33,closed,-5.82,-0.7656
6,ZYDUSLIFE_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,763.15,756.7,1,763.15,756.7,closed,-6.45,-0.8452
12,ZYDUSLIFE_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,856.6,848.03,1,856.6,848.03,closed,-8.57,-1.0
14,ZYDUSLIFE_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,870.35,882.8,1,870.35,882.8,closed,12.45,1.4305
15,ZYDUSLIFE_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,882.4,892.3,1,882.4,892.3,closed,9.9,1.1219
23,ZYDUSLIFE_minute,long,2024-02-29 15:26:00,2024-03-01 09:16:00,945.75,938.87,1,945.75,938.87,closed,-6.88,-0.7278
31,ZYDUSLIFE_minute,long,2024-03-26 15:26:00,2024-03-27 09:19:00,1017.45,1017.47,1,1017.45,1017.47,closed,0.02,0.0022
49,ZYDUSLIFE_minute,long,2024-04-30 15:26:00,2024-05-02 09:15:00,955.4,957.18,1,955.4,957.18,closed,1.78,0.1865
57,ZYDUSLIFE_minute,long,2024-05-13 15:26:00,2024-05-14 09:16:00,995.45,1003.0,1,995.45,1003.0,closed,7.55,0.7585
58,ZYDUSLIFE_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,986.0,998.85,1,986.0,998.85,closed,12.85,1.3032
83,ZYDUSLIFE_minute,long,2024-07-10 15:26:00,2024-07-11 09:15:00,1189.75,1190.97,1,1189.75,1190.97,closed,1.22,0.1025
87,ZYDUSLIFE_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,1170.7,1173.05,1,1170.7,1173.05,closed,2.35,0.2007
108,ZYDUSLIFE_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,1185.55,1190.9,1,1185.55,1190.9,closed,5.35,0.4513
118,ZYDUSLIFE_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,1133.15,1117.05,1,1133.15,1117.05,closed,-16.1,-1.4208
121,ZYDUSLIFE_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1123.95,1112.95,1,1123.95,1112.95,closed,-11.0,-0.9787
165,ZYDUSLIFE_minute,long,2024-11-05 15:26:00,2024-11-06 15:29:00,988.85,995.8,1,988.85,995.8,closed,6.95,0.7028
170,ZYDUSLIFE_minute,long,2024-11-12 15:26:00,2024-11-13 09:17:00,949.7,952.38,1,949.7,952.38,closed,2.68,0.2822
189,ZYDUSLIFE_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,974.95,985.5,1,974.95,985.5,closed,10.55,1.0821
202,ZYDUSLIFE_minute,long,2024-12-30 15:26:00,,960.5,0.0,1,960.5,0.0,open,0.0,0.0
