,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
9,CHALET_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,819.0,827.95,1,819.0,827.95,closed,8.95,1.0928
20,CHALET_minute,long,2024-03-01 15:26:00,2024-03-02 09:18:00,797.25,793.16,1,797.25,793.16,closed,-4.09,-0.5126
23,CHALET_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,806.6,763.0,1,806.6,763.0,closed,-43.6,-5.4054
25,CHALET_minute,long,2024-03-07 15:26:00,2024-03-11 09:18:00,754.95,742.4,1,754.95,742.4,closed,-12.55,-1.6625
32,CHALET_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,818.1,869.95,1,818.1,869.95,closed,51.85,6.3379
35,CHALET_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,889.55,894.55,1,889.55,894.55,closed,5.0,0.5621
38,CHALET_minute,long,2024-04-02 15:26:00,2024-04-03 09:17:00,879.0,866.03,1,879.0,866.03,closed,-12.97,-1.476
54,CHALET_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,895.3,881.65,1,895.3,881.65,closed,-13.65,-1.5246
67,CHALET_minute,long,2024-05-09 15:26:00,2024-05-10 09:15:00,831.65,830.55,1,831.65,830.55,closed,-1.1,-0.1323
81,CHALET_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,785.95,801.64,1,785.95,801.64,closed,15.69,1.9963
82,CHALET_minute,long,2024-06-04 15:26:00,2024-06-05 15:29:00,759.15,772.95,1,759.15,772.95,closed,13.8,1.8178
85,CHALET_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,777.1,826.6,1,777.1,826.6,closed,49.5,6.3698
89,CHALET_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,826.95,818.7,1,826.95,818.7,closed,-8.25,-0.9976
92,CHALET_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,818.75,799.55,1,818.75,799.55,closed,-19.2,-2.345
94,CHALET_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,852.0,838.05,1,852.0,838.05,closed,-13.95,-1.6373
97,CHALET_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,839.0,828.65,1,839.0,828.65,closed,-10.35,-1.2336
98,CHALET_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,817.15,809.0,1,817.15,809.0,closed,-8.15,-0.9974
104,CHALET_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,848.0,858.0,1,848.0,858.0,closed,10.0,1.1792
122,CHALET_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,854.75,842.85,1,854.75,842.85,closed,-11.9,-1.3922
130,CHALET_minute,long,2024-08-08 15:26:00,2024-08-09 09:15:00,790.45,794.15,1,790.45,794.15,closed,3.7,0.4681
138,CHALET_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,795.0,827.85,1,795.0,827.85,closed,32.85,4.1321
152,CHALET_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,883.55,898.1,1,883.55,898.1,closed,14.55,1.6468
162,CHALET_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,879.5,881.35,1,879.5,881.35,closed,1.85,0.2103
168,CHALET_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,887.9,919.95,1,887.9,919.95,closed,32.05,3.6096
172,CHALET_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,879.0,889.25,1,879.0,889.25,closed,10.25,1.1661
191,CHALET_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,893.65,859.0,1,893.65,859.0,closed,-34.65,-3.8774
199,CHALET_minute,long,2024-10-28 15:26:00,2024-10-29 09:15:00,860.0,842.8,1,860.0,842.8,closed,-17.2,-2.0
200,CHALET_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,839.95,868.75,1,839.95,868.75,closed,28.8,3.4288
204,CHALET_minute,long,2024-11-05 15:26:00,2024-11-06 15:29:00,867.8,879.0,1,867.8,879.0,closed,11.2,1.2906
217,CHALET_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,843.8,842.75,1,843.8,842.75,closed,-1.05,-0.1244
233,CHALET_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,975.75,999.4,1,975.75,999.4,closed,23.65,2.4238
234,CHALET_minute,long,2024-12-18 15:26:00,2024-12-19 09:17:00,1005.6,985.49,1,1005.6,985.49,closed,-20.11,-2.0
235,CHALET_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,1007.1,982.25,1,1007.1,982.25,closed,-24.85,-2.4675
242,CHALET_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,992.95,983.0,1,992.95,983.0,closed,-9.95,-1.0021
