,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,EASEMYTRIP_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,23.25,23.22,1,23.25,23.22,closed,-0.03,-0.129
16,EASEMYTRIP_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,24.68,24.45,1,24.68,24.45,closed,-0.23,-0.9319
21,EASEMYTRIP_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,24.78,24.82,1,24.78,24.82,closed,0.04,0.1614
28,EASEMYTRIP_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,23.95,24.18,1,23.95,24.18,closed,0.23,0.9603
33,EASEMYTRIP_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,24.52,24.3,1,24.52,24.3,closed,-0.22,-0.8972
34,EASEMYTRIP_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,24.3,24.28,1,24.3,24.28,closed,-0.02,-0.0823
45,EASEMYTRIP_minute,long,2024-03-12 15:26:00,2024-03-13 09:16:00,22.2,22.42,1,22.2,22.42,closed,0.22,0.991
48,EASEMYTRIP_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,22.12,21.7,1,22.12,21.7,closed,-0.42,-1.8987
73,EASEMYTRIP_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,21.68,21.65,1,21.68,21.65,closed,-0.03,-0.1384
75,EASEMYTRIP_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,22.0,21.85,1,22.0,21.85,closed,-0.15,-0.6818
114,EASEMYTRIP_minute,long,2024-07-23 15:26:00,2024-07-24 15:29:00,21.2,21.42,1,21.2,21.42,closed,0.22,1.0377
126,EASEMYTRIP_minute,long,2024-08-01 15:26:00,2024-08-02 15:29:00,20.65,20.48,1,20.65,20.48,closed,-0.17,-0.8232
137,EASEMYTRIP_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,19.59,19.5,1,19.59,19.5,closed,-0.09,-0.4594
148,EASEMYTRIP_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,21.28,20.85,1,21.28,20.85,closed,-0.43,-2.0207
151,EASEMYTRIP_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,21.14,20.72,1,21.14,20.72,closed,-0.42,-1.9868
158,EASEMYTRIP_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,20.74,20.5,1,20.74,20.5,closed,-0.24,-1.1572
162,EASEMYTRIP_minute,long,2024-09-26 15:26:00,2024-09-27 09:17:00,18.42,18.11,1,18.42,18.11,closed,-0.31,-1.6808
165,EASEMYTRIP_minute,long,2024-09-27 15:26:00,2024-09-30 15:29:00,17.46,17.0,1,17.46,17.0,closed,-0.46,-2.6346
167,EASEMYTRIP_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,17.01,16.63,1,17.01,16.63,closed,-0.38,-2.234
200,EASEMYTRIP_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,15.01,15.13,1,15.01,15.13,closed,0.12,0.7995
202,EASEMYTRIP_minute,long,2024-11-14 15:26:00,2024-11-18 09:15:00,15.08,14.78,1,15.08,14.78,closed,-0.3,-2.0
214,EASEMYTRIP_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,16.38,16.65,1,16.38,16.65,closed,0.27,1.6484
