,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
14,GAIL_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,175.9,173.2,1,175.9,173.2,closed,-2.7,-1.535
17,GAIL_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,176.09,177.78,1,176.09,177.78,closed,1.69,0.9597
66,GAIL_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,205.9,209.31,1,205.9,209.31,closed,3.41,1.6561
79,GAIL_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,211.89,214.54,1,211.89,214.54,closed,2.65,1.2506
80,GAIL_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,214.77,213.33,1,214.77,213.33,closed,-1.44,-0.6705
96,GAIL_minute,long,2024-07-24 15:26:00,2024-07-25 09:15:00,215.86,211.54,1,215.86,211.54,closed,-4.32,-2.0
99,GAIL_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,220.61,221.79,1,220.61,221.79,closed,1.18,0.5349
101,GAIL_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,224.12,224.81,1,224.12,224.81,closed,0.69,0.3079
107,GAIL_minute,long,2024-08-01 15:26:00,2024-08-02 09:15:00,230.44,225.83,1,230.44,225.83,closed,-4.61,-2.0
131,GAIL_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,210.35,212.27,1,210.35,212.27,closed,1.92,0.9128
134,GAIL_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,210.28,211.41,1,210.28,211.41,closed,1.13,0.5374
185,GAIL_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,199.96,200.9,1,199.96,200.9,closed,0.94,0.4701
189,GAIL_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,186.98,182.21,1,186.98,182.21,closed,-4.77,-2.5511
