,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
80,ICICIBANK,long,2024-02-20 15:21:00,2024-02-21 15:29:00,1049.85,1049.6,1,1049.85,1049.6,closed,-0.25,-0.0238
125,ICICIBANK,long,2024-02-29 15:21:00,2024-03-01 15:29:00,1054.0,1085.0,1,1054.0,1085.0,closed,31.0,2.9412
147,ICICIBANK,long,2024-03-13 15:21:00,2024-03-14 15:29:00,1085.25,1084.45,1,1085.25,1084.45,closed,-0.8,-0.0737
163,ICICIBANK,long,2024-03-15 15:21:00,2024-03-18 15:29:00,1081.6,1082.1,1,1081.6,1082.1,closed,0.5,0.0462
196,ICICIBANK,long,2024-03-22 15:21:00,2024-03-26 15:29:00,1089.8,1083.4,1,1089.8,1083.4,closed,-6.4,-0.5873
209,ICICIBANK,long,2024-03-27 15:21:00,2024-03-28 15:29:00,1086.5,1096.05,1,1086.5,1096.05,closed,9.55,0.879
224,ICICIBANK,long,2024-04-01 15:21:00,2024-04-02 15:29:00,1101.3,1083.15,1,1101.3,1083.15,closed,-18.15,-1.6481
263,ICICIBANK,long,2024-04-19 15:21:00,2024-04-22 15:29:00,1069.1,1087.45,1,1069.1,1087.45,closed,18.35,1.7164
274,ICICIBANK,long,2024-04-23 15:21:00,2024-04-24 15:29:00,1091.0,1096.0,1,1091.0,1096.0,closed,5.0,0.4583
320,ICICIBANK,long,2024-05-07 15:21:00,2024-05-08 15:29:00,1133.25,1126.5,1,1133.25,1126.5,closed,-6.75,-0.5956
370,ICICIBANK,long,2024-05-28 15:21:00,2024-05-29 15:29:00,1126.35,1104.0,1,1126.35,1104.0,closed,-22.35,-1.9843
380,ICICIBANK,long,2024-05-30 15:21:00,2024-05-31 15:29:00,1117.0,1121.85,1,1117.0,1121.85,closed,4.85,0.4342
404,ICICIBANK,long,2024-05-31 15:21:00,2024-06-03 15:29:00,1124.65,1164.9,1,1124.65,1164.9,closed,40.25,3.5789
435,ICICIBANK,long,2024-06-12 15:21:00,2024-06-13 15:29:00,1120.85,1110.3,1,1120.85,1110.3,closed,-10.55,-0.9412
442,ICICIBANK,long,2024-06-13 15:21:00,2024-06-14 15:29:00,1109.1,1105.05,1,1109.1,1105.05,closed,-4.05,-0.3652
447,ICICIBANK,long,2024-06-18 15:21:00,2024-06-19 15:29:00,1124.85,1144.95,1,1124.85,1144.95,closed,20.1,1.7869
456,ICICIBANK,long,2024-06-20 15:21:00,2024-06-21 15:29:00,1158.95,1157.4,1,1158.95,1157.4,closed,-1.55,-0.1337
457,ICICIBANK,long,2024-06-21 15:21:00,2024-06-24 15:29:00,1157.2,1169.5,1,1157.2,1169.5,closed,12.3,1.0629
472,ICICIBANK,long,2024-06-25 15:21:00,2024-06-26 15:29:00,1200.8,1211.0,1,1200.8,1211.0,closed,10.2,0.8494
612,ICICIBANK,long,2024-08-07 15:21:00,2024-08-08 15:29:00,1173.65,1164.7,1,1173.65,1164.7,closed,-8.95,-0.7626
635,ICICIBANK,long,2024-08-14 15:21:00,2024-08-16 15:29:00,1162.9,1189.0,1,1162.9,1189.0,closed,26.1,2.2444
656,ICICIBANK,long,2024-08-19 15:21:00,2024-08-20 15:29:00,1177.65,1177.3,1,1177.65,1177.3,closed,-0.35,-0.0297
729,ICICIBANK,long,2024-09-04 15:21:00,2024-09-05 15:29:00,1236.6,1235.35,1,1236.6,1235.35,closed,-1.25,-0.1011
772,ICICIBANK,long,2024-09-16 15:21:00,2024-09-17 15:29:00,1264.95,1266.2,1,1264.95,1266.2,closed,1.25,0.0988
782,ICICIBANK,long,2024-09-20 15:21:00,2024-09-23 15:29:00,1346.8,1322.65,1,1346.8,1322.65,closed,-24.15,-1.7931
827,ICICIBANK,long,2024-09-27 15:21:00,2024-09-30 15:29:00,1306.2,1273.95,1,1306.2,1273.95,closed,-32.25,-2.469
841,ICICIBANK,long,2024-09-30 15:21:00,2024-10-01 15:29:00,1273.2,1278.2,1,1273.2,1278.2,closed,5.0,0.3927
894,ICICIBANK,long,2024-10-18 15:21:00,2024-10-21 15:29:00,1266.2,1257.55,1,1266.2,1257.55,closed,-8.65,-0.6831
956,ICICIBANK,long,2024-11-08 15:21:00,2024-11-11 15:29:00,1260.65,1268.65,1,1260.65,1268.65,closed,8.0,0.6346
970,ICICIBANK,long,2024-11-13 15:21:00,2024-11-14 15:29:00,1256.45,1258.95,1,1256.45,1258.95,closed,2.5,0.199
971,ICICIBANK,long,2024-11-14 15:21:00,2024-11-18 15:29:00,1258.85,1252.25,1,1258.85,1252.25,closed,-6.6,-0.5243
981,ICICIBANK,long,2024-11-18 15:21:00,2024-11-19 15:29:00,1252.05,1244.0,1,1252.05,1244.0,closed,-8.05,-0.6429
1078,ICICIBANK,long,2024-12-09 15:21:00,2024-12-10 15:29:00,1323.4,1331.35,1,1323.4,1331.35,closed,7.95,0.6007
1096,ICICIBANK,long,2024-12-11 15:21:00,2024-12-12 15:29:00,1329.3,1330.6,1,1329.3,1330.6,closed,1.3,0.0978
1102,ICICIBANK,long,2024-12-12 15:21:00,2024-12-13 15:29:00,1329.35,1345.45,1,1329.35,1345.45,closed,16.1,1.2111
1162,ICICIBANK,long,2024-12-30 15:21:00,,1294.95,0.0,1,1294.95,0.0,open,0.0,0.0
