,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
39,IREDA_minute,long,2024-04-08 15:26:00,2024-04-09 09:16:00,175.35,171.84,1,175.35,171.84,closed,-3.51,-2.0
44,IREDA_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,160.0,163.25,1,160.0,163.25,closed,3.25,2.0312
51,IREDA_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,164.85,162.9,1,164.85,162.9,closed,-1.95,-1.1829
53,IREDA_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,173.65,171.8,1,173.65,171.8,closed,-1.85,-1.0654
56,IREDA_minute,long,2024-05-21 15:26:00,2024-05-22 09:16:00,184.0,188.5,1,184.0,188.5,closed,4.5,2.4457
75,IREDA_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,189.57,191.3,1,189.57,191.3,closed,1.73,0.9105
78,IREDA_minute,long,2024-06-28 15:26:00,2024-07-01 09:15:00,190.6,197.78,1,190.6,197.78,closed,7.18,3.7689
79,IREDA_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,196.6,208.96,1,196.6,208.96,closed,12.36,6.2869
80,IREDA_minute,long,2024-07-02 15:26:00,2024-07-03 09:15:00,208.21,210.36,1,208.21,210.36,closed,2.15,1.0312
83,IREDA_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,221.31,229.16,1,221.31,229.16,closed,7.85,3.5471
88,IREDA_minute,long,2024-07-12 15:26:00,2024-07-15 09:15:00,283.86,300.0,1,283.86,300.0,closed,16.14,5.6859
90,IREDA_minute,long,2024-07-15 15:26:00,2024-07-16 09:15:00,290.64,284.83,1,290.64,284.83,closed,-5.81,-2.0
96,IREDA_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,264.4,262.6,1,264.4,262.6,closed,-1.8,-0.6808
102,IREDA_minute,long,2024-08-09 15:26:00,2024-08-12 09:15:00,243.35,238.48,1,243.35,238.48,closed,-4.87,-2.0
105,IREDA_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,240.45,236.75,1,240.45,236.75,closed,-3.7,-1.5388
107,IREDA_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,236.9,239.75,1,236.9,239.75,closed,2.85,1.203
112,IREDA_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,244.9,240.6,1,244.9,240.6,closed,-4.3,-1.7558
124,IREDA_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,239.19,239.16,1,239.19,239.16,closed,-0.03,-0.0125
127,IREDA_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,235.48,235.21,1,235.48,235.21,closed,-0.27,-0.1147
129,IREDA_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,235.33,227.74,1,235.33,227.74,closed,-7.59,-3.2253
133,IREDA_minute,long,2024-09-10 15:26:00,2024-09-11 09:17:00,234.1,235.2,1,234.1,235.2,closed,1.1,0.4699
136,IREDA_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,228.4,227.3,1,228.4,227.3,closed,-1.1,-0.4816
139,IREDA_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,230.0,232.31,1,230.0,232.31,closed,2.31,1.0043
142,IREDA_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,230.44,227.01,1,230.44,227.01,closed,-3.43,-1.4885
144,IREDA_minute,long,2024-09-25 15:26:00,2024-09-26 15:29:00,223.47,224.14,1,223.47,224.14,closed,0.67,0.2998
148,IREDA_minute,long,2024-09-27 15:26:00,2024-09-30 09:15:00,233.79,229.11,1,233.79,229.11,closed,-4.68,-2.0
150,IREDA_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,230.4,225.0,1,230.4,225.0,closed,-5.4,-2.3438
175,IREDA_minute,long,2024-10-25 15:26:00,2024-10-28 09:16:00,191.5,191.59,1,191.5,191.59,closed,0.09,0.047
193,IREDA_minute,long,2024-11-28 15:26:00,2024-11-29 09:17:00,208.9,206.49,1,208.9,206.49,closed,-2.41,-1.1556
196,IREDA_minute,long,2024-11-29 15:26:00,2024-12-02 09:18:00,205.6,201.49,1,205.6,201.49,closed,-4.11,-2.0
203,IREDA_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,222.03,224.6,1,222.03,224.6,closed,2.57,1.1575
209,IREDA_minute,long,2024-12-18 15:26:00,2024-12-19 09:15:00,206.45,200.05,1,206.45,200.05,closed,-6.4,-3.1
