,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,JUSTDIAL_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,840.65,840.6,1,840.65,840.6,closed,-0.05,-0.0059
7,JUSTDIAL_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,847.65,837.05,1,847.65,837.05,closed,-10.6,-1.2505
10,JUSTDIAL_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,838.45,858.55,1,838.45,858.55,closed,20.1,2.3973
12,JUSTDIAL_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,858.95,855.0,1,858.95,855.0,closed,-3.95,-0.4599
17,JUSTDIAL_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,880.05,900.0,1,880.05,900.0,closed,19.95,2.2669
21,JUSTDIAL_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,901.9,926.2,1,901.9,926.2,closed,24.3,2.6943
32,JUSTDIAL_minute,long,2024-03-11 15:26:00,2024-03-12 15:29:00,844.1,838.9,1,844.1,838.9,closed,-5.2,-0.616
36,JUSTDIAL_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,838.7,787.0,1,838.7,787.0,closed,-51.7,-6.1643
39,JUSTDIAL_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,776.3,784.0,1,776.3,784.0,closed,7.7,0.9919
57,JUSTDIAL_minute,long,2024-04-16 15:26:00,2024-04-18 09:15:00,889.7,950.05,1,889.7,950.05,closed,60.35,6.7832
60,JUSTDIAL_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,1097.0,1085.3,1,1097.0,1085.3,closed,-11.7,-1.0665
64,JUSTDIAL_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,1076.45,1063.0,1,1076.45,1063.0,closed,-13.45,-1.2495
67,JUSTDIAL_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,1116.4,1093.1,1,1116.4,1093.1,closed,-23.3,-2.0871
70,JUSTDIAL_minute,long,2024-05-10 15:26:00,2024-05-13 09:15:00,1021.0,975.05,1,1021.0,975.05,closed,-45.95,-4.5005
75,JUSTDIAL_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,988.95,983.35,1,988.95,983.35,closed,-5.6,-0.5663
84,JUSTDIAL_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,934.95,932.2,1,934.95,932.2,closed,-2.75,-0.2941
89,JUSTDIAL_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,965.0,972.0,1,965.0,972.0,closed,7.0,0.7254
92,JUSTDIAL_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,1055.4,1039.4,1,1055.4,1039.4,closed,-16.0,-1.516
95,JUSTDIAL_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1022.05,1030.0,1,1022.05,1030.0,closed,7.95,0.7778
97,JUSTDIAL_minute,long,2024-06-25 15:26:00,2024-06-26 15:29:00,1031.75,1071.85,1,1031.75,1071.85,closed,40.1,3.8866
104,JUSTDIAL_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,1034.5,1021.05,1,1034.5,1021.05,closed,-13.45,-1.3001
113,JUSTDIAL_minute,long,2024-07-23 15:26:00,2024-07-24 15:29:00,1236.85,1250.2,1,1236.85,1250.2,closed,13.35,1.0794
125,JUSTDIAL_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,1221.55,1190.0,1,1221.55,1190.0,closed,-31.55,-2.5828
133,JUSTDIAL_minute,long,2024-08-13 15:26:00,2024-08-14 09:17:00,1250.2,1231.86,1,1250.2,1231.86,closed,-18.34,-1.467
137,JUSTDIAL_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,1276.0,1287.0,1,1276.0,1287.0,closed,11.0,0.8621
148,JUSTDIAL_minute,long,2024-09-09 15:26:00,2024-09-10 09:15:00,1214.95,1225.0,1,1214.95,1225.0,closed,10.05,0.8272
149,JUSTDIAL_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,1190.95,1192.95,1,1190.95,1192.95,closed,2.0,0.1679
160,JUSTDIAL_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,1154.0,1167.5,1,1154.0,1167.5,closed,13.5,1.1698
163,JUSTDIAL_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,1223.95,1244.75,1,1223.95,1244.75,closed,20.8,1.6994
167,JUSTDIAL_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,1244.0,1273.0,1,1244.0,1273.0,closed,29.0,2.3312
180,JUSTDIAL_minute,long,2024-10-17 15:26:00,2024-10-18 15:29:00,1195.95,1195.0,1,1195.95,1195.0,closed,-0.95,-0.0794
186,JUSTDIAL_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,1059.55,1078.65,1,1059.55,1078.65,closed,19.1,1.8027
211,JUSTDIAL_minute,long,2024-12-10 15:26:00,2024-12-11 09:16:00,1089.0,1067.22,1,1089.0,1067.22,closed,-21.78,-2.0
213,JUSTDIAL_minute,long,2024-12-12 15:26:00,2024-12-13 15:29:00,1066.55,1040.0,1,1066.55,1040.0,closed,-26.55,-2.4893
223,JUSTDIAL_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,999.1,999.0,1,999.1,999.0,closed,-0.1,-0.01
