,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
7,PNB_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,125.46,126.73,1,125.46,126.73,closed,1.27,1.0123
19,PNB_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,119.29,121.19,1,119.29,121.19,closed,1.9,1.5928
55,PNB_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,134.36,132.17,1,134.36,132.17,closed,-2.19,-1.6299
56,PNB_minute,long,2024-05-03 15:26:00,2024-05-06 09:16:00,132.22,130.38,1,132.22,130.38,closed,-1.84,-1.3922
121,PNB_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,112.41,111.36,1,112.41,111.36,closed,-1.05,-0.9341
127,PNB_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,112.05,114.14,1,112.05,114.14,closed,2.09,1.8652
130,PNB_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,114.3,113.41,1,114.3,113.41,closed,-0.89,-0.7787
191,PNB_minute,long,2024-10-17 15:26:00,2024-10-18 15:29:00,99.71,100.05,1,99.71,100.05,closed,0.34,0.341
213,PNB_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,93.87,97.09,1,93.87,97.09,closed,3.22,3.4303
220,PNB_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,103.66,101.85,1,103.66,101.85,closed,-1.81,-1.7461
231,PNB_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,107.76,105.49,1,107.76,105.49,closed,-2.27,-2.1065
