,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
26,POLYCAB_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,4780.0,4792.0,1,4780.0,4792.0,closed,12.0,0.251
37,POLYCAB_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,4858.6,4753.5,1,4858.6,4753.5,closed,-105.1,-2.1632
40,POLYCAB_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,4907.85,4799.15,1,4907.85,4799.15,closed,-108.7,-2.2148
75,POLYCAB_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,6761.75,6944.0,1,6761.75,6944.0,closed,182.25,2.6953
85,POLYCAB_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,7088.1,7270.0,1,7088.1,7270.0,closed,181.9,2.5663
92,POLYCAB_minute,long,2024-06-25 15:26:00,2024-06-26 15:29:00,7228.75,7188.0,1,7228.75,7188.0,closed,-40.75,-0.5637
99,POLYCAB_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,6671.95,6630.0,1,6671.95,6630.0,closed,-41.95,-0.6288
111,POLYCAB_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,6438.6,6545.65,1,6438.6,6545.65,closed,107.05,1.6626
118,POLYCAB_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,6660.7,6588.0,1,6660.7,6588.0,closed,-72.7,-1.0915
134,POLYCAB_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,6655.0,6621.0,1,6655.0,6621.0,closed,-34.0,-0.5109
137,POLYCAB_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,6697.05,6809.55,1,6697.05,6809.55,closed,112.5,1.6798
148,POLYCAB_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,6564.7,6601.95,1,6564.7,6601.95,closed,37.25,0.5674
163,POLYCAB_minute,long,2024-10-14 15:26:00,2024-10-15 15:29:00,7488.05,7495.5,1,7488.05,7495.5,closed,7.45,0.0995
167,POLYCAB_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,6851.0,6669.0,1,6851.0,6669.0,closed,-182.0,-2.6565
212,POLYCAB_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,7158.6,7275.0,1,7158.6,7275.0,closed,116.4,1.626
