,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
13,TRIDENT_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,43.25,43.45,1,43.25,43.45,closed,0.2,0.4624
34,TRIDENT_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,40.5,39.2,1,40.5,39.2,closed,-1.3,-3.2099
36,TRIDENT_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,38.3,35.7,1,38.3,35.7,closed,-2.6,-6.7885
38,TRIDENT_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,38.25,37.58,1,38.25,37.58,closed,-0.67,-1.7438
41,TRIDENT_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,37.8,37.5,1,37.8,37.5,closed,-0.3,-0.7937
47,TRIDENT_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,36.4,37.05,1,36.4,37.05,closed,0.65,1.7857
51,TRIDENT_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,40.9,41.2,1,40.9,41.2,closed,0.3,0.7335
53,TRIDENT_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,41.2,40.95,1,41.2,40.95,closed,-0.25,-0.6068
57,TRIDENT_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,39.1,38.8,1,39.1,38.8,closed,-0.3,-0.7673
61,TRIDENT_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,40.0,39.95,1,40.0,39.95,closed,-0.05,-0.125
66,TRIDENT_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,39.5,39.65,1,39.5,39.65,closed,0.15,0.3797
67,TRIDENT_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,39.7,39.6,1,39.7,39.6,closed,-0.1,-0.2519
70,TRIDENT_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,38.55,38.75,1,38.55,38.75,closed,0.2,0.5188
75,TRIDENT_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,38.35,38.05,1,38.35,38.05,closed,-0.3,-0.7823
80,TRIDENT_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,38.95,38.45,1,38.95,38.45,closed,-0.5,-1.2837
85,TRIDENT_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,38.2,38.1,1,38.2,38.1,closed,-0.1,-0.2618
88,TRIDENT_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,37.7,37.3,1,37.7,37.3,closed,-0.4,-1.061
96,TRIDENT_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,40.8,39.99,1,40.8,39.99,closed,-0.81,-1.9853
108,TRIDENT_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,39.03,38.6,1,39.03,38.6,closed,-0.43,-1.1017
114,TRIDENT_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,38.45,38.32,1,38.45,38.32,closed,-0.13,-0.3381
127,TRIDENT_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,36.66,37.95,1,36.66,37.95,closed,1.29,3.5188
153,TRIDENT_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,37.05,36.5,1,37.05,36.5,closed,-0.55,-1.4845
156,TRIDENT_minute,long,2024-09-12 15:26:00,2024-09-13 15:29:00,36.55,36.65,1,36.55,36.65,closed,0.1,0.2736
159,TRIDENT_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,35.85,36.14,1,35.85,36.14,closed,0.29,0.8089
172,TRIDENT_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,35.1,35.17,1,35.1,35.17,closed,0.07,0.1994
186,TRIDENT_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,36.44,35.6,1,36.44,35.6,closed,-0.84,-2.3052
196,TRIDENT_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,33.17,33.76,1,33.17,33.76,closed,0.59,1.7787
198,TRIDENT_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,33.76,34.67,1,33.76,34.67,closed,0.91,2.6955
209,TRIDENT_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,31.95,31.28,1,31.95,31.28,closed,-0.67,-2.097
214,TRIDENT_minute,long,2024-11-29 15:26:00,2024-12-02 15:29:00,34.03,33.88,1,34.03,33.88,closed,-0.15,-0.4408
224,TRIDENT_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,34.93,34.2,1,34.93,34.2,closed,-0.73,-2.0899
226,TRIDENT_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,33.58,33.48,1,33.58,33.48,closed,-0.1,-0.2978
228,TRIDENT_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,33.48,33.4,1,33.48,33.4,closed,-0.08,-0.2389
229,TRIDENT_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,33.36,33.15,1,33.36,33.15,closed,-0.21,-0.6295
233,TRIDENT_minute,long,2024-12-30 15:26:00,,32.77,0.0,1,32.77,0.0,open,0.0,0.0
