,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
37,UBL,long,2024-02-02 15:21:00,2024-02-05 15:29:00,1847.7,1774.6,1,1847.7,1774.6,closed,-73.1,-3.9563
74,UBL,long,2024-02-19 15:21:00,2024-02-20 15:29:00,1769.0,1730.5,1,1769.0,1730.5,closed,-38.5,-2.1764
138,UBL,long,2024-03-11 15:21:00,2024-03-12 15:29:00,1700.0,1714.5,1,1700.0,1714.5,closed,14.5,0.8529
204,UBL,long,2024-03-27 15:21:00,2024-03-28 15:29:00,1699.35,1744.6,1,1699.35,1744.6,closed,45.25,2.6628
216,UBL,long,2024-03-28 15:21:00,2024-04-01 15:29:00,1736.2,1781.85,1,1736.2,1781.85,closed,45.65,2.6293
249,UBL,long,2024-04-15 15:21:00,2024-04-16 15:29:00,1850.0,1857.0,1,1850.0,1857.0,closed,7.0,0.3784
256,UBL,long,2024-04-16 15:21:00,2024-04-18 15:29:00,1855.4,1851.0,1,1855.4,1851.0,closed,-4.4,-0.2371
260,UBL,long,2024-04-18 15:21:00,2024-04-19 15:29:00,1840.75,1831.0,1,1840.75,1831.0,closed,-9.75,-0.5297
277,UBL,long,2024-04-23 15:21:00,2024-04-24 15:29:00,1864.4,2046.2,1,1864.4,2046.2,closed,181.8,9.7511
294,UBL,long,2024-04-26 15:21:00,2024-04-29 15:29:00,2047.3,2033.55,1,2047.3,2033.55,closed,-13.75,-0.6716
303,UBL,long,2024-05-02 15:21:00,2024-05-03 15:29:00,2056.3,2025.0,1,2056.3,2025.0,closed,-31.3,-1.5222
352,UBL,long,2024-05-21 15:21:00,2024-05-22 15:29:00,1896.3,1873.05,1,1896.3,1873.05,closed,-23.25,-1.2261
458,UBL,long,2024-06-21 15:21:00,2024-06-24 15:29:00,2066.25,2092.0,1,2066.25,2092.0,closed,25.75,1.2462
495,UBL,long,2024-07-02 15:21:00,2024-07-03 15:29:00,2033.85,2029.7,1,2033.85,2029.7,closed,-4.15,-0.204
504,UBL,long,2024-07-04 15:21:00,2024-07-05 15:29:00,2017.1,2087.4,1,2017.1,2087.4,closed,70.3,3.4852
519,UBL,long,2024-07-09 15:21:00,2024-07-10 15:29:00,2107.0,2110.0,1,2107.0,2110.0,closed,3.0,0.1424
559,UBL,long,2024-07-25 15:21:00,2024-07-26 09:16:00,2112.45,2092.3,1,2112.45,2092.3,closed,-20.15,-0.9539
620,UBL,long,2024-08-08 15:21:00,2024-08-09 09:15:00,1948.7,1922.27,1,1948.7,1922.27,closed,-26.43,-1.3563
634,UBL,long,2024-08-14 15:21:00,2024-08-16 15:29:00,1896.5,1973.0,1,1896.5,1973.0,closed,76.5,4.0337
647,UBL,long,2024-08-16 15:21:00,2024-08-19 15:29:00,1973.15,1983.0,1,1973.15,1983.0,closed,9.85,0.4992
768,UBL,long,2024-09-16 15:21:00,2024-09-17 15:29:00,2116.25,2091.1,1,2116.25,2091.1,closed,-25.15,-1.1884
822,UBL,long,2024-09-26 15:21:00,2024-09-27 15:29:00,2158.0,2180.9,1,2158.0,2180.9,closed,22.9,1.0612
917,UBL,long,2024-10-28 15:21:00,2024-10-29 15:29:00,1930.1,1930.0,1,1930.1,1930.0,closed,-0.1,-0.0052
948,UBL,long,2024-11-06 15:21:00,2024-11-07 15:29:00,1983.05,1930.0,1,1983.05,1930.0,closed,-53.05,-2.6752
960,UBL,long,2024-11-12 15:21:00,2024-11-13 15:29:00,1885.2,1860.0,1,1885.2,1860.0,closed,-25.2,-1.3367
987,UBL,long,2024-11-21 15:21:00,2024-11-22 15:29:00,1823.35,1869.85,1,1823.35,1869.85,closed,46.5,2.5503
1014,UBL,long,2024-11-25 15:21:00,2024-11-26 15:29:00,1900.5,1900.0,1,1900.5,1900.0,closed,-0.5,-0.0263
1111,UBL,long,2024-12-16 15:21:00,2024-12-17 15:29:00,2003.95,2021.85,1,2003.95,2021.85,closed,17.9,0.8932
